,0,1,2,type
0,Scott Adsit,,Baymax,Leading Cast
1,Ryan Potter,,Hiro,Leading Cast
0,Daniel Henney,,Tadashi,Supporting Cast
1,T.J. Miller,,Fred,Supporting Cast
2,Jamie Chung,,GoGo,Supporting Cast
3,Damon Wayans Jr.,,Wasabi,Supporting Cast
4,Genesis Rodriguez,,Honey Lemon,Supporting Cast
5,James Cromwell,,Robert Callaghan,Supporting Cast
6,Alan Tudyk,,Alistair Krei,Supporting Cast
7,Maya Rudolph,,Cass,Supporting Cast
8,Abraham Benrubi,,General,Supporting Cast
9,Katie Lowes,,Abigail,Supporting Cast
10,Billy Bush,,Newscaster,Supporting Cast
11,Daniel Gerson,,Desk Sergeant,Supporting Cast
12,Paul Briggs,,Yama,Supporting Cast
13,Charlotte Gulezian,,Ringleader,Supporting Cast
14,David Shaughnessy,,Heathcliff,Supporting Cast
15,Kirk Baily,,Additional Voice,Supporting Cast
16,June Christopher,,Additional Voice,Supporting Cast
17,Roy Conli,,Additional Voice,Supporting Cast
18,David Cowgill,,Additional Voice,Supporting Cast
19,Terri Douglas,,Additional Voice,Supporting Cast
20,Nicholas Guest,,Additional Voice,Supporting Cast
21,Kellie Hoover,,Additional Voice,Supporting Cast
22,Jimmy Leung,,Additional Voice,Supporting Cast
23,Tim Mertens,,Additional Voice,Supporting Cast
24,Brian Morris,,Additional Voice,Supporting Cast
25,Marcella Lentz-Pope,,Additional Voice,Supporting Cast
26,Lynwood Robinson,,Additional Voice,Supporting Cast
27,Josie Trinidad,,Additional Voice,Supporting Cast
28,Reed Buck,,Additional Voice,Supporting Cast
29,Cam Clarke,,Additional Voice,Supporting Cast
30,Cooper Cowgill,,Additional Voice,Supporting Cast
31,Marlie Crisafulli,,Additional Voice,Supporting Cast
32,Jackie Gonneau,,Additional Voice,Supporting Cast
33,Bridget Hoffman,,Additional Voice,Supporting Cast
34,Leah Latham,,Additional Voice,Supporting Cast
35,Yuri Lowenthal,,Additional Voice,Supporting Cast
36,Yumi Mizui,,Additional Voice,Supporting Cast
37,Sundra Oakley,,Additional Voice,Supporting Cast
38,Michael Powers,,Additional Voice,Supporting Cast
39,Shane Sweet,,Additional Voice,Supporting Cast
0,Stan Lee,,Fred’s Dad,Cameos
0,Don Hall,,Director,Production and Technical Credits
1,Chris Williams,,Director,Production and Technical Credits
2,Robert L. Baird,,Screenwriter,Production and Technical Credits
3,Daniel Gerson,,Screenwriter,Production and Technical Credits
4,Jordan Roberts,,Screenwriter,Production and Technical Credits
5,Roy Conli,,Producer,Production and Technical Credits
6,John Lasseter,,Executive Producer,Production and Technical Credits
7,Paul Felix,,Production Designer,Production and Technical Credits
