,0,1,2,type
0,Adam Driver,,Kylo Ren,Leading Cast
1,Daisy Ridley,,Rey,Leading Cast
2,John Boyega,,Finn,Leading Cast
0,Harrison Ford,,Han Solo,Supporting Cast
1,Mark Hamill,,Luke Skywalker,Supporting Cast
2,Carrie Fisher,,Leia,Supporting Cast
3,Oscar Isaac,,Poe Dameron,Supporting Cast
4,Lupita Nyong'o,,Maz Kanata,Supporting Cast
5,Andy Serkis,,Supreme Leader Snoke,Supporting Cast
6,Domhnall Gleeson,,General Hux,Supporting Cast
7,Anthony Daniels,,C-3PO,Supporting Cast
8,Peter Mayhew,,Chewbacca,Supporting Cast
9,Max von Sydow,,Lor San Tekka/The Vicar,Supporting Cast
10,Kenny Baker,,R2-D2,Supporting Cast
11,Gwendoline Christie,,Captain Phasma,Supporting Cast
12,Warwick Davis,,Wollivan,Supporting Cast
13,Simon Pegg,,Unkar Plutt,Supporting Cast
14,Maisie Richardson Sellers,,Korr Sella,Supporting Cast
15,Pip Andersen,,Slip,Supporting Cast
16,Tim Rose,,Admiral Ackbar,Supporting Cast
17,Jessica Henwick,,Jessica Pava,Supporting Cast
18,Greg Grunberg,,Snap Wexley,Supporting Cast
19,Iko Uwais,,Razoo Quin-Fee,Supporting Cast
20,Yayan Ruhian,,Tasu Leech,Supporting Cast
21,Pip Torrens,,Colonel Kaplan,Supporting Cast
22,Kiran Shah,,Teedo,Supporting Cast
23,Sebastian Armesto,,Lieutenant Mitaka,Supporting Cast
24,Ken Leung,,Admiral Statura,Supporting Cast
25,Anna Brewster,,Bazine Netal,Supporting Cast
26,Harriet Walter,,Dr. Kalonia,Supporting Cast
27,Erik Bauersfeld,,Admiral Ackbar,Supporting Cast
28,Michael Giacchino,,FN-3181,Supporting Cast
29,Judah Friedlander,,Bar Patron,Supporting Cast
30,Victor McGuire,,Bar Patron,Supporting Cast
31,Francesca Longrigg,,Bar Patron,Supporting Cast
32,Gerald Abrams,,Captain Cypress,Supporting Cast
33,Jim McGrath,,Vice Admiral Resdox,Supporting Cast
34,Kate Fleetwood,,First Order Officer,Supporting Cast
35,Bill Hader,,BB-8 Voice Consultant,Supporting Cast
36,Cailey Fleming,,Young Rey,Supporting Cast
0,J.J. Abrams,,Director,Production and Technical Credits
1,J.J. Abrams,,Screenwriter,Production and Technical Credits
2,Lawrence Kasdan,,Screenwriter,Production and Technical Credits
3,Michael Arndt,,Screenwriter,Production and Technical Credits
4,Kathleen Kennedy,,Producer,Production and Technical Credits
5,J.J. Abrams,,Producer,Production and Technical Credits
6,Bryan Burk,,Producer,Production and Technical Credits
7,Tommy Harper,,Executive Producer,Production and Technical Credits
8,Jason McGatlin,,Executive Producer,Production and Technical Credits
9,Dan Mindel,,Director of Photography,Production and Technical Credits
10,Rick Carter,,Production Designer,Production and Technical Credits
11,Darren Gilford,,Production Designer,Production and Technical Credits
12,Mary Jo Markey,,Editor,Production and Technical Credits
13,Maryann Brandon,,Editor,Production and Technical Credits
14,Michael Kaplan,,Costume Designer,Production and Technical Credits
15,John Williams,,Composer,Production and Technical Credits
16,George Lucas,,Character Creator,Production and Technical Credits
17,Roger Guyett,,Visual Effects Supervisor,Production and Technical Credits
18,Chris Corbould,,Special Effects Supervisor,Production and Technical Credits
19,Tommy Harper,,Line Producer,Production and Technical Credits
20,Simon Emanuel,,Production Manager,Production and Technical Credits
21,April Webster,,Casting Director,Production and Technical Credits
22,Alyssa Weisberg,,Casting Director,Production and Technical Credits
23,Nina Gold,,Casting Director,Production and Technical Credits
24,Jessica Sherman,,Additional Casting-Casting Associate,Production and Technical Credits
25,Rachel Dill,,Additional Casting-Casting Assistant,Production and Technical Credits
26,Ben Burtt,,Sound Designer,Production and Technical Credits
27,Gary Rydstrom,,Sound Designer,Production and Technical Credits
28,Matthew Wood,,Supervising Sound Editor,Production and Technical Credits
29,David Acord,,Supervising Sound Editor,Production and Technical Credits
30,Gary Rydstrom,,Re-recording Mixer,Production and Technical Credits
31,Andy Nelson,,Re-recording Mixer,Production and Technical Credits
32,Christopher Scarabosio,,Re-recording Mixer,Production and Technical Credits
33,Neal Scanlan,,Creature Designer-Creature and Droid Effects Creative Supervisor,Production and Technical Credits
34,Janet Lewin,,Visual Effects Producer,Production and Technical Credits
35,Luke O'Byrne,,Visual Effects Producer,Production and Technical Credits
36,Tommy Gormley,,First Assistant Director,Production and Technical Credits
