,0,1,2,type
0,Chris Pratt,,Owen Grady,Leading Cast
0,Bryce Dallas Howard,,Claire,Supporting Cast
1,Vincent D'Onofrio,,Hoskins,Supporting Cast
2,Ty Simpkins,,Gray,Supporting Cast
3,Nick Robinson,,Zach,Supporting Cast
4,Jake Johnson,,Lowery,Supporting Cast
5,Omar Sy,,Barry,Supporting Cast
6,B.D. Wong,,Dr. Henry Wu,Supporting Cast
7,Judy Greer,,Karen,Supporting Cast
8,Irrfan Khan,,Masrani,Supporting Cast
9,Lauren Lapkus,,Vivian,Supporting Cast
10,Brian Tee,,Hamada,Supporting Cast
11,Katie McGrath,,Zara,Supporting Cast
12,Andy Buckley,,Scott,Supporting Cast
13,Eric Edelstein,,Paddock Supervisor,Supporting Cast
14,Courtney Clark,,Mosasaurus Announcer,Supporting Cast
15,Colby Boothman,,Young Raptor Handler,Supporting Cast
16,James DuMont,,Hal Osterly,Supporting Cast
17,Matthew Burke,,Jim Drucker,Supporting Cast
18,Anna Talakkottur,,Erica Brand,Supporting Cast
19,Matty Cardarople,,Gyrosphere Operator,Supporting Cast
20,Michael Papajohn,,InGen Contractor,Supporting Cast
21,William Gary Smith,,Park Ranger,Supporting Cast
22,Kelly Washington,,Zach's Girlfriend,Supporting Cast
23,Isaac Keys,,Control Room Security Guard,Supporting Cast
24,Patrick Crowley,,Flight Instructor,Supporting Cast
25,Chad Randall,,InGen Soldier,Supporting Cast
26,Gary Weeks,,Father of Three,Supporting Cast
27,Bill Ogilvie,,Spanish Parkgoer,Supporting Cast
28,Allan Tam,,Chinese Parkgoer,Supporting Cast
29,Yvonne Welch,,Italian Mother,Supporting Cast
30,Chloe Perrin,,Italian Girl,Supporting Cast
31,Timothy Eulich,,ACU Trooper,Supporting Cast
32,Kevin Foster,,ACU Gunner,Supporting Cast
33,Bonnie Wild,,Park Announcer,Supporting Cast
34,Brad Bird,,Monorail Announcer,Supporting Cast
35,Colin Trevorrow,,Mr. DNA,Supporting Cast
0,Jimmy Fallon,,Himself,Cameos
0,Colin Trevorrow,,Director,Production and Technical Credits
1,Colin Trevorrow,,Screenwriter,Production and Technical Credits
2,Derek Connolly,,Screenwriter,Production and Technical Credits
3,Rick Jaffa,,Screenwriter,Production and Technical Credits
4,Amanda Silver,,Screenwriter,Production and Technical Credits
5,Rick Jaffa,,Story Creator,Production and Technical Credits
6,Amanda Silver,,Story Creator,Production and Technical Credits
7,Michael Crichton,,Based on Characters Created By,Production and Technical Credits
8,Frank Marshall,,Producer,Production and Technical Credits
9,Patrick Crowley,,Producer,Production and Technical Credits
10,Steven Spielberg,,Executive Producer,Production and Technical Credits
11,Thomas Tull,,Executive Producer,Production and Technical Credits
12,Ed Verreaux,,Production Designer,Production and Technical Credits
13,Kevin Stitt,,Editor,Production and Technical Credits
14,Michael Giacchino,,Composer,Production and Technical Credits
15,John Schwartzman,,Director of Photography,Production and Technical Credits
16,Daniel Orlandi,,Costume Designer,Production and Technical Credits
17,John Williams,,Song Writer-Jurassic Park Theme By,Production and Technical Credits
18,John Papsidera,,Casting Director,Production and Technical Credits
19,Tim Alexander,,Visual Effects Supervisor,Production and Technical Credits
20,Glen McIntosh,,Visual Effects Animation Supervisor,Production and Technical Credits
21,Patrick Crowley,,Unit Production Manager,Production and Technical Credits
22,Chris Castaldi,,First Assistant Director,Production and Technical Credits
23,Jason Roberts,,Second Assistant Director,Production and Technical Credits
24,Trevor Waterson,,Co-Producer,Production and Technical Credits
25,Christopher Raimo,,Associate Producer,Production and Technical Credits
26,Russell Allen,,Production Supervisor,Production and Technical Credits
27,Doug Meerdink,,Supervising Art Director,Production and Technical Credits
28,Christa Munro,,Art Director,Production and Technical Credits
29,Sam Avila,,Art Director-Assistant Art Director,Production and Technical Credits
30,Mike Piccirillo,,Art Department Coordinator,Production and Technical Credits
31,Ron Reiss,,Set Decorator,Production and Technical Credits
32,Masako Masuda,,Set Designer-Digital Set Designer,Production and Technical Credits
33,Randall Wilkins,,Set Designer-Digital Set Designer,Production and Technical Credits
34,Forest Fischer,,Set Designer-Digital Set Designer,Production and Technical Credits
35,Ernie Avila,,Set Designer,Production and Technical Credits
36,George Lee-McDonnell,,Set Designer,Production and Technical Credits
37,Kevin Loo,,Set Designer,Production and Technical Credits
38,Todd Cherniawsky,,Set Designer,Production and Technical Credits
39,Lorrie Campbell,,Set Designer,Production and Technical Credits
40,David Chow,,Set Designer,Production and Technical Credits
41,Kirk Francis,,Sound Mixer,Production and Technical Credits
42,"Stephen M. Rickert, Jr.",,Additional Editor,Production and Technical Credits
43,Al Nelson,,Supervising Sound Editor,Production and Technical Credits
44,Gwendolyn Yates Whittle,,Supervising Sound Editor,Production and Technical Credits
45,Al Nelson,,Sound Designer,Production and Technical Credits
46,Pete Horner,,Sound Designer,Production and Technical Credits
47,Christopher Boyes,,Re-recording Mixer,Production and Technical Credits
48,Pete Horner,,Re-recording Mixer,Production and Technical Credits
49,Kris Cole,,Assistant Editor,Production and Technical Credits
50,Heather Mullen,,Assistant Editor,Production and Technical Credits
51,Brendan Walsh,,Assistant Editor,Production and Technical Credits
52,Melanie DeForrest,,Key Make Up Artist,Production and Technical Credits
53,Vivian Baker,,Make up,Production and Technical Credits
54,Mary Mastro,,Hairstylist,Production and Technical Credits
55,Peter Tothpal,,Hairstylist,Production and Technical Credits
56,Luca Kouimelis,,Script Supervisor,Production and Technical Credits
57,Deanna Brigidi-Stewart,,Additional Casting-Casting Associate,Production and Technical Credits
58,Kim Winther,,Casting Assistant,Production and Technical Credits
59,Scott Guitteau,,Sound Effects Editor,Production and Technical Credits
60,Ben Burtt,,Sound Effects Editor,Production and Technical Credits
61,Pascal Garneau,,Sound Effects Editor,Production and Technical Credits
62,Brad Semenoff,,Dialogue Editor,Production and Technical Credits
63,Chris Manning,,Foley Mixer,Production and Technical Credits
64,Frank Rinella,,Foley Mixer,Production and Technical Credits
65,Paul Apelgren,,Music Editor,Production and Technical Credits
66,Alex Levy,,Music Editor,Production and Technical Credits
67,Chris O’ Hara,,Stunt Coordinator,Production and Technical Credits
68,Martin Klebba,,Stunts,Production and Technical Credits
69,Steve Orlando,,Assistant Sound Designer,Production and Technical Credits
70,Steve Orlando,,Assistant Supervising Sound Editor,Production and Technical Credits
