,0,1,2,type
0,James Spader,,Ultron,Leading Cast
0,"Robert Downey, Jr.",,Tony Stark/Iron Man,Lead Ensemble Members
1,Chris Hemsworth,,Thor,Lead Ensemble Members
2,Mark Ruffalo,,Bruce Banner / The Hulk,Lead Ensemble Members
3,Chris Evans,,Steve Rogers / Captain America,Lead Ensemble Members
4,Scarlett Johansson,,Natasha Romanoff/Black Widow,Lead Ensemble Members
5,Jeremy Renner,,Clint Barton/Hawkeye,Lead Ensemble Members
6,Samuel L. Jackson,,Nick Fury,Lead Ensemble Members
7,Aaron Taylor-Johnson,,Quicksilver,Lead Ensemble Members
8,Elizabeth Olsen,,Scarlet Witch,Lead Ensemble Members
0,Don Cheadle,,Colonel James Rhodes/War Machine,Supporting Cast
1,Paul Bettany,,The Vision,Supporting Cast
2,Cobie Smulders,,Maria Hill,Supporting Cast
3,Anthony Mackie,,Sam Wilson/The Falcon,Supporting Cast
4,Hayley Atwell,,Peggy Carter,Supporting Cast
5,Idris Elba,,Heimdall,Supporting Cast
6,Stellan Skarsgård,,Erik Selvig,Supporting Cast
7,Andy Serkis,,Ulysses Klaue,Supporting Cast
8,Claudia Kim,,Dr. Helen Cho,Supporting Cast
9,Julie Delpy,,Madame B,Supporting Cast
10,Henry Goodman,,Dr. List,Supporting Cast
11,Chris Luca,,Fortress Soldier,Supporting Cast
12,Brian Schaeffer,,Strucker Mercenary,Supporting Cast
13,Dominique Provost-Chalkey,,Zrinka,Supporting Cast
14,Issac Andrews,,Costel,Supporting Cast
15,Gareth Keiran Jones,,Sokovian Acid Student,Supporting Cast
16,Chan Woo Lim,,Dr. Cho's Assistant,Supporting Cast
17,Minhee Yeo,,Dr. Cho's Assistant,Supporting Cast
18,Bentley Kalu,,Klaue's Mercenary,Supporting Cast
19,Julian Bleach,,Ballet Instructor,Supporting Cast
20,Vuyo Dabula,,Johannesburg Cop,Supporting Cast
21,Chris Beasley,,Johannesburg Cop,Supporting Cast
22,Nondumiso Tembe,,Johannesburg Driver,Supporting Cast
23,Kabelo Thai,,Johannesburg Onlooker,Supporting Cast
24,Lele Ledwaba,,Johannesburg Onlooker,Supporting Cast
25,Mandla Gaduka,,Johannesburg Onlooker,Supporting Cast
26,Harriet Manamela,,Johannesburg Onlooker,Supporting Cast
