,0,1,2,type
0,Amy Poehler,,Joy,Lead Ensemble Members
1,Phyllis Smith,,Sadness,Lead Ensemble Members
2,Bill Hader,,Fear,Lead Ensemble Members
3,Lewis Black,,Anger,Lead Ensemble Members
4,Mindy Kaling,,Disgust,Lead Ensemble Members
0,Richard Kind,,Bing Bong,Supporting Cast
1,Kaitlyn Dias,,Riley,Supporting Cast
2,Diane Lane,,Riley's Mom,Supporting Cast
3,Kyle MacLachlan,,Riley's Dad,Supporting Cast
4,Paula Poundstone,,Forgetter Paula,Supporting Cast
5,Bobby Moynihan,,Forgetter Bobby,Supporting Cast
6,Paula Pell,,Mother's Anger,Supporting Cast
7,Lori Alan,,Mother's Sadness,Supporting Cast
8,Frank Oz,,Subconscious Guard Dave,Supporting Cast
9,Dave Goelz,,Subconscious Guard Frank,Supporting Cast
10,Flea,,Mind Worker Cop Jake,Supporting Cast
11,Pete Docter,,Father's Anger,Supporting Cast
12,Josh Cooley,,Jangles the Clown,Supporting Cast
13,John Ratzenberger,,Fritz,Supporting Cast
14,Rashida Jones,,Cool Girl,Supporting Cast
15,Peter Sagal,,Clown's Joy,Supporting Cast
16,Carlos Alazraqui,,Father's Fear,Supporting Cast
17,Laraine Newman,,Mother's Fear,Supporting Cast
18,Sherry Lynn,,Mother's Joy,Supporting Cast
19,Paris Van Dyke,,Meg,Supporting Cast
20,Emma Hudak,,Additional Voices,Supporting Cast
0,Pete Docter,,Director,Production and Technical Credits
1,Pete Docter,,Screenwriter,Production and Technical Credits
2,Meg LeFauve,,Screenwriter,Production and Technical Credits
3,Josh Cooley,,Screenwriter,Production and Technical Credits
4,Pete Docter,,Story Creator,Production and Technical Credits
5,Ronnie del Carmen,,Story Creator,Production and Technical Credits
6,Jonas Rivera,,Producer,Production and Technical Credits
7,John Lasseter,,Executive Producer,Production and Technical Credits
8,Andrew Stanton,,Executive Producer,Production and Technical Credits
9,Ralph Eggleston,,Production Designer,Production and Technical Credits
10,Kevin Nolting,,Editor,Production and Technical Credits
11,Michael Giacchino,,Composer,Production and Technical Credits
12,Patrick Lin,,Director of Photography-3D,Production and Technical Credits
13,Ronnie del Carmen,,Co-Director,Production and Technical Credits
14,Tom MacDougall,,Music Supervisor,Production and Technical Credits
15,Ren Klyce,,Sound Designer,Production and Technical Credits
16,Daniel Laurie,,Supervising Dialogue Editor,Production and Technical Credits
17,Shannon Mills,,Supervising Sound Editor,Production and Technical Credits
18,Michael Semanick,,Re-recording Mixer,Production and Technical Credits
19,Tom Johnson,,Re-recording Mixer,Production and Technical Credits
20,Michael Fong,,Supervising Technical Director,Production and Technical Credits
21,Shawn Krause,,Animation Supervisor,Production and Technical Credits
22,Victor Navone,,Animation Supervisor,Production and Technical Credits
23,Sajan Skaria,,Character Supervisor,Production and Technical Credits
24,Gary Bruins,,Character Effects Supervisor,Production and Technical Credits
25,Bob Whitehill,,Stereoscopic Supervisor,Production and Technical Credits
26,Mark Nielsen,,Associate Producer,Production and Technical Credits
27,Kevin Reher,,Casting Director,Production and Technical Credits
28,Natalie Lyon,,Casting Director,Production and Technical Credits
