,0,1,2,type
0,Vin Diesel,,Dominic Toretto,Leading Cast
1,Paul Walker,,Brian O'Conner,Leading Cast
0,Michelle Rodriguez,,Letty,Supporting Cast
1,Jordana Brewster,,Mia,Supporting Cast
2,Dwayne Johnson,,Hobbs,Supporting Cast
3,Jason Statham,,Deckard Shaw,Supporting Cast
4,Kurt Russell,,Mr. Nobody,Supporting Cast
5,Tyrese Gibson,,Roman,Supporting Cast
6,Chris ‘Ludacris’ Bridges,,Tej,Supporting Cast
7,Lucas Black,,Sean Boswell,Supporting Cast
8,Nathalie Emmanuel,,Ramsey,Supporting Cast
9,Elsa Pataky,,Elena,Supporting Cast
10,Gal Gadot,,Gisele,Supporting Cast
11,John Brotherton,,Sheppard,Supporting Cast
12,Luke Evans,,Owen Shaw,Supporting Cast
13,Tony Jaa,,Kiet,Supporting Cast
14,Djimon Hounsou,,Jakande,Supporting Cast
15,Noel Gugliemi,,Hector,Supporting Cast
16,Ali Fazal,,Safar,Supporting Cast
17,Sung Kang,,Han,Supporting Cast
18,Ronda Rousey,,Kara,Supporting Cast
19,Miller Kimsey,,Jack,Supporting Cast
20,Charlie Kimsey,,Jack,Supporting Cast
21,Eden Estrella,,Samantha Hobbs,Supporting Cast
22,Gentry White,,Letty Fan,Supporting Cast
23,Iggy Azalea,,Female Racer,Supporting Cast
24,Jon Lee Brody,,Male Racer,Supporting Cast
25,Levy Tran,,Race Starter,Supporting Cast
26,Anna Colwell,,Hot Teacher,Supporting Cast
27,Viktor Hernandez,,Doctor,Supporting Cast
28,Steve Coulter,,Priest,Supporting Cast
29,Robert Pralgo,,Merc Tech,Supporting Cast
30,Antwan Mills,,Weapons Tech,Supporting Cast
31,J.J. Phillips,,Billionaire,Supporting Cast
32,Jorge Ferragut,,Dominican Priest,Supporting Cast
33,Sara Sohn,,Hana,Supporting Cast
34,Ben Blankenship,,Merc Driver,Supporting Cast
35,D.J. Hapa,,DJ,Supporting Cast
36,T-Pain*,,DJ,Supporting Cast
37,Brian Mahoney,,Drone Tech,Supporting Cast
38,Brittney Alger,,Jasmine,Supporting Cast
39,Romeo Santos,,Mando,Supporting Cast
40,Jocelin Donahue,,Advisor,Supporting Cast
41,Stephanie Langston,,Field Reporter,Supporting Cast
42,Jorge-Luis Pallo,,Cop,Supporting Cast
0,James Wan,,Director,Production and Technical Credits
1,Chris Morgan,,Screenwriter,Production and Technical Credits
2,Gary Scott Thompson,,Based on Characters Created by,Production and Technical Credits
3,Neal H. Moritz,,Producer,Production and Technical Credits
4,Vin Diesel,,Producer,Production and Technical Credits
5,Michael Fottrell,,Producer,Production and Technical Credits
6,Amanda Lewis,,Executive Producer,Production and Technical Credits
7,Samantha Vincent,,Executive Producer,Production and Technical Credits
8,Chris Morgan,,Executive Producer,Production and Technical Credits
9,Bill Brzeski,,Production Designer,Production and Technical Credits
10,Christian Wagner,,Editor,Production and Technical Credits
11,Dylan Highsmith,,Editor,Production and Technical Credits
12,Kirk Morri,,Editor,Production and Technical Credits
13,Leigh Folsom-Boyd,,Editor,Production and Technical Credits
14,Brian Tyler,,Composer,Production and Technical Credits
15,Stephen F. Windon,,Director of Photography,Production and Technical Credits
16,Michael J. Wassel,,Visual Effects Supervisor,Production and Technical Credits
17,Kelvin McIlwain,,Visual Effects Supervisor,Production and Technical Credits
18,Sanja Milkovic Hays,,Costume Designer,Production and Technical Credits
19,Anne McCarthy,,Casting Director,Production and Technical Credits
20,Kelly Roy,,Casting Director,Production and Technical Credits
21,Michael Fottrell,,Unit Production Manager,Production and Technical Credits
22,Albert Cho,,First Assistant Director,Production and Technical Credits
23,Jeff Bilger,,Second Assistant Director,Production and Technical Credits
24,Spiro Razatos,,Second Unit Director,Production and Technical Credits
25,Spiro Razatos,,Stunt Coordinator,Production and Technical Credits
26,Karen Murphy-Mundell*,,Visual Effects Producer,Production and Technical Credits
27,Adam McCarthy,,Co-Producer,Production and Technical Credits
28,Brandon Birtell,,Co-Producer,Production and Technical Credits
29,F. Valentino Morales,,Associate Producer,Production and Technical Credits
30,Desma Murphy,,Supervising Art Director,Production and Technical Credits
31,Jonathan Carlos,,Art Director,Production and Technical Credits
32,Alan Hook,,Art Director,Production and Technical Credits
33,Jay Pelissier,,Art Director,Production and Technical Credits
34,Brian Stultz,,Art Director,Production and Technical Credits
35,Danielle Berman,,Set Decorator,Production and Technical Credits
36,Tim Earls,,Set Designer,Production and Technical Credits
37,Mayumi Konishi-Valentine,,Set Designer,Production and Technical Credits
38,Sarah Forrest,,Set Designer,Production and Technical Credits
39,Anne Porter,,Set Designer,Production and Technical Credits
40,James Mackinnon,,Make up,Production and Technical Credits
41,Sarah Mays,,Make up,Production and Technical Credits
42,Autumn Butler,,Make up,Production and Technical Credits
43,Linda Flowers,,Hairstylist,Production and Technical Credits
44,Jennifer Santiago,,Hairstylist,Production and Technical Credits
45,Nava Sadan,,Costume Supervisor,Production and Technical Credits
46,Brenda Wachel,,Script Supervisor,Production and Technical Credits
47,Dan Sudick,,Special Effects Coordinator,Production and Technical Credits
48,Peter Brown,,Sound Designer,Production and Technical Credits
49,Jon Taylor,,Re-recording Mixer,Production and Technical Credits
50,Frank A. Montano,,Re-recording Mixer,Production and Technical Credits
51,David Kern,,Additional Editor,Production and Technical Credits
52,Anna Mackenzie,,Supervising Dialogue Editor,Production and Technical Credits
53,Stephen P. Robinson,,Sound Effects Editor,Production and Technical Credits
54,Ann Scibelli,,Sound Effects Editor,Production and Technical Credits
55,Jay Wilkinson,,Sound Effects Editor,Production and Technical Credits
56,Dino DiMuro,,Sound Effects Editor,Production and Technical Credits
57,Glynna Grimala,,Sound Effects Editor,Production and Technical Credits
58,Frederick H. Stahly,,Dialogue Editor,Production and Technical Credits
59,Paul Rabjohns,,Supervising Music Editor,Production and Technical Credits
60,Joe Lisanti,,Music Editor,Production and Technical Credits
61,Matthew Llewellyn,,Music Editor,Production and Technical Credits
62,Robb Boyd,,Music Editor,Production and Technical Credits
63,Joel Kramer,,Supervising Stunt Coordinator,Production and Technical Credits
64,Oakley Lehman,,Stunt Coordinator,Production and Technical Credits
65,Troy Robinson,,Stunt Coordinator,Production and Technical Credits
66,Marty Eli Schwartz,,First Assistant Director (Second Unit),Production and Technical Credits
67,Marty Eli Schwartz,,Second Unit Director,Production and Technical Credits
68,Igor Meglic,,Second Unit Camera,Production and Technical Credits
69,Andy Gill,,Stunt Coordinator-Second Unit,Production and Technical Credits
70,Jack Gill,,Second Unit Director,Production and Technical Credits
71,Brett Robinson,,First Assistant Director/Second Assistant Director/Second Second Assistant Director,Production and Technical Credits
