,0,1,2,type
0,Steve Carell,,Young Gru,Leading Cast
1,Sandra Bullock,,Scarlet Overkill,Leading Cast
2,Jon Hamm,,Herb Overkill,Leading Cast
0,Michael Keaton,,Walter Nelson,Supporting Cast
1,Allison Janney,,Madge Nelson,Supporting Cast
2,Steve Coogan,,Professor Flux/Tower Guard,Supporting Cast
3,Jennifer Saunders,,The Queen,Supporting Cast
4,Pierre Coffin,,The Minions,Supporting Cast
5,Katy Mixon,,Tina,Supporting Cast
6,Michael Beattie,,VNC Announcer/Walter Jr.,Supporting Cast
7,Hiroyuki Sanada,,Sumo Villain,Supporting Cast
8,Dave Rosenberg,,Fabrice,Supporting Cast
9,Alex Dowding,,Royal Advisor,Supporting Cast
10,Paul Thornley,,News Reporter,Supporting Cast
11,Ava Acres,,Additional Voice,Supporting Cast
12,Carlos Alazraqui,,Additional Voice,Supporting Cast
13,Lori Alan,,Additional Voice,Supporting Cast
14,Kyle Balda,,Additional Voice,Supporting Cast
15,Daniel Barker,,Additional Voice,Supporting Cast
16,Bob Bergen,,Additional Voice,Supporting Cast
17,Melanie Bond,,Additional Voice,Supporting Cast
18,John Cygan,,Additional Voice,Supporting Cast
19,Brian T. Delaney,,Additional Voice,Supporting Cast
20,Bill Farmer,,Additional Voice,Supporting Cast
21,Keith Ferguson,,Additional Voice,Supporting Cast
22,Helen Fraser,,Additional Voice,Supporting Cast
23,Jess Harnell,,Additional Voice,Supporting Cast
24,Charlie Hayes,,Additional Voice,Supporting Cast
25,Eve Karpf,,Additional Voice,Supporting Cast
26,John Kassir,,Additional Voice,Supporting Cast
27,Sherry Lynn,,Additional Voice,Supporting Cast
28,Lewis Macleod,,Additional Voice,Supporting Cast
29,Danny Mann,,Additional Voice,Supporting Cast
30,Mona Marshall,,Additional Voice,Supporting Cast
31,Gary Martin,,Additional Voice,Supporting Cast
32,Mickie McGowan,,Additional Voice,Supporting Cast
33,Laraine Newman,,Additional Voice,Supporting Cast
34,Andy Nyman,,Additional Voice,Supporting Cast
35,Jan Rabson,,Additional Voice,Supporting Cast
36,Chris Ragland,,Additional Voice,Supporting Cast
37,Zachary Rice,,Additional Voice,Supporting Cast
38,Cole Sand,,Additional Voice,Supporting Cast
39,Mindy Sterling,,Additional Voice,Supporting Cast
40,Tara Strong,,Additional Voice,Supporting Cast
41,Will Vanderpuye,,Additional Voice,Supporting Cast
42,James Kevin Ward,,Additional Voice,Supporting Cast
43,Colette Whitaker,,Additional Voice,Supporting Cast
44,James Daniel Wilson,,Additional Voice,Supporting Cast
0,Geoffrey Rush,,Narrator,Narrator(s)
0,Pierre Coffin,,Director,Production and Technical Credits
1,Kyle Balda,,Director,Production and Technical Credits
2,Brian Lynch,,Screenwriter,Production and Technical Credits
3,Christopher Meledandri,,Producer,Production and Technical Credits
4,Janet Healy,,Producer,Production and Technical Credits
5,Chris Renaud,,Executive Producer,Production and Technical Credits
6,Eric Guillon,,Production Designer,Production and Technical Credits
7,Claire Dodgson,,Editor,Production and Technical Credits
8,Heitor Pereira,,Composer,Production and Technical Credits
9,Eric Guillon,,Character Designer,Production and Technical Credits
10,Robert Taylor,,Associate Producer,Production and Technical Credits
11,Brett Hoffman,,Associate Producer,Production and Technical Credits
12,Nathalie Vaincauwenberghe,,Production Supervisor,Production and Technical Credits
13,Olivier Adam,,Art Director,Production and Technical Credits
14,Bruno Dequier,,Animation Director,Production and Technical Credits
15,Pierre Leduc,,Animation Director,Production and Technical Credits
16,Pierre Avon,,Supervising Animator,Production and Technical Credits
17,Simon Cuisinier,,Animation Supervisor,Production and Technical Credits
18,Luc Degardin,,Animation Supervisor,Production and Technical Credits
19,Christophe Delisle,,Animation Supervisor,Production and Technical Credits
20,Jonathan Del Val,,Animation Supervisor,Production and Technical Credits
21,Audrey Fobis,,Animation Supervisor,Production and Technical Credits
22,Ludovic Savonniere,,Animation Supervisor,Production and Technical Credits
23,Emmanuel Vergne,,Animation Supervisor,Production and Technical Credits
24,Elisabeth Patte,,Crowd Supervisor,Production and Technical Credits
25,Christele Jolens,,Technical Animation Supervisor,Production and Technical Credits
26,Laurent De La Chapelle,,Technical Animation Supervisor,Production and Technical Credits
27,David Rodrigues,,Character Effects Supervisor,Production and Technical Credits
28,Dave Rosenbaum,,Story Supervisor,Production and Technical Credits
29,Tiffany Hillkurtz,,Associate Editor,Production and Technical Credits
30,Prakash Patel,,First Assistant Editor,Production and Technical Credits
31,Lisa Shaw Phillips,,First Assistant Editor,Production and Technical Credits
32,Rachel Brennan,,Second Assistant Editor,Production and Technical Credits
33,Ken Schretzmann,,Additional Editor,Production and Technical Credits
34,Didier Ah-Koon,,Story Artist,Production and Technical Credits
35,Marco Allard,,Story Artist,Production and Technical Credits
36,Eric Delbecq,,Story Artist,Production and Technical Credits
37,Antoine Ettori,,Story Artist,Production and Technical Credits
38,Serguei Kouchnerov,,Story Artist,Production and Technical Credits
39,Habib Louati,,Story Artist,Production and Technical Credits
40,Nolwenn Roberts,,Story Artist,Production and Technical Credits
41,Paul Mager,,Set Designer,Production and Technical Credits
42,Vincent Massy De La Chesneraye,,Set Designer,Production and Technical Credits
43,Charlotte Hutchinson,,Set Designer,Production and Technical Credits
44,Brett Nystul,,Set Designer,Production and Technical Credits
45,Loic Rastout,,Set Designer,Production and Technical Credits
