,0,1,2,type
0,Matt Damon,,Mark Watney,Leading Cast
0,Jessica Chastain,,Melissa Lewis,Supporting Cast
1,Kristen Wiig,,Annie Montrose,Supporting Cast
2,Jeff Daniels,,Teddy Sanders,Supporting Cast
3,Michael Peña,,Rick Martinez,Supporting Cast
4,Kate Mara,,Beth Johanssen,Supporting Cast
5,Sean Bean,,Mitch Henderson,Supporting Cast
6,Sebastian Stan,,Chris Beck,Supporting Cast
7,Aksel Hennie,,Alex Vogel,Supporting Cast
8,Chiwetel Ejiofor,,Vincent Kapoor,Supporting Cast
9,Benedict Wong,,Bruce Ng,Supporting Cast
10,Mackenzie Davis,,Mindy Park,Supporting Cast
11,Donald Glover,,Rich Purnell,Supporting Cast
12,Nick Mohammed,,Tim Grimes,Supporting Cast
13,Chen Shu,,Zhu Tao,Supporting Cast
14,Eddy Ko,,Guo Ming,Supporting Cast
15,Enzo Cilenti,,Mike Watkins,Supporting Cast
16,Jonathan Aris,,Brendan Hatch,Supporting Cast
17,Gruffudd Glyn,,Jack,Supporting Cast
18,Naomi Scott,,Ryoko,Supporting Cast
19,Geoffrey Thomas,,U.S. President,Supporting Cast
20,Yang Haiwen,,Chinese Flight Director,Supporting Cast
21,Narantsogt Tsogtsaikhan,,Wen Jiang,Supporting Cast
22,Brian Caspe,,Timer Controller,Supporting Cast
23,Matt Devere,,Satcon,Supporting Cast
24,Mike Kelly,,Launcher Interface,Supporting Cast
25,Szonja Oroszlan,,Launch Control,Supporting Cast
26,"Greg Decuir, Jr.",,Capcom,Supporting Cast
27,Mark O'Neal,,Guidance,Supporting Cast
28,Peter Linka,,Telemetry,Supporting Cast
29,Declan Hannigan,,Comms,Supporting Cast
30,Peter Schueller,,NASA Break Room Worker,Supporting Cast
31,Waleska Latorre,,Vincent's Secretary,Supporting Cast
32,Frederik Pleitgen,,CNN Reporter,Supporting Cast
33,Nikolett Barabas,,Reporter 1,Supporting Cast
34,Karen Gagnon,,Reporter 2,Supporting Cast
35,Lili Bordan,,Reporter 3,Supporting Cast
36,Charlie Gardner,,Robert Lewis,Supporting Cast
37,Nora Horich,,Vogel's Wife,Supporting Cast
38,Kamilla Fatyol,,Marissa Martinez,Supporting Cast
39,Yang Liu,,Chinese Translator,Supporting Cast
40,Xue Xuxing,,Ming's Secretary,Supporting Cast
