,0,1,2,type
0,Lily James,,Ella,Leading Cast
0,Cate Blanchett,,Evil Stepmother,Supporting Cast
1,Richard Madden,,Kit,Supporting Cast
2,Stellan Skarsgård,,The Grand Duke,Supporting Cast
3,Holliday Grainger,,Anastasia,Supporting Cast
4,Derek Jacobi,,The King,Supporting Cast
5,Helena Bonham Carter,,Fairy Godmother,Supporting Cast
6,Sophie McShera,,Drizella,Supporting Cast
7,Hayley Atwell,,Cinderella's Mother,Supporting Cast
8,Nonso Anozie,,Captain,Supporting Cast
9,Ben Chaplin,,Cinderella's Father,Supporting Cast
10,Rob Brydon,,Master Phineus,Supporting Cast
11,Jana Perez,,Princess Chelina of Zaragosa,Supporting Cast
12,Alex MacQueen,,Royal Crier-Lizard Footman,Supporting Cast
13,Gareth Mason,,Goose Coachman,Supporting Cast
14,Paul Hunter,,Farmer,Supporting Cast
15,Eloise Webb,,Ella (10 Years),Supporting Cast
16,Joshua McGuire,,Palace Official,Supporting Cast
17,Matthew Steer,,Halberdier,Supporting Cast
18,Mimi Ndiweni,,Slipper Lady,Supporting Cast
19,Laura Elsworthy,,Slipper Lady,Supporting Cast
20,Ella Smith,,Slipper Lady,Supporting Cast
21,Ann Davies,,Slipper Lady,Supporting Cast
22,Gerard Horan,,Lord Veneering,Supporting Cast
23,Katie West,,Cook,Supporting Cast
24,Daniel Tuite,,Gardener,Supporting Cast
25,Anjana Vasan,,Maid,Supporting Cast
26,Stuart Neal,,Stable Boy,Supporting Cast
27,Adetomiwa Edun,,Trooper,Supporting Cast
28,Richard McCabe,,Baron,Supporting Cast
29,Joseph Kloska,,Royal Crier's Assistant,Supporting Cast
30,Andy Apollo,,Prince's Retinue Member,Supporting Cast
31,Craig Mathers,,Prince's Retinue Member,Supporting Cast
32,Jonny Owen Last,,Prince's Retinue Member,Supporting Cast
33,Nari Blair-Mangat,,Prince's Retinue Member,Supporting Cast
34,Michael Jenn,,King's Doctor,Supporting Cast
35,Josh O’Connor,,Ballroom Palace Guard,Supporting Cast
36,Jimmy Yuill,,Performance Consultant,Supporting Cast
0,Kenneth Branagh,,Director,Production and Technical Credits
1,Chris Weitz,,Screenwriter,Production and Technical Credits
2,Simon Kinberg,,Producer,Production and Technical Credits
3,Allison Shearmur,,Producer,Production and Technical Credits
4,David Barron,,Producer,Production and Technical Credits
5,Tim Lewis,,Executive Producer,Production and Technical Credits
6,Haris Zambarloukos,,Director of Photography,Production and Technical Credits
7,Dante Ferretti,,Production Designer,Production and Technical Credits
8,Martin Walsh,,Editor,Production and Technical Credits
9,Sandy Powell,,Costume Designer,Production and Technical Credits
10,Patrick Doyle,,Composer,Production and Technical Credits
11,Charles Perrault,,Based on Disney's Cinderella properties and the fairy tale written by,Production and Technical Credits
12,Mark Romanek,,Co-Director,Production and Technical Credits
13,Stefan Sonnenfeld,,Executive Producer,Production and Technical Credits
14,Tim Lewis,,Line Producer,Production and Technical Credits
15,Steven Harding,,Unit Production Manager,Production and Technical Credits
16,Will Dodds,,Assistant Director,Production and Technical Credits
17,Samar Pollitt,,Assistant Director,Production and Technical Credits
18,Sam Smith,,Assistant Director,Production and Technical Credits
19,Sam Rook,,Assistant Director,Production and Technical Credits
