,0,1,2,type
0,Daniel Craig,,James Bond,Leading Cast
0,Christoph Waltz,,Oberhauser,Supporting Cast
1,Lea Seydoux,,Madeleine Swann,Supporting Cast
2,Ben Whishaw,,Q,Supporting Cast
3,Naomie Harris,,Eve Moneypenny,Supporting Cast
4,Dave Bautista,,Mr. Hinx,Supporting Cast
5,Monica Bellucci,,Lucia Sciarra,Supporting Cast
6,Ralph Fiennes,,M,Supporting Cast
7,Andrew Scott,,C,Supporting Cast
8,Rory Kinnear,,Tanner,Supporting Cast
9,Jesper Christensen,,Mr. White,Supporting Cast
10,Alessandro Cremona,,Marco Sciarra,Supporting Cast
11,Stephanie Sigman,,Estrella,Supporting Cast
12,Tenoch Huerta,,Mexican Man in Lift,Supporting Cast
13,Adriana Paz,,Mexican Woman in Lift,Supporting Cast
14,Domenico Fortunato,,Gallo,Supporting Cast
15,Marco Zingaro,,Gallo's Accomplice,Supporting Cast
16,Stefano Elfi DiClaudia,,Gallo's Accomplice,Supporting Cast
17,Ian Bonar,,Q's Assistant,Supporting Cast
18,Tam Williams,,Moneypenny's Boyfriend,Supporting Cast
19,Richard Banham,,Oberhauser's London Helicopter Pilot,Supporting Cast
20,Pip Carter,,SC019 Police Commander,Supporting Cast
21,Simon Lenagan,,SC019 Police Officer,Supporting Cast
22,Alessandro Bressanello,,Priest,Supporting Cast
23,Marc Zinga,,Moreau,Supporting Cast
24,Brigitte Millar,,Vogel,Supporting Cast
25,Adel Bencherif,,Abrika,Supporting Cast
26,Gediminas Adomaitis,,Oberhauser's Right Hand Man,Supporting Cast
27,Peppe Lanzetta,,Lorenzo,Supporting Cast
28,Francesco Arca,,Francesco,Supporting Cast
29,Matteo Taranto,,Marco,Supporting Cast
30,Emilio Aniba,,Palazzo Security,Supporting Cast
31,Benito Sagredo,,Guerra,Supporting Cast
32,Dai Tabuchi,,Businessman,Supporting Cast
33,George Lasha,,Businessman,Supporting Cast
34,Sargon Yelda,,Businessman,Supporting Cast
35,Andy Cheung,,Businessman,Supporting Cast
36,Erick Hayden,,Marshall,Supporting Cast
37,Oleg Mirochnikov,,Valerian,Supporting Cast
38,Antonio Salines,,Fiat Driver,Supporting Cast
39,Miloud Mourad Benamara,,Street Sweeper,Supporting Cast
40,Gido Schimanski,,Chairman,Supporting Cast
41,Nigel Barber,,Head of Nation,Supporting Cast
42,Patrice Naiambana,,Head of Nation,Supporting Cast
43,Stephane Cornicard,,Head of Nation,Supporting Cast
44,Gary Fannin,,Head of Nation,Supporting Cast
45,Sadao Ueda,,Head of Nation,Supporting Cast
46,Phillip Law,,Head of Nation,Supporting Cast
47,Wai Wong,,Head of Nation,Supporting Cast
48,Joseph Balderrama,,Head of Nation,Supporting Cast
49,Eiji Mihara,,Aide,Supporting Cast
50,Junichi Kajioka,,Aide,Supporting Cast
51,Victor Schefe,,Clinic Barman,Supporting Cast
52,Harald Windisch,,Clinic Security Guard,Supporting Cast
53,Tristan Matthiae,,Clinic Security Guard,Supporting Cast
54,Detlef Bothe,,Cable Car Heavy,Supporting Cast
55,Bodo Friesecke,,Cable Car Heavy,Supporting Cast
56,Wilhem Iben,,Syringe Heavy,Supporting Cast
57,Noemi Krausz,,Snowboarder,Supporting Cast
58,Noah Saavedra,,Snowboarder,Supporting Cast
59,Francis Attakpah,,Snowboarder,Supporting Cast
60,Michael Glantschnig,,Snowboarder,Supporting Cast
61,Marlon Boess,,Snowboarder,Supporting Cast
62,Marie Wohlmuth,,Snowboarder,Supporting Cast
63,Lili Epply,,Snowboarder,Supporting Cast
