,0,1,2,type
0,Felicity Jones,,Jyn Erso,Lead Ensemble Members
1,Diego Luna,,Captain Cassian Andor,Lead Ensemble Members
2,Ben Mendelsohn,,Director Orson Krennic,Lead Ensemble Members
3,Donnie Yen,,Chirrut Imwe,Lead Ensemble Members
4,Mads Mikkelsen,,Galen Erso,Lead Ensemble Members
5,Alan Tudyk,,K-2SO,Lead Ensemble Members
6,Riz Ahmed,,Bodhi Rook,Lead Ensemble Members
0,Jiang Wen,,Baze Malbus,Supporting Cast
1,Forest Whitaker,,Saw Gerrera,Supporting Cast
2,Jimmy Smits,,Bail Organa,Supporting Cast
3,James Earl Jones,,Darth Vader,Supporting Cast
4,Genevieve O'Reilly,,Mon Mothma,Supporting Cast
5,Valene Kane,,Lyra Erso,Supporting Cast
6,Alistair Petrie,,General Draven,Supporting Cast
7,Ben Daniels,,General Merrick,Supporting Cast
8,Stephen Stanton,,General Raddus,Supporting Cast
9,Ian McElhinney,,General Dodonna,Supporting Cast
10,Fares Fares,,Senator Vaspar,Supporting Cast
11,Jonathan Aris,,Senator Jebel,Supporting Cast
12,Beau Gadsdon,,Young Jyn,Supporting Cast
13,Dolly Gadsdon,,Younger Jyn,Supporting Cast
14,Sharon Duncan-Brewster,,Senator Pamlo,Supporting Cast
15,Warwick Davis,,Weeteef Cyubee,Supporting Cast
16,Aidan Cook,,Edrio Two Tubes,Supporting Cast
17,Derek Arnold,,Pao,Supporting Cast
18,Nick Kellington,,Bistan,Supporting Cast
19,Richard Cunningham,,General Ramda,Supporting Cast
20,Jack Roth,,Lieutenant Adema,Supporting Cast
21,Michael Gould,,Admiral Gorin,Supporting Cast
22,Michael Shaeffer,,General Corssin,Supporting Cast
23,Daniel Mays,,Tivik,Supporting Cast
24,Andy de la Tour,,General Hurst Romodi,Supporting Cast
25,Tony Pitts,,Captain Pterro,Supporting Cast
0,Gareth Edwards,,Director,Production and Technical Credits
1,Chris Weitz,,Screenwriter,Production and Technical Credits
2,Tony Gilroy,,Screenwriter,Production and Technical Credits
3,John Knoll,,Story by,Production and Technical Credits
4,Gary Whitta,,Story by,Production and Technical Credits
5,Kathleen Kennedy,,Producer,Production and Technical Credits
6,Allison Shearmur,,Producer,Production and Technical Credits
7,Simon Emanuel,,Producer,Production and Technical Credits
8,John Knoll,,Executive Producer,Production and Technical Credits
9,Jason McGatlin,,Executive Producer,Production and Technical Credits
10,Greig Fraser,,Director of Photography,Production and Technical Credits
11,Doug Chiang,,Production Designer,Production and Technical Credits
12,Neil Lamont,,Production Designer,Production and Technical Credits
13,Glyn Dillon,,Costume Designer,Production and Technical Credits
14,Davie Crossman*,,Costume Designer,Production and Technical Credits
15,Michael Giacchino,,Composer,Production and Technical Credits
16,John Knoll,,Visual Effects Supervisor,Production and Technical Credits
17,Mohen Leo,,Visual Effects Supervisor,Production and Technical Credits
18,Hal Hickel,,Animation Supervisor: ILM,Production and Technical Credits
19,Matthew Wood,,Supervising Sound Editor,Production and Technical Credits
20,Neil Corbould,,Special Effects Supervisor,Production and Technical Credits
21,Josh Gold,,Sound Effects Editor,Production and Technical Credits
22,Gary Tomkins,,Senior Art Director,Production and Technical Credits
