,0,1,2,type
0,Auli'i Cravalho,,Moana,Leading Cast
1,Dwayne Johnson,,Maui,Leading Cast
0,Temuera Morrison,,Chief Tui,Supporting Cast
1,Rachel House,,Gramma Tala,Supporting Cast
2,Nicole Scherzinger,,Sina,Supporting Cast
3,Jemaine Clement,,Tamatoa,Supporting Cast
4,Alan Tudyk,,Heihei,Supporting Cast
0,Ron Clements,,Director,Production and Technical Credits
1,John Musker,,Director,Production and Technical Credits
2,Chris Williams,,Co-Director,Production and Technical Credits
3,Don Hall,,Co-Director,Production and Technical Credits
4,Jared Bush,,Screenwriter,Production and Technical Credits
5,Ron Clements,,Story by,Production and Technical Credits
6,John Musker,,Story by,Production and Technical Credits
7,Chris Williams,,Story by,Production and Technical Credits
8,Don Hall,,Story by,Production and Technical Credits
9,Pamela Ribon,,Story by,Production and Technical Credits
10,Aaron Kandell,,Story by,Production and Technical Credits
11,Jordan Kandell,,Story by,Production and Technical Credits
12,Osnat Shurer,,Producer,Production and Technical Credits
13,John Lasseter,,Executive Producer,Production and Technical Credits
14,Mark Mancina,,Composer,Production and Technical Credits
15,Lin-Manuel Miranda,,Song Writer,Production and Technical Credits
16,Mark Mancina,,Song Writer,Production and Technical Credits
17,Opetaia Tavita Foa’i,,Song Writer,Production and Technical Credits
18,Jeff Draheim,,Editor,Production and Technical Credits
19,Rob Dressel,,Director of Photography,Production and Technical Credits
20,Adolph Lusinsky,,Director of Photography,Production and Technical Credits
21,Lee Gilmore,,Sound Effects Editor,Production and Technical Credits
22,Jacob Riehle,,Dialogue Supervisor,Production and Technical Credits
