,0,1,2,type
0,Ellen DeGeneres,,Dory,Leading Cast
0,Albert Brooks,,Marlin,Supporting Cast
1,Ed O'Neill,,Hank,Supporting Cast
2,Hayden Rolence,,Nemo,Supporting Cast
3,Kaitlin Olson,,Destiny,Supporting Cast
4,Ty Burrell,,Bailey,Supporting Cast
5,Eugene Levy,,Charlie,Supporting Cast
6,Diane Keaton,,Jenny,Supporting Cast
7,Idris Elba,,Fluke,Supporting Cast
8,Dominic West,,Rudder,Supporting Cast
9,Andrew Stanton,,Crush,Supporting Cast
10,Bob Peterson,,Mr. Ray,Supporting Cast
11,Torbin Xan Bullock,,Becky,Supporting Cast
12,Bennett Dammann,,Squirt,Supporting Cast
13,Bill Hader,,Ned,Supporting Cast
14,Kate McKinnon,,Inez,Supporting Cast
15,Jerome Ranft,,Jacques,Supporting Cast
16,Brad Garrett,,Bloat,Supporting Cast
17,Allison Janney,,Peach,Supporting Cast
18,Stephen Root,,Bubbles,Supporting Cast
19,Alexander Gould,,Carl,Supporting Cast
20,Angus Maclane,,Sunfish,Supporting Cast
21,Vicki Lewis,,Deb,Supporting Cast
22,Austin Pendleton,,Gurgle,Supporting Cast
23,Katherine Ringgold,,Chickenfish,Supporting Cast
24,Willem Dafoe,,Gill,Supporting Cast
0,Sigourney Weaver,,Herself,Cameos
1,John Ratzenberger,,Bill,Cameos
0,Andrew Stanton,,Director,Production and Technical Credits
1,Angus Maclane,,Co-Director,Production and Technical Credits
2,Andrew Stanton,,Screenwriter,Production and Technical Credits
3,Victoria Strouse,,Screenwriter,Production and Technical Credits
4,Andrew Stanton,,Story by,Production and Technical Credits
5,Victoria Strouse,,Story by,Production and Technical Credits
6,Bob Peterson,,Story by,Production and Technical Credits
7,Lindsey Collins,,Producer,Production and Technical Credits
8,John Lasseter,,Executive Producer,Production and Technical Credits
9,Steve Pilcher,,Production Designer,Production and Technical Credits
10,Axel Geddes,,Editor,Production and Technical Credits
11,Thomas Newman,,Composer,Production and Technical Credits
12,Jeremy Lasky,,Director of Photography,Production and Technical Credits
13,Ian Megibben,,Director of Photography,Production and Technical Credits
14,Bob Roath,,Associate Producer,Production and Technical Credits
15,Don Shanks,,Art Director,Production and Technical Credits
16,Chris Chapman,,Visual Effects Supervisor,Production and Technical Credits
17,Natalie Lyon,,Casting Director,Production and Technical Credits
18,Kevin Reher,,Casting Director,Production and Technical Credits
19,Jacob Riehle,,Foley Editor,Production and Technical Credits
