,0,1,2,type
0,Chris Evans,,Steve Rogers/Captain America,Lead Ensemble Members
1,"Robert Downey, Jr.",,Tony Stark/Iron Man,Lead Ensemble Members
2,Scarlett Johansson,,Natasha Romanoff / Black Widow,Lead Ensemble Members
3,Sebastian Stan,,Bucky Barnes/Winter Soldier,Lead Ensemble Members
4,Jeremy Renner,,Clint Barton/Hawkeye,Lead Ensemble Members
5,Don Cheadle,,James Rhodes/War Machine,Lead Ensemble Members
6,Anthony Mackie,,Sam Wilson/Falcon,Lead Ensemble Members
7,Paul Bettany,,Vision,Lead Ensemble Members
8,Elizabeth Olsen,,Wanda Maximoff/Scarlet Witch,Lead Ensemble Members
9,Chadwick Boseman,,T'Challa/Black Panther,Lead Ensemble Members
0,Daniel Brühl,,Baron Zemo,Supporting Cast
1,Paul Rudd,,Scott Lang / Ant-Man,Supporting Cast
2,Emily VanCamp,,Agent Sharon Carter,Supporting Cast
3,Tom Holland,,Peter Parker/Spider-Man,Supporting Cast
4,Frank Grillo,,Brock Rumlow,Supporting Cast
5,William Hurt,,Secretary of State Thaddeus Ross,Supporting Cast
6,Martin Freeman,,Everett Ross,Supporting Cast
7,Marisa Tomei,,May Parker,Supporting Cast
8,Hope Davis,,Maria Stark,Supporting Cast
9,John Kani,,T'Chaka,Supporting Cast
10,Kerry Condon,,F.R.I.D.A.Y.,Supporting Cast
11,John Slattery,,Howard Stark,Supporting Cast
12,Gozie Agbo,,Theo Broussard,Supporting Cast
13,Jim Rash,,MIT Faculty,Supporting Cast
14,Alfre Woodard,,Miriam Sharpe,Supporting Cast
0,Stan Lee,,Fed-Ex Driver,Cameos
0,Anthony Russo,,Director,Production and Technical Credits
1,Joe Russo,,Director,Production and Technical Credits
2,Christopher Markus,,Screenwriter,Production and Technical Credits
3,Stephen McFeely,,Screenwriter,Production and Technical Credits
4,Kevin Feige,,Producer,Production and Technical Credits
5,Louis D’Esposito,,Executive Producer,Production and Technical Credits
6,Victoria Alonso,,Executive Producer,Production and Technical Credits
7,Patricia Whitcher,,Executive Producer,Production and Technical Credits
8,Nate Moore,,Executive Producer,Production and Technical Credits
9,Stan Lee,,Executive Producer,Production and Technical Credits
10,Mitch Bell,,Co-Producer,Production and Technical Credits
11,Trent Opaloch,,Director of Photography,Production and Technical Credits
12,Owen Paterson,,Production Designer,Production and Technical Credits
13,Jeffrey Ford,,Editor,Production and Technical Credits
14,Matthew Schmidt,,Editor,Production and Technical Credits
15,Judianna Makovsky,,Costume Designer,Production and Technical Credits
16,Dan DeLeeuw,,Visual Effects Supervisor,Production and Technical Credits
17,Ryan Meinerding,,Head of Visual Development,Production and Technical Credits
18,Henry Jackman,,Composer,Production and Technical Credits
19,Dave Jordan,,Music Supervisor,Production and Technical Credits
20,Sarah Halley Finn,,Casting Director,Production and Technical Credits
21,Christoph Fisser,,Co-Producer,Production and Technical Credits
22,Henning Molfenter,,Co-Producer,Production and Technical Credits
23,Charlie Woebcken,,Co-Producer,Production and Technical Credits
24,Greg Berry,,Supervising Art Director,Production and Technical Credits
25,David E. Scott,,Art Director,Production and Technical Credits
26,Greg Hooper,,Art Director,Production and Technical Credits
27,Ronald R. Reiss,,Set Decorator,Production and Technical Credits
28,Manfred Banach,,Sound Mixer,Production and Technical Credits
29,Shannon Mills,,Supervising Sound Editor,Production and Technical Credits
30,Daniel Laurie,,Supervising Sound Editor,Production and Technical Credits
31,David C. Hughes,,Sound Designer,Production and Technical Credits
32,Nia Hansen,,Sound Designer,Production and Technical Credits
33,Steve Durkee,,Score Supervisor,Production and Technical Credits
34,Steve Durkee,,Supervising Music Editor,Production and Technical Credits
35,Josh Gold,,Sound Effects Editor,Production and Technical Credits
36,Tom Johnson,,Re-recording Mixer,Production and Technical Credits
37,Juan Peralta,,Re-recording Mixer,Production and Technical Credits
38,Spiro Razatos,,Stunt Coordinator,Production and Technical Credits
39,Sam Hargrave,,Stunt and Fight Coordinator,Production and Technical Credits
40,Trinh Tran,,Associate Producer,Production and Technical Credits
41,Ari Costa,,Associate Producer,Production and Technical Credits
42,Lars P. Winther,,Assistant Director,Production and Technical Credits
43,Spiro Razatos,,Second Unit Director,Production and Technical Credits
44,David Leitch,,Second Unit Director,Production and Technical Credits
45,Chad Stahelski,,Second Unit Director,Production and Technical Credits
46,Darrin Prescott,,Second Unit Director,Production and Technical Credits
47,Andy Gill,,Second Unit Stunt Coordinator,Production and Technical Credits
48,Steve Orlando,,Assistant Supervising Sound Editor,Production and Technical Credits
49,Jacob Riehle,,Foley Editor,Production and Technical Credits
50,Nashia Wachsman,,Music Editor,Production and Technical Credits
51,Chris Castaldi,,First Assistant Director: Additional Photography,Production and Technical Credits
52,Christopher T. Sadler,,Second Assistant Director,Production and Technical Credits
53,Christopher T. Sadler,,Additional Photography,Production and Technical Credits
54,Robin Buday,,Second Assistant Editor,Production and Technical Credits
