,0,1,2,type
0,Louis C.K.,,Max,Lead Ensemble Members
1,Eric Stonestreet,,Duke,Lead Ensemble Members
2,Kevin Hart,,Snowball,Lead Ensemble Members
3,Jenny Slate,,Gidget,Lead Ensemble Members
4,Ellie Kemper,,Katie,Lead Ensemble Members
5,Albert Brooks,,Tiberius,Lead Ensemble Members
6,Lake Bell,,Chloe,Lead Ensemble Members
7,Dana Carvey,,Pops,Lead Ensemble Members
8,Hannibal Buress,,Buddy,Lead Ensemble Members
9,Bobby Moynihan,,Mel,Lead Ensemble Members
0,Chris Renaud,,Norman,Supporting Cast
1,Steve Coogan,,Ozone/Reginald,Supporting Cast
2,Michael Beattie,,Tattoo,Supporting Cast
3,Sandra Echeverria,,Maria,Supporting Cast
4,Jaime Camil,,Fernando,Supporting Cast
5,Kiely Renaud,,Molly,Supporting Cast
6,Bob Bergen,,Additional Voice,Supporting Cast
7,Jason Marsden,,Additional Voice,Supporting Cast
8,Jim Cummings,,Additional Voice,Supporting Cast
9,Brian T. Delaney,,Additional Voice,Supporting Cast
10,Laraine Newman,,Additional Voice,Supporting Cast
11,Jan Rabson,,Additional Voice,Supporting Cast
12,Jess Harnell,,Additional Voice,Supporting Cast
13,Ken Schretzmann,,Additional Voice,Supporting Cast
14,John Kassir,,Additional Voice,Supporting Cast
15,Tara Strong,,Additional Voice,Supporting Cast
16,Danny Mann,,Additional Voice,Supporting Cast
17,James Kevin Ward,,Additional Voice,Supporting Cast
18,Tyler Werrin,,Additional Voice,Supporting Cast
0,Mona Marshall,,Additional Voice,Uncategorized
1,Bill Farmer,,Additional Voice,Uncategorized
0,Chris Renaud,,Director,Production and Technical Credits
1,Yarrow Cheney,,Co-Director,Production and Technical Credits
2,Cinco Paul,,Screenwriter,Production and Technical Credits
3,Ken Daurio,,Screenwriter,Production and Technical Credits
4,Brian Lynch,,Screenwriter,Production and Technical Credits
5,Christopher Meledandri,,Producer,Production and Technical Credits
6,Janet Healy,,Producer,Production and Technical Credits
7,Eric Guillon,,Production Designer,Production and Technical Credits
8,Ken Schretzmann,,Editor,Production and Technical Credits
9,Alexandre Desplat,,Composer,Production and Technical Credits
10,Eric Guillon,,Character Designer,Production and Technical Credits
11,Colin Stimpson,,Art Director,Production and Technical Credits
12,Robert Taylor,,Associate Producer,Production and Technical Credits
13,Brett Hoffman,,Associate Producer,Production and Technical Credits
14,Delphine Le Roch,,Production Supervisor,Production and Technical Credits
15,Jonathan Del Val,,Animation Director,Production and Technical Credits
16,Julien Soret,,Animation Director,Production and Technical Credits
17,Nicolas Bauduin,,Animation Supervisor,Production and Technical Credits
18,Francois-Xavier Bologna,,Animation Supervisor,Production and Technical Credits
19,Cecile Brossette,,Animation Supervisor,Production and Technical Credits
20,Brecht Debaene,,Animation Supervisor,Production and Technical Credits
21,Jean Hemez,,Animation Supervisor,Production and Technical Credits
22,Ludovic Roz,,Animation Supervisor,Production and Technical Credits
23,Emmanuel Vergne,,Animation Supervisor,Production and Technical Credits
24,Laurent De La Chapelle,,Technical Animation Supervisor,Production and Technical Credits
25,Steve Alves,,Technical Animation Supervisor,Production and Technical Credits
26,Dave Rosenbaum,,Story Supervisor,Production and Technical Credits
27,Celine Allegre,,Compositing Supervisor,Production and Technical Credits
28,Laleh Chloe Sahrai,,Production Manager,Production and Technical Credits
29,Gilad Carmel,,Associate Editor,Production and Technical Credits
30,Nicole Bou-Samra,,First Assistant Editor,Production and Technical Credits
31,Adam Brailsford,,First Assistant Editor,Production and Technical Credits
32,Anael Bouin,,Set Designer,Production and Technical Credits
33,Pierre-Henry Laporterie,,Set Designer,Production and Technical Credits
34,Matthieu Gosselin,,Set Designer,Production and Technical Credits
35,Paul Mager,,Set Designer,Production and Technical Credits
36,Gabriel Jolly Monge,,Set Designer,Production and Technical Credits
37,Brett Nystul,,Set Designer,Production and Technical Credits
38,Neal Petty,,Set Designer,Production and Technical Credits
39,Jed Diffenderfer,,Story Artist,Production and Technical Credits
40,Doron Meir,,Story Artist,Production and Technical Credits
41,Eric Favela,,Story Artist,Production and Technical Credits
42,Steve Moore,,Story Artist,Production and Technical Credits
43,David Feiss,,Story Artist,Production and Technical Credits
44,Matt Nealon,,Story Artist,Production and Technical Credits
45,Miguel Jiron,,Story Artist,Production and Technical Credits
46,Mark O'Hare,,Story Artist,Production and Technical Credits
47,Lewis Kerr,,Story Artist,Production and Technical Credits
48,Willem Plijnaar,,Story Artist,Production and Technical Credits
49,Serguei Kouchnerov,,Story Artist,Production and Technical Credits
50,Darren Webb,,Story Artist,Production and Technical Credits
51,Jeannine Berger,,Post-Production Supervisor,Production and Technical Credits
52,Dennis Leonard,,Supervising Sound Editor,Production and Technical Credits
53,David Acord,,Supervising Sound Editor,Production and Technical Credits
54,David Acord,,Sound Designer,Production and Technical Credits
55,Gary A. Rizzo,,Re-recording Mixer,Production and Technical Credits
56,David Acord,,Re-recording Mixer,Production and Technical Credits
57,Mac Smith,,Sound Effects Editor,Production and Technical Credits
58,Luke Dunn Gielmuda,,Sound Effects Editor,Production and Technical Credits
59,Cheryl Nardi,,Dialogue Editor,Production and Technical Credits
60,Kimberly Foscato*,,Dialogue Editor,Production and Technical Credits
61,Jason Butler,,Foley Mixer,Production and Technical Credits
62,Dominique Solrey Lemonnier,,Score Producer,Production and Technical Credits
63,Kenneth Karman,,Music Editor,Production and Technical Credits
64,Joel Iwataki,,Score Recordist,Production and Technical Credits
65,Joel Iwataki,,Score Mixer,Production and Technical Credits
