,0,1,2,type
0,Bill Murray,,Baloo,Lead Ensemble Members
1,Ben Kingsley,,Bagheera,Lead Ensemble Members
2,Idris Elba,,Shere Khan,Lead Ensemble Members
3,Lupita Nyong'o,,Raksha,Lead Ensemble Members
4,Scarlett Johansson,,Kaa,Lead Ensemble Members
5,Giancarlo Esposito,,Akela,Lead Ensemble Members
6,Christopher Walken,,King Louie,Lead Ensemble Members
7,Neel Sethi,,Mowgli,Lead Ensemble Members
0,Garry Shandling,,Ikki,Supporting Cast
1,Brighton Rose,,Gray,Supporting Cast
2,Jon Favreau,,Pygmy Hog,Supporting Cast
0,Jon Favreau,,Director,Production and Technical Credits
1,Justin Marks,,Screenwriter,Production and Technical Credits
2,Rudyard Kipling,,Inspired by the Works of,Production and Technical Credits
3,Jon Favreau,,Producer,Production and Technical Credits
4,Brigham Taylor,,Producer,Production and Technical Credits
5,Peter Tobyansen,,Executive Producer,Production and Technical Credits
6,Molly Allen,,Executive Producer,Production and Technical Credits
7,Karen Gilchrist,,Executive Producer,Production and Technical Credits
8,Bill Pope,,Director of Photography,Production and Technical Credits
9,Christopher Glass,,Production Designer,Production and Technical Credits
10,Mark Livolsi,,Editor,Production and Technical Credits
11,Laura Jean Shannon,,Costume Designer,Production and Technical Credits
12,Robert Legato,,Visual Effects Supervisor,Production and Technical Credits
13,John Debney,,Composer,Production and Technical Credits
14,John Bartnicki,,Co-Producer,Production and Technical Credits
15,Adam Valdez,,Visual Effects Supervisor,Production and Technical Credits
16,Dan Lemmon,,Visual Effects Supervisor,Production and Technical Credits
17,Keith Miller,,Visual Effects Supervisor,Production and Technical Credits
18,Joe Letteri,,Visual Effects Supervisor,Production and Technical Credits
19,Charley Henley,,MPC Visual Effects Supervisor,Production and Technical Credits
20,Andrew R. Jones,,Animation Supervisor,Production and Technical Credits
21,Andrew L. Jones,,Supervising Art Director,Production and Technical Credits
22,John Lord Booth III,,Art Director,Production and Technical Credits
23,Ronald Judkins,,Sound Mixer,Production and Technical Credits
24,Christopher Boyes,,Supervising Sound Editor,Production and Technical Credits
25,Frank Eulner,,Supervising Sound Editor,Production and Technical Credits
26,Christopher Boyes,,Re-recording Mixer,Production and Technical Credits
27,Lora Hirschberg,,Re-recording Mixer,Production and Technical Credits
28,J.D. Schwalm,,Special Effects Supervisor,Production and Technical Credits
29,Gintar Repecka,,Special Effects Coordinator,Production and Technical Credits
30,Joyce Cox,,Visual Effects Producer,Production and Technical Credits
31,Thomas Robinson Harper,,Stunt Coordinator,Production and Technical Credits
32,Casey O'Neill,,Stunt Coordinator,Production and Technical Credits
33,"David H. Venghaus, Jr.",,Assistant Director,Production and Technical Credits
34,Robert Legato,,Second Unit Director,Production and Technical Credits
35,Sarah Halley Finn,,Casting Director,Production and Technical Credits
