,0,1,2,type
0,Ryan Reynolds,,Wade/Deadpool,Leading Cast
0,Morena Baccarin,,Vanessa,Supporting Cast
1,Ed Skrein,,Ajax,Supporting Cast
2,T.J. Miller,,Weasel,Supporting Cast
3,Gina Carano,,Angel Dust,Supporting Cast
4,Leslie Uggams,,Blind Al,Supporting Cast
5,Brianna Hildebrand,,Negasonic Teenage Warhead,Supporting Cast
6,Karan Soni,,Dopinder,Supporting Cast
7,Jed Rees,,Recruiter,Supporting Cast
8,Stefan Kapicic,,Colossus,Supporting Cast
9,Randal Reeder,,Buck,Supporting Cast
10,"Isaac C. Singleton, Jr.",,Boothe,Supporting Cast
11,Michael Benyaer,,Warlord,Supporting Cast
12,Style Dayne,,Jeremy (Pizza Guy),Supporting Cast
13,Kyle Cassie,,Gavin Merchant,Supporting Cast
14,Taylor Hickson,,Meghan Orlovsky,Supporting Cast
15,Ayzee,,Teen Girl #1,Supporting Cast
16,Naika Toussaint,,Teen Girl #2,Supporting Cast
17,Justyn Shippelt,,Arcade Ticket Taker,Supporting Cast
18,Donna Yamamoto,,Oncologist,Supporting Cast
19,Hugh Scott,,David Cunningham,Supporting Cast
20,Cindy Piper,,Chinatown Merchant,Supporting Cast
21,Emily Haine,,Whisper Girlfriend,Supporting Cast
22,Aatash Amir,,Whisper Boyfriend,Supporting Cast
23,Chad Riley,,Pool Hall Goon,Supporting Cast
24,Paul Belsito,,Fight Club Boss,Supporting Cast
25,Darcey Johnson,,Garbage Truck Driver,Supporting Cast
26,Kyle Rideout,,Super Soldier #1,Supporting Cast
27,Jason Day,,Super Soldier #2,Supporting Cast
28,Benjamin Wilkinson,,No5 Orange Manager,Supporting Cast
29,Rachel Shaw,,Strip Club Worker,Supporting Cast
30,Paul Lazenby,,Flight Deck Guard,Supporting Cast
31,Rob Hayter,,Bob,Supporting Cast
0,Stan Lee,,Strip Club DJ,Cameos
0,Tim Miller,,Director,Production and Technical Credits
1,Rhett Reese,,Screenwriter,Production and Technical Credits
2,Paul Wernick,,Screenwriter,Production and Technical Credits
3,Rob Liefeld,,Story by,Production and Technical Credits
4,Fabian Nicieza,,Story by,Production and Technical Credits
5,Simon Kinberg,,Producer,Production and Technical Credits
6,Ryan Reynolds,,Producer,Production and Technical Credits
7,Lauren Shuler Donner,,Producer,Production and Technical Credits
8,Stan Lee,,Executive Producer,Production and Technical Credits
9,John J. Kelly,,Executive Producer,Production and Technical Credits
10,Jonathan Komack Martin,,Executive Producer,Production and Technical Credits
11,Aditya Sood,,Executive Producer,Production and Technical Credits
12,Rhett Reese,,Executive Producer,Production and Technical Credits
13,Paul Wernick,,Executive Producer,Production and Technical Credits
14,Ken Seng,,Director of Photography,Production and Technical Credits
15,Sean Haworth,,Production Designer,Production and Technical Credits
16,Julian Clarke,,Editor,Production and Technical Credits
17,Jonathan Rothbart,,Visual Effects Supervisor,Production and Technical Credits
18,Tom Holkenborg,,Composer,Production and Technical Credits
19,John Houlihan,,Music Supervisor,Production and Technical Credits
20,Angus Strathie,,Costume Designer,Production and Technical Credits
21,Ronna Kress,,Casting Director,Production and Technical Credits
22,John J. Kelly,,Unit Production Manager,Production and Technical Credits
23,James Bitonti,,First Assistant Director,Production and Technical Credits
24,Daniel Mansfield,,Second Assistant Director,Production and Technical Credits
25,Robert Alonzo,,Stunt Coordinator,Production and Technical Credits
26,Thane Campbell Watkins,,Associate Producer,Production and Technical Credits
27,J. Michael Williams,,Production Manager,Production and Technical Credits
28,Nigel Evans,,Art Director,Production and Technical Credits
29,Shannon Gottlieb,,Set Decorator,Production and Technical Credits
30,Randy Hutniak,,Set Designer,Production and Technical Credits
31,David Husby,,Sound Mixer,Production and Technical Credits
32,Susan Lambie,,Script Supervisor,Production and Technical Credits
33,Joan Kelley Bierman,,Post-Production Supervisor,Production and Technical Credits
34,Matthew Carson*,,First Assistant Editor,Production and Technical Credits
35,Wayne Lemmer,,Supervising Sound Editor,Production and Technical Credits
36,Jim Brookshire,,Supervising Sound Editor,Production and Technical Credits
37,Paul Massey,,Re-recording Mixer,Production and Technical Credits
38,Will Files,,Re-recording Mixer,Production and Technical Credits
39,Ted Caplan,,Music Editor,Production and Technical Credits
40,Mark Jones,,Assistant Editor,Production and Technical Credits
41,Michelle Gold,,Assistant Editor,Production and Technical Credits
42,Brian Zwiener,,Assistant Editor,Production and Technical Credits
43,Annemarie Griggs,,Visual Effects Producer,Production and Technical Credits
44,Susan O'hara,,Sets Supervisor,Production and Technical Credits
45,Monica Huppert,,Make up,Production and Technical Credits
46,S. Anne Carroll*,,Hairstylist,Production and Technical Credits
47,Hannah D'Angerio,,Additional Casting-US Casting Associate,Production and Technical Credits
48,Corinne Clark,,Additional Casting-Canadian Casting,Production and Technical Credits
49,Alex Burdett,,Special Effects Supervisor,Production and Technical Credits
50,Susan Dawes,,Supervising Dialogue Editor,Production and Technical Credits
51,Ben Beardwood,,Dialogue Editor,Production and Technical Credits
52,Teri E. Dorman,,Dialogue Editor,Production and Technical Credits
53,Craig Henighan,,Sound Designer,Production and Technical Credits
54,Wayne Lemmer,,Sound Designer,Production and Technical Credits
55,Ai-Ling Lee,,Sound Designer,Production and Technical Credits
56,Warren Hendriks,,Sound Designer,Production and Technical Credits
