,0,1,2,type
0,Ginnifer Goodwin,,Judy Hoops,Leading Cast
1,Jason Bateman,,Nick Wilde,Leading Cast
0,Shakira,,Gazelle,Supporting Cast
1,Idris Elba,,Chief Bogo,Supporting Cast
2,J.K. Simmons,,Mayor Leodore Lionheart,Supporting Cast
3,Nate Torrence,,Benjamin Clawhauser,Supporting Cast
4,Jenny Slate,,Assistant Mayor Bellwether,Supporting Cast
5,Tommy Chong,,Yax the Yak,Supporting Cast
6,Octavia Spencer,,Mrs. Otterton,Supporting Cast
7,Bonnie Hunt,,Bonnie Hoops,Supporting Cast
8,Don Lake,,Stu Hoops,Supporting Cast
9,Alan Tudyk,,Weaselton,Supporting Cast
10,"Tommy ""Tiny"" Lister*",,Finnick,Supporting Cast
11,Raymond Persi,,Flash,Supporting Cast
12,Katie Lowes,,"Badger Doctor, Dr. Madge Honeybadger",Supporting Cast
13,Jesse Corti,,Mr. Manchas,Supporting Cast
14,John DiMaggio,,Jery Jumbreaux Jr.,Supporting Cast
15,Phil Johnston,,Gideon Grey,Supporting Cast
16,Fuschia,,Drill Sergeant,Supporting Cast
17,Della Saba,,Young Hopps,Supporting Cast
18,Maurice LaMarche,,Mr. Big,Supporting Cast
19,Gita Reddy,,Nangi,Supporting Cast
20,Josh Dallas,,Frantic Pig,Supporting Cast
21,Leah Latham,,Fru Fru,Supporting Cast
22,Rich Moore,,Doug,Supporting Cast
23,Kath Soucie,,Young Nick,Supporting Cast
24,Peter Mansbridge,,Peter Moosebridge,Supporting Cast
25,Byron Howard,,Bucky Oryx-Antlerson,Supporting Cast
26,Mark 'Rhino' Smith,,Officer McHorn,Supporting Cast
27,Jared Bush,,Pronk Onyx-Antlerson,Supporting Cast
28,John Lavelle,,Mouse Foreman,Supporting Cast
29,Josie Trinidad,,Landlady,Supporting Cast
0,Byron Howard,,Director,Production and Technical Credits
1,Rich Moore,,Director,Production and Technical Credits
2,Jared Bush,,Screenwriter,Production and Technical Credits
3,Phil Johnston,,Screenwriter,Production and Technical Credits
4,Byron Howard,,Story by,Production and Technical Credits
5,Jared Bush,,Story by,Production and Technical Credits
6,Josie Trinidad,,Story by,Production and Technical Credits
7,Phil Johnston,,Story by,Production and Technical Credits
8,Jim Reardon,,Story by,Production and Technical Credits
9,Jennifer Lee,,Story by,Production and Technical Credits
10,Rich Moore,,Story by,Production and Technical Credits
11,Clark Spencer,,Producer,Production and Technical Credits
12,John Lasseter,,Executive Producer,Production and Technical Credits
13,David Goetz,,Production Designer,Production and Technical Credits
14,Fabienne Rawley,,Editor,Production and Technical Credits
15,Jeremy Milton,,Editor,Production and Technical Credits
16,Michael Giacchino,,Composer,Production and Technical Credits
17,Brian Leach,,Director of Photography,Production and Technical Credits
18,Jared Bush,,Co-Director,Production and Technical Credits
19,Tom MacDougall,,Music Supervisor,Production and Technical Credits
20,Matthias Lechner,,Art Director,Production and Technical Credits
21,Josie Trinidad,,Head of Story,Production and Technical Credits
22,Jim Reardon,,Head of Story,Production and Technical Credits
23,Renato Dos Anjos,,Head of Animation,Production and Technical Credits
24,Nathan Engelhardt,,Animation Supervisor,Production and Technical Credits
25,Jennifer Hager,,Animation Supervisor,Production and Technical Credits
26,Robert Huth,,Animation Supervisor,Production and Technical Credits
27,Kira Lehtomaki,,Animation Supervisor,Production and Technical Credits
28,Chad Sellers,,Animation Supervisor,Production and Technical Credits
29,Addison Teague,,Sound Mixer,Production and Technical Credits
30,Addison Teague,,Supervising Sound Editor,Production and Technical Credits
31,Lee Gilmore,,Sound Effects Editor,Production and Technical Credits
32,David E. Fluhr,,Re-recording Mixer,Production and Technical Credits
33,Gabriel Guy,,Re-recording Mixer,Production and Technical Credits
34,Scott Kersavage,,Visual Effects Supervisor,Production and Technical Credits
35,Katie A. Fico,,Stereoscopic Supervisor,Production and Technical Credits
36,Nicole P Hearon,,Associate Producer,Production and Technical Credits
37,Monica Lago-Kaytis,,Associate Producer,Production and Technical Credits
38,Jamie Sparer Roberts,,Casting Director,Production and Technical Credits
39,Jacob Riehle,,Dialogue Editor,Production and Technical Credits
