,0,1,2,type
0,Henry Cavill,,Superman,Leading Cast
1,Ben Affleck,,Batman,Leading Cast
2,Amy Adams,,Lois Lane,Leading Cast
3,Gal Gadot,,Wonder Woman,Leading Cast
0,Jesse Eisenberg,,Lex Luthor,Supporting Cast
1,Diane Lane,,Martha Kent,Supporting Cast
2,Laurence Fishburne,,Perry White,Supporting Cast
3,Jeremy Irons,,Alfred,Supporting Cast
4,Holly Hunter,,Senator Finch,Supporting Cast
5,Jason Momoa,,Aquaman,Supporting Cast
6,Scoot McNairy,,Wallace Keefe,Supporting Cast
7,Callan Mulvey,,Anatoli Knyazev,Supporting Cast
8,Tao Okamoto,,Mercy Graves,Supporting Cast
9,Brandon Spink,,Young Bruce Wayne,Supporting Cast
10,Lauren Cohan,,Martha Wayne,Supporting Cast
11,Alan D. Purwin*,,Wayne Industries Pilot,Supporting Cast
12,Hugh Maguire,,Jack O'Dwyer,Supporting Cast
13,Mark Edward Taylor,,Wayne Industries Pilot,Supporting Cast
14,Michael Shannon,,Zod,Supporting Cast
15,Hanna Dworkin,,Metropolis Citizen,Supporting Cast
16,Tiffany L Addison,,Metropolis Citizen,Supporting Cast
17,Owais Ahmed,,Metropolis Citizen,Supporting Cast
18,Anish Jethmalani,,Metropolis Citizen,Supporting Cast
19,Tiffany Bedwell,,Metropolis Citizen,Supporting Cast
20,Natalee Arteaga,,Metropolis Citizen,Supporting Cast
21,Keith D. Gallagher,,Metropolis Citizen,Supporting Cast
22,Jeff Dumas,,Metropolis Citizen,Supporting Cast
23,Miriam Lee,,Metropolis Citizen,Supporting Cast
24,Alicia Regan,,Metropolis Citizen,Supporting Cast
25,Ripley Sobo,,Sage,Supporting Cast
26,Matahi Drollet,,Island Driver,Supporting Cast
27,Mormon Maitui,,Island Driver,Supporting Cast
28,Richard Burden,,Island Scientist,Supporting Cast
29,Taraina Sanford,,Island Mother,Supporting Cast
30,Julius Tennon,,General Security Chief,Supporting Cast
31,Sammi Rotibi,,General Amajagh,Supporting Cast
32,Michael Cassidy,,Jimmy Olsen,Supporting Cast
33,Wunmi Mosaku,,Kahina Ziri,Supporting Cast
34,Dennis North,,Senator Barrows,Supporting Cast
35,Kiff VandenHeuvel,,Officer Mazzuccheli,Supporting Cast
36,Mason Heidger,,Officer Rucka,Supporting Cast
37,Whitney Yang,,Hostage Girl,Supporting Cast
38,Kristine Cabanban,,Hostage Girl,Supporting Cast
39,Sebastian Sozzi,,Cesar Santos,Supporting Cast
40,Ralph Lister,,Emmet Vale,Supporting Cast
41,Sammy Publes,,Metropolis Cop,Supporting Cast
42,Jay Adams,,Metropolis Cop,Supporting Cast
43,Julia Glander,,Hero's Park Jogger,Supporting Cast
44,David Midura,,Hero's Park Tourist,Supporting Cast
45,Rebecca Buller,,Jenny,Supporting Cast
46,Jay Towers,,Reporter at Monument,Supporting Cast
