,0,1,2,type
0,Will Smith,,Deadshot,Lead Ensemble Members
1,Jared Leto,,Joker,Lead Ensemble Members
2,Margot Robbie,,Harley Quinn,Lead Ensemble Members
3,Joel Kinnaman,,Rick Flag,Lead Ensemble Members
4,Viola Davis,,Amanda Waller,Lead Ensemble Members
5,Jai Courtney,,Boomerang,Lead Ensemble Members
6,Jay Hernandez,,Diablo,Lead Ensemble Members
7,Adewale Akinnuoye-Agbaje,,Killer Croc,Lead Ensemble Members
8,Ike Barinholtz,,Griggs,Lead Ensemble Members
9,Scott Eastwood,,Lieutenant GQ Edwards,Lead Ensemble Members
10,Cara Delevingne,,June Moone/Enchantress,Lead Ensemble Members
11,Karen Fukuhara,,Katana,Lead Ensemble Members
12,Adam Beach,,Slipknot,Lead Ensemble Members
0,Jaime Fitzsimons,,Sergeant Ames Bravo 14,Supporting Cast
1,Christopher Dyson,,Missing Hand Guard,Supporting Cast
2,Bambadjan Bamba,,T-Shirt Vendor,Supporting Cast
3,Ted Whittall,,Admiral Olsen,Supporting Cast
4,David Harbour,,Dexter Tolliver,Supporting Cast
5,Robin Atkin Downes,,Angelo,Supporting Cast
6,Robert B. Kennedy,,U.S. Marshal,Supporting Cast
7,Billy Otis,,Mafia Snitch,Supporting Cast
8,Shailyn Pierre-Dixon,,Zoe,Supporting Cast
9,James McGowan,,Panda Man,Supporting Cast
10,Jim Parrack,,Frost,Supporting Cast
11,Derek Perks,,Psych Patient,Supporting Cast
12,Common,,Monster T,Supporting Cast
13,Ezra Miller,,The Flash,Supporting Cast
14,Aidan Devine,,Chairman,Supporting Cast
15,Andrew Bee,,Navy One-Star Admiral,Supporting Cast
16,Clive McLean,,Air Force Two-Star General,Supporting Cast
17,Frank J. Zupancic,,Army One-Star General,Supporting Cast
18,Kent Sheridan,,National Security Council,Supporting Cast
19,Roger Shank,,National Security Council,Supporting Cast
20,Dwight Ireland,,National Security Council,Supporting Cast
21,Amanda Brugel,,National Security Council,Supporting Cast
22,Tufford Kennedy,,National Security Council,Supporting Cast
