,0,1,2,type
0,Matthew McConaughey,,Buster Moon,Lead Ensemble Members
1,Reese Witherspoon,,Rosita,Lead Ensemble Members
2,Seth MacFarlane,,Mike,Lead Ensemble Members
3,Tori Kelly,,Meena,Lead Ensemble Members
4,John C. Reilly,,Eddie,Lead Ensemble Members
5,Taron Egerton,,Johnny,Lead Ensemble Members
6,Scarlett Johansson,,Ash,Lead Ensemble Members
0,Jennifer Saunders,,Nana,Supporting Cast
1,Jennifer Hudson,,Young Nana,Supporting Cast
2,Garth Jennings,,Miss Crawly/Additional Voices,Supporting Cast
3,Peter Serafinowicz,,Big Daddy,Supporting Cast
4,Nick Kroll,,Gunter,Supporting Cast
5,Beck Bennett,,Lance,Supporting Cast
6,Jay Pharoah,,Meena’s Grandfather,Supporting Cast
7,Nick Offerman,,Norman,Supporting Cast
8,Leslie Jones,,Meena’s Mother,Supporting Cast
9,Rhea Perlman,,Judith,Supporting Cast
10,Laraine Newman,,Meena’s Grandmother/Additional Voices,Supporting Cast
11,Adam Buxton,,Stan,Supporting Cast
12,Brad Morris,,Baboon,Supporting Cast
13,Bill Farmer,,News Reporter Dog,Supporting Cast
14,Oscar Jennings,,Piglet,Supporting Cast
15,Leo Jennings,,Piglet,Supporting Cast
16,Caspar Jennings,,Piglet,Supporting Cast
17,Asa Jennings,,Piglet,Supporting Cast
18,Carlos Alazraqui,,Additional Voice,Supporting Cast
19,Sara Mann,,Additional Voice,Supporting Cast
20,Wes Anderson,,Additional Voice,Supporting Cast
21,Igor Khait,,Additional Voice,Supporting Cast
22,David Arnott,,Additional Voice,Supporting Cast
23,Daamen Krall,,Additional Voice,Supporting Cast
24,Bob Bergen,,Additional Voice,Supporting Cast
25,Jeremy Maxwell,,Additional Voice,Supporting Cast
26,Doug Burch,,Additional Voice,Supporting Cast
27,Daniel Mora,,Additional Voice,Supporting Cast
28,Britt Burton,,Additional Voice,Supporting Cast
29,Catherine Cavadini*,,Additional Voice,Supporting Cast
30,Jason Pace,,Additional Voice,Supporting Cast
31,Townsend Coleman,,Additional Voice,Supporting Cast
32,Gregory Perler,,Additional Voice,Supporting Cast
33,Abby Craden,,Additional Voice,Supporting Cast
34,James J. Cummings,,Additional Voice,Supporting Cast
35,Jessica Rau,,Additional Voice,Supporting Cast
36,John DeMita,,Additional Voice,Supporting Cast
37,Chris Renaud,,Additional Voice,Supporting Cast
38,Marisa De Silva,,Additional Voice,Supporting Cast
39,Jessica Rotter,,Additional Voice,Supporting Cast
40,Willow Geer,,Additional Voice,Supporting Cast
41,Tara Strong,,Additional Voice,Supporting Cast
42,Jess Harnell,,Additional Voice,Supporting Cast
43,Barbara Harris,,Additional Voice,Supporting Cast
44,Tom Walters,,Additional Voice,Supporting Cast
45,Andrew Walton,,Additional Voice,Supporting Cast
46,Edgar Wright,,Additional Voice,Supporting Cast
47,Robert Taylor,,Additional Voice,Supporting Cast
0,Garth Jennings,,Director,Production and Technical Credits
1,Garth Jennings,,Screenwriter,Production and Technical Credits
2,Janet Healy,,Producer,Production and Technical Credits
3,Chris Meledandri*,,Producer,Production and Technical Credits
4,Gregory Perler,,Editor,Production and Technical Credits
5,Christophe Lourdelet,,Co-Director,Production and Technical Credits
6,Harvey Mason Jr.,,Executive Music Producer,Production and Technical Credits
7,Jojo Villanueva,,Music Supervisor,Production and Technical Credits
8,Joby Talbot,,Composer,Production and Technical Credits
9,Eric Guillon,,Production Designer,Production and Technical Credits
10,Eric Guillon,,Character Designer,Production and Technical Credits
11,Robert Taylor,,Associate Producer,Production and Technical Credits
12,Brett Hoffman,,Associate Producer,Production and Technical Credits
13,Joy Poirel,,Production Supervisor,Production and Technical Credits
14,Patrick Delage,,Animation Director,Production and Technical Credits
15,Pierre Leduc,,Animation Director,Production and Technical Credits
16,Pierre Avon,,Supervising Animator,Production and Technical Credits
17,Simon Cuisinier,,Supervising Animator,Production and Technical Credits
18,Luc Degardin,,Supervising Animator,Production and Technical Credits
19,Christophe Delisle,,Supervising Animator,Production and Technical Credits
20,Audrey Fobis,,Supervising Animator,Production and Technical Credits
21,Gwenole Oulchen,,Supervising Animator,Production and Technical Credits
22,Christele Jolens,,Technical Animation Supervisor,Production and Technical Credits
23,Francois Moret,,Art Director,Production and Technical Credits
24,Igor Khait,,Co-Producer,Production and Technical Credits
25,Andrew Walton,,Associate Editor,Production and Technical Credits
26,Tom Walters,,First Assistant Editor,Production and Technical Credits
27,Fanny Bensussan,,Assistant Editor,Production and Technical Credits
28,Andrew Kilcoin*,,Assistant Editor,Production and Technical Credits
29,Anna Catalano,,Assistant Editor,Production and Technical Credits
30,Justine Bonnard,,Story Artist,Production and Technical Credits
31,Julien Perron,,Story Artist,Production and Technical Credits
32,Chloe Nicolay,,Story Artist,Production and Technical Credits
33,Nima Azarba,,Story Artist,Production and Technical Credits
