,0,1,2,type
0,Mark Hamill,,Luke Skywalker,Lead Ensemble Members
1,Carrie Fisher,,General Leia Organa,Lead Ensemble Members
2,Adam Driver,,Kylo Ren,Lead Ensemble Members
3,Daisy Ridley,,Rey,Lead Ensemble Members
4,John Boyega,,Finn,Lead Ensemble Members
5,Oscar Isaac,,Poe Dameron,Lead Ensemble Members
6,Domhnall Gleeson,,General Hux,Lead Ensemble Members
7,Anthony Daniels,,C-3PO,Lead Ensemble Members
8,Gwendoline Christie,,Captain Phasma,Lead Ensemble Members
9,Kelly Marie Tran,,Rose Tico,Lead Ensemble Members
10,Benicio del Toro,,DJ,Lead Ensemble Members
0,Andy Serkis,,Supreme Leader Snoke,Supporting Cast
1,Lupita Nyong'o,,Maz Kanata,Supporting Cast
2,Laura Dern,,Vice Admiral Amilyn Holdo,Supporting Cast
3,Peter Mayhew,,Chewbacca,Supporting Cast
4,Joonas Suotamo,,Chewbacca,Supporting Cast
5,Mike Quinn,,Nien Nunb,Supporting Cast
6,Tim Rose,,Admiral Ackbar,Supporting Cast
7,Billie Lourd,,Lieutenant Connix,Supporting Cast
8,Simon Pegg,,Unkar Plutt,Supporting Cast
9,Jimmy Vee,,R2-D2,Supporting Cast
10,Warwick Davis,,Wodibin,Supporting Cast
11,Noah Segan,,X-Wing Pilot Starck,Supporting Cast
12,Veronica Ngo,,Paige Tico,Supporting Cast
13,Justin Theroux,,Master Codebreaker,Supporting Cast
14,Lily Cole,,Lovey,Supporting Cast
15,Hugh Skinner,,Holdo’s First Officer,Supporting Cast
0,Joseph Gordon-Levitt,,Slowen-Lo,Cameos
1,Tom Hardy,,Stormtrooper,Cameos
2,Gary Barlow,,Stormtrooper,Cameos
3,Gareth Edwards,,Resistance Trench Soldier,Cameos
4,Edgar Wright,,Crait Resistance Fighter,Cameos
5,Oscar Wright,,Crait Resistance Fighter,Cameos
6,Andrew Jack,,General Ematt,Cameos
7,Michaela Coel,,Resistance Fighter,Cameos
8,Ellie Goulding,,Resistance Fighter,Cameos
9,James Corden,,Resistance Fighter,Cameos
10,Adrian Edmondson,,First Order Captain Peavey,Cameos
11,Matthew Wood,,General Grievous,Cameos
12,Sam Witwer,,Additional Voice,Cameos
0,Rian Johnson,,Director,Production and Technical Credits
1,Rian Johnson,,Screenwriter,Production and Technical Credits
2,Kathleen Kennedy,,Producer,Production and Technical Credits
3,Ram Bergman,,Producer,Production and Technical Credits
4,J.J. Abrams,,Executive Producer,Production and Technical Credits
5,Tom Karnowski,,Executive Producer,Production and Technical Credits
6,Jason McGatlin,,Executive Producer,Production and Technical Credits
7,Rick Heinrichs,,Production Designer,Production and Technical Credits
8,Bob Ducsay,,Editor,Production and Technical Credits
9,John Williams,,Composer,Production and Technical Credits
10,Steve Yedlin,,Director of Photography,Production and Technical Credits
11,Richard Roberts,,Set Decorator,Production and Technical Credits
12,Jamie Christopher,,First Assistant Director,Production and Technical Credits
13,Matthew Wood,,Supervising Sound Editor,Production and Technical Credits
14,Ren Klyce,,Sound Designer,Production and Technical Credits
15,David Parker,,Re-recording Mixer,Production and Technical Credits
16,Michael Semanick,,Re-recording Mixer,Production and Technical Credits
17,Ren Klyce,,Re-recording Mixer,Production and Technical Credits
18,Stuart Wilson,,Sound Mixer,Production and Technical Credits
19,Ben Morris,,Visual Effects Supervisor,Production and Technical Credits
20,Mike Mulholland,,Visual Effects Supervisor,Production and Technical Credits
21,Neal Scanlan,,Visual Effects Supervisor,Production and Technical Credits
22,Chris Corbould,,Visual Effects Supervisor,Production and Technical Credits
23,Steve Orlando,,Assistant Sound Designer,Production and Technical Credits
