,0,1,2,type
0,Emma Watson,,Belle,Lead Ensemble Members
1,Dan Stevens,,Beast / Prince,Lead Ensemble Members
2,Luke Evans,,Gaston,Lead Ensemble Members
3,Kevin Kline,,Maurice,Lead Ensemble Members
4,Josh Gad,,Le Fou,Lead Ensemble Members
5,Ewan McGregor,,Lumiere,Lead Ensemble Members
6,Stanley Tucci,,Cadenza,Lead Ensemble Members
7,Audra McDonald,,Madame De Garderobe,Lead Ensemble Members
8,Gugu Mbatha-Raw,,Plumette,Lead Ensemble Members
9,Ian McKellen,,Cogsworth,Lead Ensemble Members
10,Emma Thompson,,Mrs. Potts,Lead Ensemble Members
0,Nathan Mack,,Chip,Supporting Cast
1,Adrian Schiller,,Monsieur D’Arque,Supporting Cast
2,Hattie Morahan,,Agathe,Supporting Cast
3,Rudi Goodman,,Child Prince,Supporting Cast
4,Rita Davies,,Old Woman,Supporting Cast
5,Gerard Horan,,Monsieur Jean Potts,Supporting Cast
6,Haydn Gwynne,,Clothilde,Supporting Cast
7,Michael Jibson,,Tavern Keeper,Supporting Cast
8,Ray Fearon,,Père Robert,Supporting Cast
9,Sophie Reid,,Bimbette,Supporting Cast
10,Rafaëlle Cohen,,Bimbette,Supporting Cast
11,Carla Nella,,Bimbette,Supporting Cast
12,Jimmy Johnston,,Tom,Supporting Cast
13,Dean Street,,Dick,Supporting Cast
14,Zoe Rainey,,Belle’s Mother,Supporting Cast
15,Clive Rowe,,Cuisinier,Supporting Cast
16,Thomas Padden,,Chapeau,Supporting Cast
17,Henry Garrett,,The King,Supporting Cast
18,Harriet Jones,,The Queen,Supporting Cast
0,Bill Condon,,Director,Production and Technical Credits
1,David Hoberman,,Producer,Production and Technical Credits
2,Todd Lieberman,,Producer,Production and Technical Credits
3,Stephen Chbosky,,Screenwriter,Production and Technical Credits
4,Evan Spiliotopoulos,,Screenwriter,Production and Technical Credits
5,Jeffrey Silver,,Executive Producer,Production and Technical Credits
6,Thomas Schumacher,,Executive Producer,Production and Technical Credits
7,Don Hahn,,Executive Producer,Production and Technical Credits
8,Tobias Schliessler,,Director of Photography,Production and Technical Credits
9,Sarah Greenwood,,Production Designer,Production and Technical Credits
10,Virginia Katz,,Editor,Production and Technical Credits
11,Jacqueline Durran,,Costume Designer,Production and Technical Credits
12,Alan Menken,,Music and Score by,Production and Technical Credits
13,Howard Ashman,,Lyrics by,Production and Technical Credits
14,Tim Rice,,Lyrics by,Production and Technical Credits
15,Matt Sullivan,,Music Producer,Production and Technical Credits
16,Christopher Benstead,,Score Arranged by,Production and Technical Credits
17,Michael Kosarin,,Score Arranged and Conducted by,Production and Technical Credits
18,Linda Woolverton,,Story based on Disney’s ‘Beauty and the Beast’ by,Production and Technical Credits
19,Jeanne-Marie Leprince de Beaumont,,Story based on ‘Beauty and the Beast’ by,Production and Technical Credits
20,Katie Spencer,,Set Decorator,Production and Technical Credits
21,Kelly Port,,Visual Effects Supervisor,Production and Technical Credits
22,Matt Sullivan,,Music Supervisor,Production and Technical Credits
