,0,1,2,type
0,Gal Gadot,,Diana/Wonder Woman,Leading Cast
1,Chris Pine,,Steve Trevor,Leading Cast
0,Robin Wright,,Antiope,Supporting Cast
1,Danny Huston,,Ludendorff,Supporting Cast
2,David Thewlis,,Sir Patrick,Supporting Cast
3,Connie Nielsen,,Hippolyta,Supporting Cast
4,Elena Anaya,,Maru,Supporting Cast
5,Ewen Bremner,,Charlie,Supporting Cast
6,Lucy Davis,,Etta,Supporting Cast
7,Eugene Brave Rock,,The Chief,Supporting Cast
8,Said Taghmaoui,,Sameer,Supporting Cast
9,Lilly Aspell,,Young Diana (8),Supporting Cast
10,Lisa Loven Kongsli,,Menalippe,Supporting Cast
11,Ann Wolfe,,Artemis,Supporting Cast
12,Ann Ogbomo,,Philippus,Supporting Cast
13,Emily Carey,,Diana (12),Supporting Cast
14,James Cosmo,,Field Marshall Haig,Supporting Cast
15,Wolf Kahler,,German Commander,Supporting Cast
16,Alexander Mercury,,German Lieutenant,Supporting Cast
17,Martin Bishop,,Kaiser Wilhelm II,Supporting Cast
18,Flora Nicholson,,Marie,Supporting Cast
19,Pat Abernethy,,Photographer,Supporting Cast
20,Freddy Elletson,,Trench Sentry,Supporting Cast
21,Sammy Hayman,,Trench Sentry,Supporting Cast
22,Michael Tantrum,,Trench Sentry,Supporting Cast
23,Philippe Spall,,Trench Officer—Belgian,Supporting Cast
24,Edward Wolstenholme,,Trench Officer—British,Supporting Cast
25,Ian Hughes,,German Soldier,Supporting Cast
26,Marko Leht,,German Soldier in Boat,Supporting Cast
27,Steffan Rhodri,,Colonel Darnell,Supporting Cast
28,Andrew Byron,,Weary Captain (Shot),Supporting Cast
29,Dominic Kinnaird,,Suited Man,Supporting Cast
30,Rachel Pickup,,Fausta Grables,Supporting Cast
31,Ulli Ackermann,,Guard at Invite Table,Supporting Cast
32,Frank Allen Forbes,,Turkish Slave,Supporting Cast
33,Peter Stark,,Soldier at Gala,Supporting Cast
34,Rainer Bock,,Von Hindenberg,Supporting Cast
35,Josh Bromley,,Young Soldier (Station),Supporting Cast
36,Jennie Eggleton,,Young Wife (Station),Supporting Cast
37,Eva Dabrowski,,Nina,Supporting Cast
38,Harvey James,,German Pilot,Supporting Cast
39,George Johnston,,German Pilot,Supporting Cast
40,Danielle Lewis,,Senator Timandra,Supporting Cast
41,Florence Kasumba,,Senator Acantha,Supporting Cast
42,Eleanor Matsuura,,Epione,Supporting Cast
43,Josette Simon,,Mnemosyne,Supporting Cast
44,Doutzen Kroes,,Venelia,Supporting Cast
45,Hayley Warnes,,Aella,Supporting Cast
46,Caitlin Burles,,Queen’s Guard,Supporting Cast
47,Jemma Moore,,Queen’s Guard,Supporting Cast
48,Samantha Jo,,Euboea,Supporting Cast
49,Brooke Ence,,Penthiselea,Supporting Cast
50,Madeleine Vall Beuner*,,Egeria,Supporting Cast
51,Hari James,,Trigona,Supporting Cast
52,Jacqui-Lee Pryce,,Niobe,Supporting Cast
53,Betty Adewole,,Amazon Army,Supporting Cast
54,Caroline Winberg*,,Amazon Army,Supporting Cast
55,Lizzie Bowden,,Amazon Army,Supporting Cast
56,Kattreya Scheurer-Smith,,Amazon Army,Supporting Cast
57,Sharmina Harrower,,Amazon Army,Supporting Cast
58,Rekha Luther,,Amazon Townsfolk,Supporting Cast
59,Thaina Oliveira,,Amazon Townsfolk,Supporting Cast
60,Ooooota Adepo,,Amazon Townsfolk,Supporting Cast
61,Zinnia Kumar,,Amazon Townsfolk,Supporting Cast
62,Toma McDonagh,,Amazon Townsfolk,Supporting Cast
63,Amber Doyle,,Mother,Supporting Cast
64,Freddy Carter,,Soldier,Supporting Cast
65,Fred Fergus,,Soldier,Supporting Cast
66,Tim Pritchett,,Wounded Soldier,Supporting Cast
67,Gana Bayarsaikhan,,Throne Room Amazon,Supporting Cast
68,Camilla Roholm,,Throne Room Amazon,Supporting Cast
69,Stephanie Haymes-Roven,,Amazon Calvary General,Supporting Cast
70,Nia Burke,,Veld Singer,Supporting Cast
0,Patty Jenkins,,Director,Production and Technical Credits
1,Jason Fuchs,,Screenwriter,Production and Technical Credits
2,Zack Snyder,,Story by,Production and Technical Credits
3,Allan Heinberg,,Story by,Production and Technical Credits
4,Jason Fuchs,,Story by,Production and Technical Credits
5,Charles Roven,,Producer,Production and Technical Credits
6,Zack Snyder,,Producer,Production and Technical Credits
7,Deborah Snyder,,Producer,Production and Technical Credits
8,Richard Suckle,,Producer,Production and Technical Credits
9,Stephen Jones,,Executive Producer,Production and Technical Credits
10,Jon Berg,,Executive Producer,Production and Technical Credits
11,Geoff Johns,,Executive Producer,Production and Technical Credits
12,Wesley Coller,,Executive Producer,Production and Technical Credits
13,Rebecca Steel Roven,,Executive Producer,Production and Technical Credits
14,Aline Bonetto,,Production Designer,Production and Technical Credits
15,Martin Walsh,,Editor,Production and Technical Credits
16,Rupert Gregson-Williams,,Composer,Production and Technical Credits
17,Matthew Jensen,,Director of Photography,Production and Technical Credits
18,Tim Rigby,,Stunt Coordinator,Production and Technical Credits
19,Marcus Shakesheff,,Stunt Coordinator,Production and Technical Credits
20,Ryan Watson,,Stunt Coordinator,Production and Technical Credits
21,Wayne Dalglish,,Stunt Coordinator,Production and Technical Credits
22,Jo Allen,,Stunt Coordinator,Production and Technical Credits
23,Damon Caro,,Stunt Coordinator,Production and Technical Credits
24,Bill Westenhofer,,Visual Effects Supervisor,Production and Technical Credits
25,Lindy Hemming,,Costume Designer,Production and Technical Credits
26,Lora Kennedy,,Casting Director,Production and Technical Credits
27,Kristy Carlson,,Casting Director,Production and Technical Credits
28,Lucinda Syson,,Casting Director,Production and Technical Credits
29,Mark Mostyn,,Unit Production Manager,Production and Technical Credits
30,Tommy Gormley,,First Assistant Director,Production and Technical Credits
31,Steven Mnuchin,,Executive Producer,Production and Technical Credits
32,Damon Caro,,Second Unit Director,Production and Technical Credits
33,James Mather,,Supervising Sound Editor,Production and Technical Credits
34,David E. Hall,,Post-Production Supervisor,Production and Technical Credits
35,Peter Russell,,Supervising Art Director,Production and Technical Credits
36,Dominic Hyman,,Supervising Art Director,Production and Technical Credits
37,Stuart Kearns,,Art Director,Production and Technical Credits
38,Phil Harvey,,Art Director,Production and Technical Credits
39,Dominic Masters,,Art Director,Production and Technical Credits
40,James Collins,,Art Director,Production and Technical Credits
41,Remo Tozzi,,Art Director,Production and Technical Credits
42,Arwel Evans,,Art Director,Production and Technical Credits
43,Steve Carter,,Art Director,Production and Technical Credits
44,Chris Munro,,Sound Mixer,Production and Technical Credits
45,Laura Jane Miles*,,Script Supervisor,Production and Technical Credits
46,Marianne Jenkins,,Post-Production Executive,Production and Technical Credits
47,Matthew Tucker,,Associate Editor,Production and Technical Credits
48,Nick Davis,,First Assistant Editor,Production and Technical Credits
49,Katrina Annan,,Second Assistant Editor,Production and Technical Credits
50,Amber Kirsch,,Visual Effects Producer,Production and Technical Credits
51,Chris Burdon,,Re-recording Mixer,Production and Technical Credits
52,Gilbert Lake,,Re-recording Mixer,Production and Technical Credits
53,Simon Chase,,Supervising Dialogue Editor,Production and Technical Credits
54,Robert Killick,,Dialogue Editor,Production and Technical Credits
55,Jed Loughran,,Sound Effects Editor,Production and Technical Credits
56,Samir Foco,,Sound Effects Editor,Production and Technical Credits
57,Glen Gathard,,Foley Mixer,Production and Technical Credits
58,Annie Crawford,,Costume Supervisor,Production and Technical Credits
59,Christine Blundell,,Make-up and Hair Designer,Production and Technical Credits
60,Lesa Warrener,,Make-up and Hair Designer,Production and Technical Credits
61,Anna Lynch-Robinson,,Set Decorator,Production and Technical Credits
62,Lulu Morgan,,Production Supervisor,Production and Technical Credits
63,Jeanette Benzie,,Casting Associate,Production and Technical Credits
64,Natasha Vincent,,Casting Associate,Production and Technical Credits
65,Leigh Ann Smith,,Casting Assistant,Production and Technical Credits
66,Bex Reynolds,,Casting Assistant,Production and Technical Credits
67,John Bernard,,Line Producer,Production and Technical Credits
68,Charles Somers,,Supervising Location Manager,Production and Technical Credits
69,Tom Asquith,,Location Manager,Production and Technical Credits
70,Jacob McIntyre,,Location Manager,Production and Technical Credits
71,Georgette Turner,,Location Manager,Production and Technical Credits
72,Mark Holt,,Special Effects Supervisor,Production and Technical Credits
73,Carmila Gittens,,Special Effects Coordinator,Production and Technical Credits
74,Isabel Baquero,,Choreography,Production and Technical Credits
75,Andrew Kawczynski,,Additional Music,Production and Technical Credits
76,Tom Howe,,Additional Music,Production and Technical Credits
77,Evan Jolly,,Additional Music,Production and Technical Credits
78,Simon Changer,,Music Editor,Production and Technical Credits
79,Christopher Benstead,,Music Editor,Production and Technical Credits
80,J. J. George,,Music Editor,Production and Technical Credits
81,Gerard McCann,,Music Editor,Production and Technical Credits
82,Dominick Certo,,Music Editor,Production and Technical Credits
83,Melissa Muik,,Music Editor,Production and Technical Credits
84,Karen Elliott,,Music Supervisor,Production and Technical Credits
85,Alan Meyerson,,Score Mixer,Production and Technical Credits
86,Forest Christenson,,Score Mixer,Production and Technical Credits
87,Nick Wollage,,Score Recordist,Production and Technical Credits
