,0,1,2,type
0,Dwayne Johnson,,Dr. Smolder Bravestone/Spencer's Avatar,Lead Ensemble Members
1,Jack Black,,"Professor Sheldon ""Shelly"" Oberon/Bethany's Avatar",Lead Ensemble Members
2,Kevin Hart,,"Franklin ""Moose"" Finbar/Fridge's Avatar",Lead Ensemble Members
3,Karen Gillan,,Ruby Roundhouse/Martha's Avatar,Lead Ensemble Members
4,Nick Jonas,,"Jefferson ""Seaplane"" McDonough/Avatar of Alex Vreeke",Lead Ensemble Members
0,Bobby Cannavale,,John Hardin Van Pelt,Supporting Cast
1,Ser'Darius Blain,,Young Anthony “Fridge” Johnson,Supporting Cast
2,Madison Iseman,,Young Bethany,Supporting Cast
3,Morgan Turner,,Young Martha,Supporting Cast
4,Alex Wolff,,Young Spencer,Supporting Cast
5,Rhys Darby,,Nigel,Supporting Cast
6,Marc Evan Jackson,,Principal Bentley,Supporting Cast
7,Missi Pyle,,Coach Webb,Supporting Cast
8,Maribeth Monroe,,Teacher,Supporting Cast
9,Sean Buxton,,Jogger,Supporting Cast
10,Mason Guccione,,Gamer,Supporting Cast
11,Marin Hinkle,,Spencer's Moms,Supporting Cast
12,Tracey Bonner,,Fridge's Mom,Supporting Cast
13,Najah Jackson,,Girl in Car,Supporting Cast
14,Natasha Charles Parker,,Bethany's Mom,Supporting Cast
15,Kat Altman,,Lucinda,Supporting Cast
16,Michael Shacket,,Fussfeld,Supporting Cast
17,Jamie Renell,,Male Gym Teacher,Supporting Cast
18,Carlease Burke,,Miss Mathers,Supporting Cast
19,Jason New,,Bivouac Biker,Supporting Cast
20,William Tokarsky,,Bread Vendor,Supporting Cast
21,Rohan Chand,,Kid at Bazaar,Supporting Cast
22,Tait Fletcher,,Scorpion Recipient,Supporting Cast
23,Steve Dunlevy,,Transportation Shed Guard,Supporting Cast
24,Rob Mars,,Transportation Shed Guard,Supporting Cast
0,Robin Williams,,Alan Parrish,
0,Tim Matheson,,Old Man Vreeke,Uncategorized
0,Jake Kasdan,,Director,Production and Technical Credits
1,Matt Tolmach,,Producer,Production and Technical Credits
2,William Teitler,,Producer,Production and Technical Credits
3,Chris McKenna,,Screenwriter,Production and Technical Credits
4,Erik Sommers,,Screenwriter,Production and Technical Credits
5,Scott Rosenberg,,Screenwriter,Production and Technical Credits
6,Jeff Pinkner,,Screenwriter,Production and Technical Credits
7,Chris McKenna,,Screen story by,Production and Technical Credits
8,Chris Van Allsburg,,Based on “Jumanji” by,Production and Technical Credits
9,Ted Field,,Executive Producer,Production and Technical Credits
10,Jake Kasdan,,Executive Producer,Production and Technical Credits
11,David Householter,,Executive Producer,Production and Technical Credits
12,Dany Garcia,,Executive Producer,Production and Technical Credits
13,Mike Weber,,Executive Producer,Production and Technical Credits
14,Dwayne Johnson,,Executive Producer,Production and Technical Credits
15,Gyula Pados,,Director of Photography,Production and Technical Credits
16,Owen Paterson,,Production Designer,Production and Technical Credits
17,Mark Helfrich,,Editor,Production and Technical Credits
18,Steve Edwards,,Editor,Production and Technical Credits
19,Jerome Chen,,Visual Effects Supervisor,Production and Technical Credits
20,Laura Jean Shannon,,Costume Designer,Production and Technical Credits
21,Henry Jackman,,Music By,Production and Technical Credits
22,Manish Raval,,Music Supervisor,Production and Technical Credits
23,Tom Wolfe,,Music Supervisor,Production and Technical Credits
24,Jeanne McCarthy,,Casting By,Production and Technical Credits
25,Nicole Abellera,,Casting By,Production and Technical Credits
26,Hiram Garcia,,Co-Producer,Production and Technical Credits
27,Melvin Mar,,Co-Producer,Production and Technical Credits
28,Jack Gill,,Second Unit Director,Production and Technical Credits
29,Matt Rebenkoff,,First Assistant Director,Production and Technical Credits
30,Christopher Waegner,,Visual Effects Supervisor,Production and Technical Credits
