,0,1,2,type
0,Chris Pratt,,Peter Quill/Star-Lord,Lead Ensemble Members
1,Zoe Saldana,,Gamora,Lead Ensemble Members
2,Dave Bautista,,Drax the Destroyer,Lead Ensemble Members
3,Vin Diesel,,Baby Groot,Lead Ensemble Members
4,Bradley Cooper,,Rocket,Lead Ensemble Members
5,Michael Rooker,,Yondu Udonta,Lead Ensemble Members
6,Kurt Russell,,Ego,Lead Ensemble Members
7,Karen Gillan,,Nebula,Lead Ensemble Members
8,Pom Klementieff,,Mantis,Lead Ensemble Members
9,Elizabeth Debicki,,Ayesha,Lead Ensemble Members
0,Chris Sullivan,,Taserface,Supporting Cast
1,Sean Gunn,,Kraglin,Supporting Cast
2,Sylvester Stallone,,Nova Corp Member,Supporting Cast
3,Glenn Close,,Irani Rael,Supporting Cast
4,Evan Jones,,Wretch,Supporting Cast
5,Jimmy Urine,,Half-Nut,Supporting Cast
6,Stephen Blackehart,,Brahl,Supporting Cast
7,Steve Agee,,Gef the Ravager,Supporting Cast
8,Mike Escamilla,,Scrote,Supporting Cast
9,Joe Fria,,Oblo,Supporting Cast
10,Terence Rosemore,,Narblik,Supporting Cast
11,Tommy Flanagan,,Tullk,Supporting Cast
12,Laura Haddock,,Meredith Quill,Supporting Cast
13,Seth Green,,Howard the Duck,Supporting Cast
14,Michael Rosenbaum,,Martinex T’Naga,Supporting Cast
15,Ving Rhames,,Charlie-27,Supporting Cast
16,Michelle Yeoh,,Aleta Ogord/Starhawk,Supporting Cast
0,Rob Zombie,,Himself,Cameos
1,Stan Lee,,Astronaut,Cameos
2,Jeff Goldblum,,Grandmaster,Cameos
3,Miley Cyrus,,Krugarr/Mainframe,Cameos
4,David Hasselhoff,,Himself,Cameos
0,James Gunn,,Director,Production and Technical Credits
1,James Gunn,,Screenwriter,Production and Technical Credits
2,Dan Abnett,,Story based on ‘Guardians of the Galaxy’ by,Production and Technical Credits
3,Andy Lanning,,Story based on ‘Guardians of the Galaxy’ by,Production and Technical Credits
4,Kevin Feige,,Producer,Production and Technical Credits
5,Louis D’Esposito,,Executive Producer,Production and Technical Credits
6,Victoria Alonso,,Executive Producer,Production and Technical Credits
7,Jonathan Schwartz,,Executive Producer,Production and Technical Credits
8,Nikolas Korda,,Executive Producer,Production and Technical Credits
9,Stan Lee,,Executive Producer,Production and Technical Credits
10,David J. Grant,,Executive Producer,Production and Technical Credits
11,Henry Braham,,Director of Photography,Production and Technical Credits
12,Scott Chambliss,,Production Designer,Production and Technical Credits
13,Fred Raskin,,Editor,Production and Technical Credits
14,Craig Wood,,Editor,Production and Technical Credits
15,Judianna Makovsky,,Costume Designer,Production and Technical Credits
16,Christopher Townsend,,Visual Effects Supervisor,Production and Technical Credits
17,Tyler Bates,,Composer,Production and Technical Credits
18,Dave Jordan,,Music Supervisor,Production and Technical Credits
19,Sarah Halley Finn,,Casting Director,Production and Technical Credits
20,Tommy Harper,,Stunt Coordinator,Production and Technical Credits
21,Dan Sudick,,Special Effects Supervisor,Production and Technical Credits
22,Lars P. Winther,,First Assistant Director,Production and Technical Credits
23,Easton Smith,,Set Designer,Production and Technical Credits
24,Guy Williams,,Visual Effects Supervisor,Production and Technical Credits
25,Jonathan Fawkner,,Visual Effects Supervisor,Production and Technical Credits
26,Steve Durkee,,Score Supervisor,Production and Technical Credits
27,Steve Durkee,,Supervising Music Editor,Production and Technical Credits
28,Lee Gilmore,,Sound Effects Editor,Production and Technical Credits
29,Jacob Riehle,,Assistant Sound Editor,Production and Technical Credits
30,Brad Semenoff,,Dialogue/ADR Editor,Production and Technical Credits
31,Nashia Wachsman,,Music Editor,Production and Technical Credits
32,Bria Kinter,,Set Designer,Production and Technical Credits
