,0,1,2,type
0,Jaeden Lieberher,,Bill Denbrough,Leading Cast
1,Bill Skarsgård,,Pennywise,Leading Cast
0,Tatum Lee,,Judith,Supporting Cast
1,Jeremy Ray Taylor,,Ben Hanscom,Supporting Cast
2,Sophia Lillis,,Beverly Marsh,Supporting Cast
3,Finn Wolfhard,,Richie Tozier,Supporting Cast
4,Chosen Jacobs,,Mike Hanlon,Supporting Cast
5,Jack Dylan Grazer,,Eddie Kaspbrak,Supporting Cast
6,Wyatt Oleff,,Stanley Uris,Supporting Cast
7,Nicholas Hamilton,,Henry Bowers,Supporting Cast
8,Jake Sim,,Reginald “Belch” Huggins,Supporting Cast
9,Logan Thompson,,Victor “Vic” Criss,Supporting Cast
10,Owen Teague,,Patrick Hockstetter,Supporting Cast
11,Jackson Robert Scott,,George Denbrough,Supporting Cast
12,Stephen Bogaert,,Alvin Marsh,Supporting Cast
13,Stuart Hughes,,Oscar “Butch” Bowers,Supporting Cast
14,Geoffrey Pounsett,,Zack Denbrough,Supporting Cast
15,Pip Dwyer,,Sharon Denbrough,Supporting Cast
16,Molly Jane Atkinson,,Sonia Kaspbrak,Supporting Cast
17,Steven Williams,,Leroy Hanlon,Supporting Cast
18,Elizabeth Saunders,,Mrs. Starret,Supporting Cast
19,Megan Charpentier,,Greta Bowie,Supporting Cast
20,Joe Bostick,,Mr. Keene,Supporting Cast
21,Ari Cohen,,Rabbi Uris,Supporting Cast
22,Anthony Ulc,,Joe the Butcher,Supporting Cast
23,Javier Botet,,Hobo,Supporting Cast
24,Katie Lunman,,Betty Ripsom,Supporting Cast
25,Carter Musselman,,Headless Boy,Supporting Cast
26,Edie Inksetter,,Hostess,Supporting Cast
27,Martha Gibson,,Old Woman,Supporting Cast
28,Kasie Rayner,,Field Hockey Girl #1,Supporting Cast
29,Isabelle Nelisse,,Girl in Bathroom,Supporting Cast
30,Jocelyn Matika,,Another Girl,Supporting Cast
31,Don Tripe,,Old Man in Car,Supporting Cast
32,Liz Gordon,,Old Woman in Car,Supporting Cast
33,Paige Rosamond,,Dead Girl #1,Supporting Cast
34,Neil Crone,,Chief Borton,Supporting Cast
35,Sonia Gascon,,Mrs. Ripsom,Supporting Cast
36,Janet Porter,,Stanley’s Mother,Supporting Cast
37,Memo Diaz Capt,,4th of July Clown,Supporting Cast
38,Chantal Vachon,,Girl in Magazine,Supporting Cast
39,Roberto Campanella,,Organ Player Clown,Supporting Cast
0,Andy Muschietti*,,Director,Production and Technical Credits
1,Dan Lin,,Producer,Production and Technical Credits
2,Roy Lee,,Producer,Production and Technical Credits
3,David Katzenberg,,Producer,Production and Technical Credits
4,Barbara Muschietti,,Producer,Production and Technical Credits
5,Seth Grahame-Smith,,Producer,Production and Technical Credits
6,Chase Palmer,,Screenwriter,Production and Technical Credits
7,Cary Joji Fukunaga,,Screenwriter,Production and Technical Credits
8,Gary Dauberman,,Screenwriter,Production and Technical Credits
9,Stephen King,,Story based on “It” by,Production and Technical Credits
10,Dave Neustadter,,Executive Producer,Production and Technical Credits
