,0,1,2,type
0,Chris Hemsworth,,Thor,Lead Ensemble Members
1,Tom Hiddleston,,Loki,Lead Ensemble Members
2,Cate Blanchett,,Hela,Lead Ensemble Members
3,Idris Elba,,Heimdall,Lead Ensemble Members
4,Jeff Goldblum,,Grandmaster,Lead Ensemble Members
5,Tessa Thompson,,Valkyrie,Lead Ensemble Members
6,Karl Urban,,Skurge,Lead Ensemble Members
7,Mark Ruffalo,,Bruce Banner/Hulk,Lead Ensemble Members
8,Anthony Hopkins,,Odin,Lead Ensemble Members
0,Benedict Cumberbatch,,Stephen Strange,Supporting Cast
1,Sam Neill,,Odin,Supporting Cast
2,Tadanobu Asano,,Hogun,Supporting Cast
3,Ray Stevenson,,Volstagg,Supporting Cast
4,Zachary Levi,,Fandral,Supporting Cast
5,Rachel House,,Topaz,Supporting Cast
6,Taika Waititi,,Korg,Supporting Cast
0,Stan Lee,,Man on Sakaar,Cameos
0,Taika Waititi,,Director,Production and Technical Credits
1,Eric Pearson,,Screenwriter,Production and Technical Credits
2,Craig Kyle,,Screenwriter,Production and Technical Credits
3,Christopher L. Yost,,Screenwriter,Production and Technical Credits
4,Kevin Feige,,Producer,Production and Technical Credits
5,Louis D’Esposito,,Executive Producer,Production and Technical Credits
6,Victoria Alonso,,Executive Producer,Production and Technical Credits
7,Brad Winderbaum,,Executive Producer,Production and Technical Credits
8,Thomas M. Hammel,,Executive Producer,Production and Technical Credits
9,Stan Lee,,Executive Producer,Production and Technical Credits
10,David J. Grant,,Co-Producer,Production and Technical Credits
11,Javier Aguirresarobe,,Director of Photography,Production and Technical Credits
12,Dan Hennah,,Production Designer,Production and Technical Credits
13,Ra Vincent,,Production Designer,Production and Technical Credits
14,Joel Negron,,Editor,Production and Technical Credits
15,Zene Baker,,Editor,Production and Technical Credits
16,Mayes C. Rubeo,,Costume Designer,Production and Technical Credits
17,Jake Morrison,,Visual Effects Supervisor,Production and Technical Credits
18,Andy Park,,Visual Effects Designer-Visual Development,Production and Technical Credits
19,Mark Mothersbaugh,,Composer,Production and Technical Credits
20,David Jordan,,Music Supervisor,Production and Technical Credits
21,Steve Durkee,,Score Supervisor,Production and Technical Credits
22,Sarah Halley Finn,,Casting Director,Production and Technical Credits
23,Juan Peralta,,Re-recording Mixer,Production and Technical Credits
24,Shannon Mills,,Sound Designer,Production and Technical Credits
25,Shannon Mills,,Supervising Sound Editor,Production and Technical Credits
26,Daniel Laurie,,Supervising Sound Editor,Production and Technical Credits
27,Steve Durkee,,Supervising Music Editor,Production and Technical Credits
28,Steve Orlando,,Sound Effects Editor,Production and Technical Credits
29,Jacob Riehle,,Foley Editor,Production and Technical Credits
30,Nia Hansen,,Sound Designer,Production and Technical Credits
31,Kyle Gardiner,,Stunt Coordinator,Production and Technical Credits
32,Samson Neslund,,Assistant Supervising Sound Effects Editor,Production and Technical Credits
33,Vincent Lascoumes,,First Assistant Director,Production and Technical Credits
