,0,1,2,type
0,Ben Affleck,,Bruce Wayne / Batman,Lead Ensemble Members
1,Henry Cavill,,Kal-El / Clark Kent / Superman,Lead Ensemble Members
2,Gal Gadot,,Diana Prince / Wonder Woman,Lead Ensemble Members
3,Jason Momoa,,Aquaman,Lead Ensemble Members
4,Ezra Miller,,Barry Allen / Flash,Lead Ensemble Members
5,Ray Fisher,,Victor Stone / Cyborg,Lead Ensemble Members
0,Amy Adams,,Lois Lane,Supporting Cast
1,Ciaran Hinds,,Steppenwolf,Supporting Cast
2,Willem Dafoe,,Nuidis Vulko,Supporting Cast
3,Jesse Eisenberg,,Lex Luthor,Supporting Cast
4,Jeremy Irons,,Alfred Pennyworth,Supporting Cast
5,Diane Lane,,Martha Kent,Supporting Cast
6,Connie Nielsen,,Queen Hippolyta,Supporting Cast
7,J.K. Simmons,,James Gordon,Supporting Cast
8,Joe Morton,,Dr. Silas Stone,Supporting Cast
9,Amber Heard,,Mera,Supporting Cast
10,Billy Crudup,,Dr. Henry Allen,Supporting Cast
11,Kiersey Clemons,,Iris West,Supporting Cast
12,Julian Lewis Jones,,King Atlan,Supporting Cast
13,Michael McElhatton,,,Supporting Cast
0,Marc McClure,,Police Officer,Cameos
0,Zack Snyder,,Director,Production and Technical Credits
1,Chris Terrio,,Screenwriter,Production and Technical Credits
2,Zack Snyder,,Story by,Production and Technical Credits
3,Chris Terrio,,Story by,Production and Technical Credits
4,Charles Roven,,Producer,Production and Technical Credits
5,Deborah Snyder,,Producer,Production and Technical Credits
6,Geoff Johns,,Producer,Production and Technical Credits
7,Jon Berg,,Producer,Production and Technical Credits
8,Jim Rowe,,Executive Producer,Production and Technical Credits
9,Curt Kanemoto,,Executive Producer,Production and Technical Credits
10,Chris Terrio,,Executive Producer,Production and Technical Credits
11,Ben Affleck,,Executive Producer,Production and Technical Credits
12,Wesley Coller,,Executive Producer,Production and Technical Credits
13,David Brenner,,Editor,Production and Technical Credits
14,Junkie XL,,Composer,Production and Technical Credits
15,Fabian Wagner,,Director of Photography,Production and Technical Credits
16,Misha Bukowski,,First Assistant Director,Production and Technical Credits
17,Brett Robinson,,First Assistant Director,Production and Technical Credits
