,0,1,2,type
0,Chadwick Boseman,,T’Challa/Black Panther,Lead Ensemble Members
1,Michael B. Jordan,,Erik Killmonger,Lead Ensemble Members
2,Lupita Nyong'o,,Nakia,Lead Ensemble Members
3,Danai Gurira,,Okoye,Lead Ensemble Members
4,Martin Freeman,,Everett K. Ross,Lead Ensemble Members
5,Angela Bassett,,Ramonda,Lead Ensemble Members
6,Forest Whitaker,,Zuri,Lead Ensemble Members
7,Andy Serkis,,Ulysses Klaue,Lead Ensemble Members
8,Daniel Kaluuya,,W’Kabi,Lead Ensemble Members
9,Letitia Wright,,Shuri,Lead Ensemble Members
0,Florence Kasumba,,Ayo,Supporting Cast
1,John Kani,,T’Chaka,Supporting Cast
2,Winston Duke,,M’Baku/Man-Ape,Supporting Cast
3,Sterling K. Brown,,N’Jobu,Supporting Cast
4,Isaach de Bankolé,,Tribe Elder,Supporting Cast
5,Sydelle Noel,,Xoliswa,Supporting Cast
6,Connie Chuene,,Mining Elder,Supporting Cast
0,Stan Lee,,,Cameos
0,Phylicia Rashad,,,Uncategorized
1,Atandwa Kani,,,Uncategorized
0,Ryan Coogler,,Director,Production and Technical Credits
1,Joe Robert Cole,,Screenwriter,Production and Technical Credits
2,Ryan Coogler,,Screenwriter,Production and Technical Credits
3,Jack Kirby,,Based on the comic by,Production and Technical Credits
4,Stan Lee,,Based on the comic by,Production and Technical Credits
5,Kevin Feige,,Producer,Production and Technical Credits
6,Louis D’Esposito,,Executive Producer,Production and Technical Credits
7,Victoria Alonso,,Executive Producer,Production and Technical Credits
8,Nate Moore,,Executive Producer,Production and Technical Credits
9,Stan Lee,,Executive Producer,Production and Technical Credits
10,Jeffrey Chernov,,Executive Producer,Production and Technical Credits
11,David J. Grant,,Co-Producer,Production and Technical Credits
12,Rachel Morrison,,Director of Photography,Production and Technical Credits
13,Hannah Beachler,,Production Designer,Production and Technical Credits
14,Claudia Castello,,Editor,Production and Technical Credits
15,Michael P. Shawver,,Editor,Production and Technical Credits
16,Ruth E. Carter,,Costume Designer,Production and Technical Credits
17,Geoffrey Baumann,,Visual Effects Supervisor,Production and Technical Credits
18,Ludwig Göransson,,Composer,Production and Technical Credits
19,Sarah Halley Finn,,Casting Director,Production and Technical Credits
20,Dave Jordan,,Music Supervisor,Production and Technical Credits
21,Steve Durkee,,Score Supervisor,Production and Technical Credits
22,Steve Durkee,,Supervising Music Editor,Production and Technical Credits
23,Andy Gill,,Stunt Coordinator-Second Unit,Production and Technical Credits
24,Igor Meglic,,Second Unit Camera,Production and Technical Credits
25,Jay Hart,,Set Decorator,Production and Technical Credits
26,Ben Burtt,,Sound Editor,Production and Technical Credits
27,Steve Boeddeker,,Sound Editor,Production and Technical Credits
28,Steve Boeddeker,,Sound Mixer,Production and Technical Credits
29,Brandon Proctor,,Sound Mixer,Production and Technical Credits
30,Peter J. Devlin,,Sound Mixer,Production and Technical Credits
31,Nashia Wachsman,,Music Editor,Production and Technical Credits
32,Christopher T. Sadler,,Second Assistant Director,Production and Technical Credits
