,0,1,2,type
0,Bradley Cooper,,Jack,Leading Cast
1,Lady Gaga,,Ally,Leading Cast
0,Sam Elliott,,Bobby,Supporting Cast
1,Anthony Ramos,,Ramon,Supporting Cast
2,Bonnie Somerville,,Sally,Supporting Cast
3,Andrew Dice Clay,,Lorenzo,Supporting Cast
4,Dave Chappelle,,George “Noodles” Stone,Supporting Cast
5,Rafi Gavron,,Rez Gavron,Supporting Cast
6,Ron Rifkin,,Carl,Supporting Cast
7,Barry Shabaka Henley,,Little Feet,Supporting Cast
8,Michael D. Roberts,,Matty,Supporting Cast
9,Michael Harney,,Wolfe,Supporting Cast
10,Rebecca Field,,Gail,Supporting Cast
11,Derek Kevin Jones,,Etta James,Supporting Cast
12,William Belli,,Emerald,Supporting Cast
13,Joshua Wells,,Sooki,Supporting Cast
14,Greg Grunberg,,Phil (Jack’s Driver),Supporting Cast
15,D.J. Shangela Pierce*,,Drag Bar Emcee,Supporting Cast
16,Eddie Griffin,,Pastor,Supporting Cast
17,Drena De Niro,,Paulette Stone,Supporting Cast
18,Sanaa Chappelle,,Frankie Stone,Supporting Cast
19,Leandro De Niro Rodriguez,,Leo Stone,Supporting Cast
20,Jacob Schick,,Bryan (Catering Manager),Supporting Cast
21,Gabe Fazio,,Tommy,Supporting Cast
22,Benjamin Don Rice,,Studio Engineer (Ben),Supporting Cast
23,Ashley Frangipane,,Music Awards Presenter,Supporting Cast
24,William H. Slattery III M.D.,,Hearing Doctor,Supporting Cast
25,Matthew Libatique,,Photographer,Supporting Cast
26,Bobby Wilhelm,,Music Awards Announcer,Supporting Cast
27,Luenell*,,Cashier,Supporting Cast
28,Lukas Nelson,,Guitarist (Jack’s Band-Lukas Nelson & Promise of the Real),Supporting Cast
29,Anthony Logerfo,,Drummer (Jack’s Band-Lukas Nelson & Promise of the Real),Supporting Cast
30,Alberto Bof,,Pianist (Jack’s Band-Lukas Nelson & Promise of the Real),Supporting Cast
31,Corey McCormick,,Bassist (Jack’s Band-Lukas Nelson & Promise of the Real),Supporting Cast
32,Jesse Siebenberg,,Steel Guitarist (Jack’s Band-Lukas Nelson & Promise of the Real),Supporting Cast
33,Tato Melgar,,Percussionist (Jack’s Band-Lukas Nelson & Promise of the Real),Supporting Cast
34,Don Was,,Super Group Bassist/Leader,Supporting Cast
35,Victor Indrizzo,,Super Group Drummer,Supporting Cast
36,George Doering,,Super Group Guitarist,Supporting Cast
37,Michael Bearden,,Super Group Keybordist,Supporting Cast
38,Lenny Castro,,Super Group Percussionist,Supporting Cast
39,Richy Jackson,,Choreographer,Supporting Cast
40,Christina “Pasty” Grady*,,iHeart Radio/SNL Dancer,Supporting Cast
41,Imani Wisdom,,iHeart Radio/SNL Dancer,Supporting Cast
42,Christopher Shazar,,SNL Dancer,Supporting Cast
43,Amanda Balen,,SNL Dancer,Supporting Cast
44,Montana Efaw,,Concert Dancer,Supporting Cast
45,Caroline M. Diamond,,Concert Dancer,Supporting Cast
46,China Taylor,,Concert Dancer,Supporting Cast
47,Sloan-Taylor Rabinor,,Concert Dancer,Supporting Cast
0,Dennis Tong,,Donte,Narrator(s)
0,Alec Baldwin,,Himself,Cameos
1,Marlon Williams,,Himself,Cameos
2,Brandi Carlile,,Herself,Cameos
3,Chris Kelly,,Himself,Cameos
4,Don Roy King,,Himself,Cameos
5,Gena Rositano,,Herself,Cameos
6,Greg Scarnici,,Himself,Cameos
