,0,1,2,type
0,Craig T. Nelson,,Bob Parr / Mr. Incredible,Lead Ensemble Members
1,Holly Hunter,,Helen Parr / Elastigirl,Lead Ensemble Members
2,Sarah Vowell,,Violet Parr,Lead Ensemble Members
3,Huckleberry Milner*,,Dashiell “Dash” Robert Parr,Lead Ensemble Members
4,Samuel L. Jackson,,Lucius Best / Frozone,Lead Ensemble Members
0,Catherine Keener,,Evelyn Deavor,Supporting Cast
1,Eli Fucile,,Jack-Jack Parr,Supporting Cast
2,Bob Odenkirk,,Winston Deavor,Supporting Cast
3,Sophia Bush,,Voyd,Supporting Cast
4,Brad Bird,,Edna Mode,Supporting Cast
5,Phil LaMarr,,Krushauer/Helectrix,Supporting Cast
6,Isabella Rossellini,,Ambassador,Supporting Cast
7,Adam Gates,,Chad Brentley,Supporting Cast
8,Jonathan Banks,,Rick Dicker,Supporting Cast
9,John Ratzenberger,,Underminer,Supporting Cast
10,Bill Wise,,Screenslaver/Pizza Guy,Supporting Cast
11,Nick Bird,,Monster Jack-Jack Parr,Supporting Cast
12,Paul Eiding,,Reflux,Supporting Cast
13,Barry Bostwick,,Mayor,Supporting Cast
14,Michael B. Johnson,,Victor Cachet,Supporting Cast
15,Jere Burns,,Detective,Supporting Cast
16,Adam Rodriguez,,Detective,Supporting Cast
17,Kimberly Adair Clark,,Honey,Supporting Cast
0,Brad Bird,,Director,Production and Technical Credits
1,Brad Bird,,Screenwriter,Production and Technical Credits
2,John Walker,,Producer,Production and Technical Credits
3,Nicole Paradis Grindle,,Producer,Production and Technical Credits
4,John Lasseter,,Executive Producer,Production and Technical Credits
5,Ralph Eggleston,,Production Designer,Production and Technical Credits
6,Stephen Schaffer,,Editor,Production and Technical Credits
7,Michael Giacchino,,Music By,Production and Technical Credits
8,Jeremy Lasky,,Director of Photography,Production and Technical Credits
9,Brad Bird,,Character Creator,Production and Technical Credits
10,Ted Mathot,,Story Supervisor,Production and Technical Credits
11,Rick Sayre,,Supervising Technical Director,Production and Technical Credits
12,Sabine Koch O’Sullivan,,Production Manager,Production and Technical Credits
13,Alan Barillaro,,Supervising Animator,Production and Technical Credits
14,Tony Fucile,,Supervising Animator,Production and Technical Credits
15,Dave Mullins,,Supervising Animator,Production and Technical Credits
16,Mahyar Abousaeedi,,Director of Photography-Camera,Production and Technical Credits
17,Erik Smitt,,Director of Photography-Lighting,Production and Technical Credits
18,Bill Wise,,Character Supervisor,Production and Technical Credits
19,Nathan Fariss,,Sets Supervisor,Production and Technical Credits
20,Ren Klyce,,Sound Designer,Production and Technical Credits
21,Kevin Reher,,Casting Director,Production and Technical Credits
22,Natalie Lyon,,Casting Director,Production and Technical Credits
23,Kevin O'Brien,,Story Artist,Production and Technical Credits
24,Louis Gonzales,,Story Artist,Production and Technical Credits
25,Brian Kalin O’Connell,,Story Artist,Production and Technical Credits
26,Derek Thompson,,Story Artist,Production and Technical Credits
27,Bobby Alcid Rubio,,Story Artist,Production and Technical Credits
28,Dean Kelly,,Story Artist,Production and Technical Credits
29,Austin Madison,,Story Artist,Production and Technical Credits
30,Bill Presing,,Story Artist,Production and Technical Credits
31,Melody Cisinski,,Story Artist,Production and Technical Credits
32,Sanjay Patel,,Story Artist,Production and Technical Credits
33,Octavio Rodriguez,,Story Artist,Production and Technical Credits
34,Rosana Sullivan,,Story Artist,Production and Technical Credits
35,Michael Daley,,Story Artist,Production and Technical Credits
36,Katie Schaefer Bishop,,Associate Editor,Production and Technical Credits
37,C.J. Hsu,,Assistant Editor,Production and Technical Credits
38,Kelly Bonbright,,Script Supervisor,Production and Technical Credits
39,Deanna Marsigliese,,Character and Costume Designer,Production and Technical Credits
40,Tony Fucile,,Character Designer,Production and Technical Credits
41,Coya Elliott,,Supervising Sound Editor,Production and Technical Credits
42,Ren Klyce,,Supervising Sound Editor,Production and Technical Credits
43,Michael Semanick,,Re-recording Mixer,Production and Technical Credits
44,Nathan Nance,,Re-recording Mixer,Production and Technical Credits
45,Jon Borland,,Sound Effects Editor,Production and Technical Credits
46,Steve Bissinger,,Sound Effects Editor,Production and Technical Credits
47,Steve Orlando,,Sound Effects Editor,Production and Technical Credits
48,Teresa Eckton,,Sound Effects Editor,Production and Technical Credits
49,Frank Eulner,,Sound Effects Editor,Production and Technical Credits
50,Tom MacDougall,,Executive Music Producer,Production and Technical Credits
51,Stephen M. Davis,,Music Editor,Production and Technical Credits
52,Warren Brown,,Music Editor,Production and Technical Credits
53,Joel Iwataki,,Score Recordist,Production and Technical Credits
54,Joel Iwataki,,Score Mixer,Production and Technical Credits
55,Mick Giacchino,,Additional Music,Production and Technical Credits
