,0,1,2,type
0,Jason Momoa,,Arthur Curry/Aquaman,Lead Ensemble Members
1,Amber Heard,,Mera,Lead Ensemble Members
2,Willem Dafoe,,Dr. Nuidis Vulko,Lead Ensemble Members
3,Patrick Wilson,,Orm Marius / Ocean Master,Lead Ensemble Members
4,Nicole Kidman,,Atlanna,Lead Ensemble Members
5,Dolph Lundgren,,Nereus,Lead Ensemble Members
6,Yahya Abdul-Mateen II,,David Hyde / Black Manta,Lead Ensemble Members
0,Temuera Morrison,,Thomas Curry,Supporting Cast
1,Ludi Lin,,Murk,Supporting Cast
2,Michael Beach,,Jesse Kane,Supporting Cast
3,Randall Park,,Dr. Stephen Shin,Supporting Cast
4,Graham McTavish,,King Atlan,Supporting Cast
5,Leigh Whannell,,Cargo Pilot,Supporting Cast
6,Tainui Kirkwood,,Young Arthur (three years old),Supporting Cast
7,Tamor Kirkwood,,Young Arthur (three years old),Supporting Cast
8,Denzel Quirke,,Young Arthur (three years old),Supporting Cast
9,Kaan Guldur,,Young Arthur (nine years old),Supporting Cast
10,Otis Dhanji,,Young Arthur (thirteen years old),Supporting Cast
11,Kekoa Kekumano,,Young Arthur (sixteen years old),Supporting Cast
12,Julie Andrews,,Karathen,Supporting Cast
13,John Rhys-Davies,,Brine King,Supporting Cast
14,Djimon Hounsou,,King Ricou,Supporting Cast
15,Andrew Crawford,,Brine King & King Ricou,Supporting Cast
16,Sophia Forrest,,Fisherman Princess,Supporting Cast
17,Natalia Safran,,Queen Rina,Supporting Cast
18,Micah D. Ohlman,,Newscaster,Supporting Cast
19,Andrew Jack,,Mike (bully),Supporting Cast
20,Frankie Creagh-Leslie,,Matt (bully),Supporting Cast
21,Sophia Emberson-Bain,,Tour Guide (aquarium),Supporting Cast
22,Ilya Melnikoff,,Submarine Captain,Supporting Cast
23,Hank Amos,,Submarine Pirate,Supporting Cast
24,Kyryl Koltsov,,Submarine Crew Member,Supporting Cast
25,Patrick Cox,,Cue Ball,Supporting Cast
26,Luke Owen,,Biker,Supporting Cast
27,Robert Longstreet,,Professor James,Supporting Cast
28,Devika Parikh,,Newscaster Morgan,Supporting Cast
29,Sonny Le,,Metalsmith,Supporting Cast
30,Jon Fabian,,Italian Vendor,Supporting Cast
31,Mabel Tamone,,Italian Young Girl,Supporting Cast
32,Rita Dinardo,,Italian Old Woman,Supporting Cast
33,Anthony Standish,,Barfly,Supporting Cast
34,Nicoletta Bianca,,Italian Mother,Supporting Cast
35,Victor Leto,,Flower Stall Vendor,Supporting Cast
36,Vincent B. Gorce,,Italian Bell Father,Supporting Cast
37,Gabriella Petkova,,Italian Bell Girl,Supporting Cast
38,Oriana Iacono,,Italian Bell Mother,Supporting Cast
39,Pearl Alice Grantham,,Ancient Atlantean Woman,Supporting Cast
40,Noa Tsuchiya,,Ancient Atlantean Child,Supporting Cast
41,Alice Lanesbury,,Arthur’s Teacher,Supporting Cast
42,Nicolas Bosc,,Atlantean Soldier #1,Supporting Cast
43,Joshua Levinson,,Atlantean Soldier #2,Supporting Cast
0,James Wan,,Director,Production and Technical Credits
1,Peter Safran,,Producer,Production and Technical Credits
2,Rob Cowan,,Producer,Production and Technical Credits
