,0,1,2,type
0,Ryan Reynolds,,Wade Wilson / Deadpool,Lead Ensemble Members
1,Josh Brolin,,Nathan Summers/Cable,Lead Ensemble Members
2,Morena Baccarin,,Vanessa,Lead Ensemble Members
3,T.J. Miller,,Weasel,Lead Ensemble Members
4,Leslie Uggams,,Blind Al,Lead Ensemble Members
5,Brianna Hildebrand,,Negasonic Teenage Warhead,Lead Ensemble Members
6,Stefan Kapicic,,Colossus,Lead Ensemble Members
7,Zazie Beetz,,Neena Thurman/Domino,Lead Ensemble Members
8,Karan Soni,,Dopinder,Lead Ensemble Members
0,Julian Dennison,,Russell/Firefist,Supporting Cast
1,Eddie Marsan,,Headmaster,Supporting Cast
2,Shioli Kutsuna,,Yukio,Supporting Cast
3,Jack Kesy,,Black Tom Cassidy,Supporting Cast
4,Terry Crews,,Bedlam,Supporting Cast
5,Rob Delaney,,Peter,Supporting Cast
6,Lewis Tan,,Shatterstar,Supporting Cast
7,Bill Skarsgård,,Zeitgeist,Supporting Cast
0,Brad Pitt,,Telford Porter/Vanisher,Cameos
1,James McAvoy,,Charles Xavier/Professor X,Cameos
2,Evan Peters,,Peter Maximoff/Quicksilver,Cameos
3,Tye Sheridan,,Scott Summers/Cyclops,Cameos
4,Nicholas Hoult,,Hank McCoy/Beast,Cameos
5,Alan Tudyk,,Redneck,Cameos
6,Rhett Reese,,News Helicopter Pilot,Cameos
7,Paul Wernick,,News Helicopter Pilot,Cameos
0,Hugh Jackman,,James Howlett/Logan/Wolverine,
0,David Leitch,,Director,Production and Technical Credits
1,Simon Kinberg,,Producer,Production and Technical Credits
2,Lauren Shuler Donner,,Producer,Production and Technical Credits
3,Ryan Reynolds,,Producer,Production and Technical Credits
4,Rhett Reese,,Screenwriter,Production and Technical Credits
5,Paul Wernick,,Screenwriter,Production and Technical Credits
6,Rhett Reese,,Executive Producer,Production and Technical Credits
7,Paul Wernick,,Executive Producer,Production and Technical Credits
8,Jonathan Sela,,Director of Photography,Production and Technical Credits
9,Dan Glass,,Visual Effects Supervisor,Production and Technical Credits
10,David Scheunemann,,Production Designer,Production and Technical Credits
11,Kurt and Bart,,Costume Designer,Production and Technical Credits
12,Craig Alpert,,Editor,Production and Technical Credits
13,Elisabet Ronalds,,Editor,Production and Technical Credits
14,Dirk Westervelt,,Editor,Production and Technical Credits
15,Tyler Bates,,Music By,Production and Technical Credits
16,Rob Liefeld,,Story By,Production and Technical Credits
17,Fabian Nicieza,,Story By,Production and Technical Credits
18,Paul Barry,,First Assistant Director,Production and Technical Credits
19,Mark Noda,,Sound Mixer,Production and Technical Credits
