,0,1,2,type
0,Benedict Cumberbatch,,Grinch,Leading Cast
0,Cameron Seely,,Cindy-Lou Who,Supporting Cast
1,Rashida Jones,,Donna Who,Supporting Cast
2,Tristan O’Hare,,Groopert,Supporting Cast
3,Kenan Thompson,,Mr. Bricklebaum,Supporting Cast
4,Sam Lavagnino,,Ozzy,Supporting Cast
5,Ramone Hamilton,,Axl,Supporting Cast
6,Angela Lansbury,,Mayor McGerkle,Supporting Cast
7,Michael Beattie,,Store Clerk,Supporting Cast
8,Lori Alan,,Additional Voice,Supporting Cast
9,Carter Hastings,,Additional Voice,Supporting Cast
10,Carlos Alazraqui,,Additional Voice,Supporting Cast
11,John Kassir,,Additional Voice,Supporting Cast
12,Doug Burch,,Additional Voice,Supporting Cast
13,Evan Kishiyama,,Additional Voice,Supporting Cast
14,Catherine Cavadini,,Additional Voice,Supporting Cast
15,Danny Mann,,Additional Voice,Supporting Cast
16,Tucker Chandler,,Additional Voice,Supporting Cast
17,Jeremy Maxwell,,Additional Voice,Supporting Cast
18,Townsend Coleman,,Additional Voice,Supporting Cast
19,Scott Mosier,,Additional Voice,Supporting Cast
20,Meilee Condron,,Additional Voice,Supporting Cast
21,Laraine Newman,,Additional Voice,Supporting Cast
22,Abby Craden,,Additional Voice,Supporting Cast
23,Dashiell Priestley,,Additional Voice,Supporting Cast
24,Brian T. Delaney,,Additional Voice,Supporting Cast
25,Alex Puccinelli,,Additional Voice,Supporting Cast
26,John DeMita,,Additional Voice,Supporting Cast
27,Emma Elizabeth Shannon,,Additional Voice,Supporting Cast
28,Bill Farmer,,Additional Voice,Supporting Cast
29,Joel Swetow,,Additional Voice,Supporting Cast
30,Aaron Fors,,Additional Voice,Supporting Cast
31,Mindy Sterling,,Additional Voice,Supporting Cast
32,Willow Geer,,Additional Voice,Supporting Cast
33,Tara Strong,,Additional Voice,Supporting Cast
34,Jess Harnell,,Additional Voice,Supporting Cast
35,Regina Taufen,,Additional Voice,Supporting Cast
36,Barbara Harris,,Additional Voice,Supporting Cast
37,Jim Ward,,Additional Voice,Supporting Cast
0,Pharrell Williams,,Narrator,Narrator(s)
0,Scott Mosier,,Director,Production and Technical Credits
1,Yarrow Cheney,,Director,Production and Technical Credits
2,Michael LeSieur,,Screenwriter,Production and Technical Credits
3,Tommy Swerdlow,,Screenwriter,Production and Technical Credits
4,Dr Seuss,,Story based on the Book “How the Grinch Stole Christmas by”,Production and Technical Credits
5,Christopher Meledandri,,Producer,Production and Technical Credits
6,Janet Healy,,Producer,Production and Technical Credits
7,Chris Renaud,,Executive Producer,Production and Technical Credits
8,Latifa Ouaou,,Executive Producer,Production and Technical Credits
9,Audrey Geisel,,Executive Producer,Production and Technical Credits
10,Chris Cartagena,,Editor,Production and Technical Credits
11,Danny Elfman,,Music By,Production and Technical Credits
12,Colin Stimpson,,Art Director,Production and Technical Credits
13,Yarrow Cheney,,Character Designer,Production and Technical Credits
14,Eric Guillon,,Character Designer,Production and Technical Credits
15,Colin Stimpson,,Character Designer,Production and Technical Credits
16,Robert Taylor,,Associate Producer,Production and Technical Credits
17,Delphine Le Roch,,Production Supervisor,Production and Technical Credits
18,Pierre Leduc,,Animation Director,Production and Technical Credits
19,Christophe Delisle,,Animation Director,Production and Technical Credits
20,Jonathan Del Val,,Animation Director,Production and Technical Credits
21,Hichem Arfaoui,,Supervising Animator,Production and Technical Credits
22,Pierre Avon,,Supervising Animator,Production and Technical Credits
23,Brecht Debaene,,Supervising Animator,Production and Technical Credits
24,Pierre-Francois Duhamel,,Supervising Animator,Production and Technical Credits
25,Aymeric Palermo,,Supervising Animator,Production and Technical Credits
26,Ludovic Savonniere,,Supervising Animator,Production and Technical Credits
27,Emmanuel Vergne,,Supervising Animator,Production and Technical Credits
28,Jean-Philippe Martins,,Technical Animation Supervisor,Production and Technical Credits
29,Mark O'Hare,,Head of Story,Production and Technical Credits
30,Etienne Pecheux,,Supervising Technical Director,Production and Technical Credits
31,Jeannine Berger,,Post-Production Supervisor,Production and Technical Credits
32,Ken Schretzmann,,Editor,Production and Technical Credits
33,John Carnochan,,Editor,Production and Technical Credits
34,Kelly Lake,,Script Supervisor,Production and Technical Credits
35,Frédéric Simonot,,Production Manager,Production and Technical Credits
36,Nicolas Stretta,,Associate Editor,Production and Technical Credits
37,Gilad Carmel,,Associate Editor,Production and Technical Credits
38,Fanny Bensussan,,First Assistant Editor,Production and Technical Credits
39,James D. Kirkpatrick,,First Assistant Editor,Production and Technical Credits
40,Nicole Bou-Samra,,First Assistant Editor,Production and Technical Credits
41,Paul Neal,,First Assistant Editor,Production and Technical Credits
42,Joseph Butler,,First Assistant Editor,Production and Technical Credits
43,Noelleen Westcombe,,First Assistant Editor,Production and Technical Credits
44,Guy Bar’ely,,Story Artist,Production and Technical Credits
45,Habib Louati,,Story Artist,Production and Technical Credits
46,Jed Diffenderfer,,Story Artist,Production and Technical Credits
47,Christophe Lourdelet,,Story Artist,Production and Technical Credits
48,Miguel Jiron,,Story Artist,Production and Technical Credits
49,Chris Martin,,Story Artist,Production and Technical Credits
50,Mark Koetsier,,Story Artist,Production and Technical Credits
51,C. Raggio IV,,Story Artist,Production and Technical Credits
52,Loic Rastout,,Set Designer,Production and Technical Credits
53,Vincent Massy De La Chesneraye,,Set Designer,Production and Technical Credits
54,Anael Bouin,,Set Designer,Production and Technical Credits
55,Brett Nystul,,Set Designer,Production and Technical Credits
56,Matthieu Gosselin,,Set Designer,Production and Technical Credits
57,Edwin Rhemrev,,Set Designer,Production and Technical Credits
