,0,1,2,type
0,Paul Rudd,,Scott Lang/Ant-Man,Lead Ensemble Members
1,Evangeline Lilly,,Hope van Dyne/The Wasp,Lead Ensemble Members
2,Michael Peña,,Luis,Lead Ensemble Members
3,Walton Goggins,,Sonny Burch,Lead Ensemble Members
4,Hannah John-Kamen,,Ava Starr/Ghost,Lead Ensemble Members
5,Michelle Pfeiffer,,Janet van Dyne,Lead Ensemble Members
6,Laurence Fishburne,,Dr. Bill Foster/Goliath,Lead Ensemble Members
7,Michael Douglas,,Dr. Hank Pym,Lead Ensemble Members
0,Judy Greer,,Maggie Lang,Supporting Cast
1,Randall Park,,Jimmy woo,Supporting Cast
2,Bobby Cannavale,,Paxton,Supporting Cast
3,T.I. Tip Harris,,Dave,Supporting Cast
4,David Dastmalchian,,Kurt,Supporting Cast
5,Abby Ryder Fortson,,Cassie,Supporting Cast
6,Michael Cerveris,,Elihas Starr,Supporting Cast
0,Stan Lee,,Himself,Cameos
0,Peyton Reed,,Director,Production and Technical Credits
1,Chris McKenna,,Screenwriter,Production and Technical Credits
2,Erik Sommers,,Screenwriter,Production and Technical Credits
3,Andrew Barrer,,Screenwriter,Production and Technical Credits
4,Paul Rudd,,Screenwriter,Production and Technical Credits
5,Gabriel Ferrari,,Screenwriter,Production and Technical Credits
6,Stan Lee,,Based on “Ant-Man and The Wasp” by,Production and Technical Credits
7,Larry Lieber,,Based on “Ant-Man and The Wasp” by,Production and Technical Credits
8,Jack Kirby,,Based on “Ant-Man and The Wasp” by,Production and Technical Credits
9,Kevin Feige,,Producer,Production and Technical Credits
10,Victoria Alonso,,Executive Producer,Production and Technical Credits
11,Louis D’Esposito,,Executive Producer,Production and Technical Credits
12,Stan Lee,,Executive Producer,Production and Technical Credits
13,Charles Newirth,,Executive Producer,Production and Technical Credits
14,Dan Lebental,,Editor,Production and Technical Credits
15,Christophe Beck,,Composer,Production and Technical Credits
16,Dante Spinotti,,Cinematographer,Production and Technical Credits
17,Mitch Bell,,Co-Producer,Production and Technical Credits
18,Igor Meglic,,Second Unit Camera,Production and Technical Credits
19,Tom Johnson,,Re-recording Mixer,Production and Technical Credits
20,Juan Peralta,,Re-recording Mixer,Production and Technical Credits
21,Steve Orlando,,Sound Effects Editor,Production and Technical Credits
22,Lee Gilmore,,Sound Effects Editor,Production and Technical Credits
23,Andy Gill,,Second Unit Stunt Coordinator,Production and Technical Credits
24,Jacob Riehle,,Dialogue Editor,Production and Technical Credits
25,Steve Durkee,,Supervising Music Editor,Production and Technical Credits
26,Steve Durkee,,Score Supervisor,Production and Technical Credits
