,0,1,2,type
0,Rami Malek,,Freddie Mercury,Leading Cast
0,Ben Hardy,,Roger Taylor,Supporting Cast
1,Gwilym Lee,,Brian May,Supporting Cast
2,Joseph Mazzello,,John Deacon,Supporting Cast
3,Allen Leech,,Paul Prenter,Supporting Cast
4,Lucy Boynton,,Mary Austin,Supporting Cast
5,Aaron McCusker,,Jim Hutton,Supporting Cast
6,Aidan Gillen,,John Reid,Supporting Cast
7,Tom Hollander,,Jim Beach,Supporting Cast
8,Dermot Murphy,,Bob Geldof,Supporting Cast
9,Meneka Das,,Jer Bulsara,Supporting Cast
10,Ace Bhatti,,Bomi Bulsara,Supporting Cast
11,Dickie Beau,,Kenny Everett,Supporting Cast
12,Neil Fox-Roberts,,Mr. Austin,Supporting Cast
13,Philip Andrew,,Reinhold Mack,Supporting Cast
14,Matthew Houston,,"Larry Mullen, Jr.",Supporting Cast
15,Michelle Duncan,,Shelley Stern,Supporting Cast
0,Bryan Singer,,Director,Production and Technical Credits
1,Justin Haythe,,Screenwriter,Production and Technical Credits
2,Anthony McCarten,,Screenwriter,Production and Technical Credits
3,Anthony McCarten,,Story by,Production and Technical Credits
4,Peter Morgan,,Story by,Production and Technical Credits
5,Graham King,,Producer,Production and Technical Credits
6,Jim Beach,,Producer,Production and Technical Credits
7,Robert De Niro,,Producer,Production and Technical Credits
8,Brian May,,Producer,Production and Technical Credits
9,Roger Taylor,,Producer,Production and Technical Credits
10,Newton Thomas Sigel,,Director of Photography,Production and Technical Credits
11,Aaron Haye,,Production Designer,Production and Technical Credits
12,Julian Day,,Costume Designer,Production and Technical Credits
13,John Ottman,,Editor,Production and Technical Credits
14,John Ottman,,Composer,Production and Technical Credits
15,Jack Ravenscroft,,First Assistant Director,Production and Technical Credits
16,John Warhurst,,Sound Editor,Production and Technical Credits
17,Nina Hartstone,,Sound Editor,Production and Technical Credits
18,Paul Massey,,Sound Mixer,Production and Technical Credits
19,Tim Cavagin,,Sound Mixer,Production and Technical Credits
20,John Casali,,Sound Mixer,Production and Technical Credits
