,0,1,2,type
0,Bill Skarsgård,,Pennywise,Leading Cast
0,James McAvoy,,Bill Denbrough,Supporting Cast
1,Jessica Chastain,,Beverly Marsh,Supporting Cast
2,Bill Hader,,Richie Tozier,Supporting Cast
3,Isaiah Mustafa,,Mike Hanlon,Supporting Cast
4,Jay Ryan,,Ben Hanscom,Supporting Cast
5,James Ransone,,Eddie Kaspbrak,Supporting Cast
6,Andy Bean,,Stanley Uris,Supporting Cast
7,Jaeden Martell,,Young Bill Denbrough,Supporting Cast
8,Wyatt Oleff,,Young Stanley Uris,Supporting Cast
9,Jack Dylan Grazer,,Young Eddie Kaspbrak,Supporting Cast
10,Finn Wolfhard,,Young Richie Tozier,Supporting Cast
11,Sophia Lillis,,Young Beverly Marsh,Supporting Cast
12,Chosen Jacobs,,Young Mike Hanlon,Supporting Cast
13,Jeremy Ray Taylor,,Young Ben Hanscom,Supporting Cast
14,Teach Grant,,Young Henry Bowers,Supporting Cast
15,Nicholas Hamilton,,Young Henry Bowers,Supporting Cast
16,Javier Botet,,Hobo/The Witch,Supporting Cast
17,Xavier Dolan,,Adrian Mellon,Supporting Cast
18,Taylor Frey,,Don Hagarty,Supporting Cast
19,Molly Atkinson,,Myra/Sonia Kaspbrak,Supporting Cast
20,Joan Gregson,,Mrs. Kersh,Supporting Cast
21,Stephen Bogaert,,Alvin Marsh,Supporting Cast
22,Luke Roessler,,Dean,Supporting Cast
23,Peter Bogdanovich,,Peter—Director,Supporting Cast
24,Will Beinbrink,,Tom,Supporting Cast
25,Jess Weixler,,Audra Phillips,Supporting Cast
26,Martha Girvin,,Party,Supporting Cast
27,Ryan Kiera Armstrong,,Victoria Fuller,Supporting Cast
28,Jackson Robert Scott,,Dead Georgie,Supporting Cast
29,Jake Weary,,Webby,Supporting Cast
30,Katie Lunman,,Chris Unwin,Supporting Cast
31,Kelly Van Der Burg,,Victoria’s Mom,Supporting Cast
32,Jason Fuchs,,Richie’s Manager,Supporting Cast
33,Joe Bostick,,Mr. Keene,Supporting Cast
34,Megan Charpentier,,Young Gretta,Supporting Cast
35,Juno Rinaldi,,Gretta,Supporting Cast
36,Neil Crone,,Chief Borton,Supporting Cast
37,Ry Prior,,Connor,Supporting Cast
38,Owen Teague,,Dead Hockstetter,Supporting Cast
39,Jake Sim,,Belch Huggins,Supporting Cast
40,Logan Thompson,,Victor Criss,Supporting Cast
41,Connor Smith,,Carny,Supporting Cast
42,Amanda Zhou,,Waitress,Supporting Cast
43,Rob Ramsay,,Meaner Nurse,Supporting Cast
44,John Connon,,John Koontz (Juniper Hill Security),Supporting Cast
45,Doug MacLeod,,Head Honcho,Supporting Cast
46,Brandon Crane,,Big Guy,Supporting Cast
47,Erik Junnola,,Scuzzah,Supporting Cast
48,Josh Madryga,,Scuzzah,Supporting Cast
49,Peter George Commanda,,Shokopiwah Shaman,Supporting Cast
50,Kiley May,,Shokopiwah Woman,Supporting Cast
51,Lisa Cromarty,,Shokopiwah Woman,Supporting Cast
52,Kevin Allan Hess,,Shokopiwah Man,Supporting Cast
53,Stephen Hart,,Shokopiwah Man,Supporting Cast
54,Rocky L. Burnham Jr.,,Shokopiwah Man,Supporting Cast
55,Billy Merasty,,Shokopiwah Man,Supporting Cast
56,Sladen Peltier,,Shokopiwah Young Boy,Supporting Cast
57,Ari Cohen,,Stanley’s Dad,Supporting Cast
58,Alex Bird,,Theatre P.A.,Supporting Cast
59,Brody Bover,,Shouting Kid,Supporting Cast
60,Edie Inksetter,,Shouting Kid’s Mom,Supporting Cast
61,Martin Julien,,Janitor,Supporting Cast
62,Sonia Maria Chirila,,Fishtank Girl,Supporting Cast
63,Colin McLeod,,Bully,Supporting Cast
64,Declan Prior,,Bully,Supporting Cast
65,Marko Vujicic,,Bully,Supporting Cast
66,Eric Woolfe,,Nurse,Supporting Cast
67,Kate Corbett,,Dean’s Mom,Supporting Cast
68,Shawn Storer,,Dean’s Dad,Supporting Cast
69,Janet Porter,,Richie’s Mom,Supporting Cast
70,Scott Edgecombe,,Customer,Supporting Cast
71,Anthony Ulc,,The Butcher,Supporting Cast
72,J. Bogdan,,Swearing Patient,Supporting Cast
73,Louise Stratten,,Audra’s Assistant,Supporting Cast
74,Laura Thorne,,Production Assistant,Supporting Cast
75,Thomas Duhig,,Assistant Director,Supporting Cast
76,Carla Guerrier,,Police Officer,Supporting Cast
77,Liam MacDonald,,Dean’s Friend,Supporting Cast
78,Chris D’Silva,,Dean’s Friend,Supporting Cast
79,Tristan Levi Cox,,4-Year-Old Young Mike,Supporting Cast
80,Torian Matthew Cox,,4-Year-Old Young Mike,Supporting Cast
81,Lola Del Re Hudson,,Betty Ripsom’s Legs,Supporting Cast
82,Thiago Dos Santos,,Twitchy Man,Supporting Cast
0,Stephen King,,Shopkeeper,Cameos
0,Andy Muschietti,,Director,Production and Technical Credits
1,Barbara Muschietti,,Producer,Production and Technical Credits
2,Dan Lin,,Producer,Production and Technical Credits
3,Roy Lee,,Producer,Production and Technical Credits
4,Gary Dauberman,,Screenwriter,Production and Technical Credits
5,Stephen King,,Story Based on the Novel “It” by,Production and Technical Credits
6,Richard Brener,,Executive Producer,Production and Technical Credits
7,Dave Neustadter,,Executive Producer,Production and Technical Credits
8,Marty P. Ewing,,Executive Producer,Production and Technical Credits
9,Seth Grahame-Smith,,Executive Producer,Production and Technical Credits
10,David Katzenberg,,Executive Producer,Production and Technical Credits
11,Checco Varese,,Director of Photography,Production and Technical Credits
12,Jason Ballantine,,Editor,Production and Technical Credits
13,Rich Delia,,Casting Director,Production and Technical Credits
14,Benjamin Wallfisch,,Composer,Production and Technical Credits
15,Paul Denham Austerberry,,Production Designer,Production and Technical Credits
16,Nicholas Brooks,,Visual Effects Supervisor,Production and Technical Credits
17,Luis Sequeira,,Costume Designer,Production and Technical Credits
18,Anna Beben,,Unit Production Manager,Production and Technical Credits
19,Marty P. Ewing,,Unit Production Manager,Production and Technical Credits
20,Michael Lerman,,First Assistant Director,Production and Technical Credits
21,Penny Charter,,Second Assistant Director,Production and Technical Credits
22,Victoria Palmeri,,Co-Producer,Production and Technical Credits
23,Jason Fuchs,,Co-Producer,Production and Technical Credits
24,Nigel Churcher,,Art Director,Production and Technical Credits
25,Shane Vieau,,Set Decorator,Production and Technical Credits
26,Sylvain Arsenault,,Sound Mixer,Production and Technical Credits
27,Rob Beal,,Sound Mixer,Production and Technical Credits
28,Daryl Purdy,,Sound Mixer,Production and Technical Credits
29,Darin Read,,Associate Producer,Production and Technical Credits
30,Peter Elliott,,Additional Editor,Production and Technical Credits
31,Esther Sokolow,,First Assistant Editor,Production and Technical Credits
32,Brad Stencil,,Second Assistant Editor,Production and Technical Credits
33,Lise Richardson,,Music Editor,Production and Technical Credits
34,Michael Keller,,Re-recording Mixer,Production and Technical Credits
35,Tim LeBlanc,,Re-recording Mixer,Production and Technical Credits
36,Bill Dean,,Supervising Sound Editor,Production and Technical Credits
37,Nancy Nugent Title,,Supervising Sound Editor,Production and Technical Credits
38,Jessie Pariseau,,Sound Effects Editor,Production and Technical Credits
39,Ando Johnson,,Sound Effects Editor,Production and Technical Credits
40,Bruce Tanis,,Sound Effects Editor,Production and Technical Credits
41,Kris Fenske,,Sound Effects Editor,Production and Technical Credits
42,Erick Ocampo,,Sound Designer,Production and Technical Credits
43,Randy Torres,,Sound Designer,Production and Technical Credits
44,John C. Stuver,,Dialogue/ADR Editor,Production and Technical Credits
45,Randy Singer,,Foley Mixer,Production and Technical Credits
46,Randy Starr,,Visual Effects Producer,Production and Technical Credits
47,Jimmy Uddo*,,Visual Effects Producer,Production and Technical Credits
48,Randy Morgan,,Location Manager,Production and Technical Credits
49,Shane Scott,,Script Supervisor,Production and Technical Credits
50,Suzanne Aplin,,Costume Supervisor,Production and Technical Credits
51,Sarah Craig McEathron,,Make up,Production and Technical Credits
52,Alastair Muir,,Make up,Production and Technical Credits
53,Ryan Reed,,Hairstylist,Production and Technical Credits
54,Sondra Treilhard,,Hairstylist,Production and Technical Credits
55,Carol Hartwick,,Hairstylist,Production and Technical Credits
56,Warren Appleby,,Special Effects Coordinator,Production and Technical Credits
57,Aaron Dinsmore,,Special Effects,Production and Technical Credits
58,Kristy Hollidge,,Special Effects,Production and Technical Credits
59,Drew Longland,,Special Effects,Production and Technical Credits
60,Mike Murawsky,,Special Effects,Production and Technical Credits
61,Ted Ross,,Special Effects,Production and Technical Credits
62,Will Waring,,Second Unit Director,Production and Technical Credits
63,Jamie Jones,,Stunt Coordinator,Production and Technical Credits
