,0,1,2,type
0,Mark Hamill,,Luke Skywalker,Lead Ensemble Members
1,Adam Driver,,Kylo Ren,Lead Ensemble Members
2,Daisy Ridley,,Rey,Lead Ensemble Members
3,John Boyega,,Finn,Lead Ensemble Members
4,Oscar Isaac,,Poe Dameron,Lead Ensemble Members
5,Lupita Nyong'o,,Maz Kanata,Lead Ensemble Members
6,Keri Russell,,Zorii Bliss,Lead Ensemble Members
7,Joonas Suotamo,,Chewbacca,Lead Ensemble Members
8,Anthony Daniels,,C-3PO,Lead Ensemble Members
9,Jimmy Vee,,R2-D2,Lead Ensemble Members
0,Naomi Ackie,,Jannah,Supporting Cast
1,Domhnall Gleeson,,General Hux,Supporting Cast
2,Richard E. Grant,,Allegiant General Pryde,Supporting Cast
3,Kelly Marie Tran,,Rose Tico,Supporting Cast
4,Ian McDiarmid,,Palpatine/Darth Sidious,Supporting Cast
5,Billy Dee Williams,,Lando Calrissian,Supporting Cast
6,Billie Lourd,,Kaydel Ko Connix,Supporting Cast
7,Dominic Monaghan,,Beaumont Kin,Supporting Cast
8,Greg Grunberg,,Temmin “Snap” Wexley,Supporting Cast
9,Nick Kellington,,Klaud,Supporting Cast
10,Hayden Christensen,,Anakin Skywalker,Supporting Cast
11,Olivia D'Abo,,Luminara Unduli,Supporting Cast
12,Ashley Eckstein,,Ahsoka Tano,Supporting Cast
13,Jennifer Hale,,Aayla Secura,Supporting Cast
14,Samuel L. Jackson,,Mace Windu,Supporting Cast
15,Alec Guinness,,Obi-Wan Kenobi,Supporting Cast
16,Angelique Perrin,,Adi Gallia,Supporting Cast
17,Liam Neeson,,Qui-Gon Jinn,Supporting Cast
0,Andy Serkis,,Supreme Leader Snoke,Cameos
1,Jeff Garlin,,Himself,Cameos
2,Kevin Smith,,Himself,Cameos
3,James Earl Jones,,Darth Vader,Cameos
4,Ewan McGregor,,Obi-Wan Kenobi,Cameos
5,Frank Oz,,Yoda,Cameos
6,"Freddie Prinze, Jr.",,Kanan Jarrus,Cameos
7,Ed Sheeran,,Stormtrooper,Cameos
8,Dhani Harrison,,Stormtrooper,Cameos
9,Nigel Godrich,,Stormtrooper,Cameos
10,J.D. Dillard,,Stormtrooper,Cameos
11,David Hearn,,Stormtrooper,Cameos
0,Carrie Fisher,,Leia Organa,
0,J.J. Abrams,,Director,Production and Technical Credits
1,J.J. Abrams,,Screenwriter,Production and Technical Credits
2,Chris Terrio,,Screenwriter,Production and Technical Credits
3,J.J. Abrams,,Producer,Production and Technical Credits
4,Kathleen Kennedy,,Producer,Production and Technical Credits
5,Michelle Rejwan,,Producer,Production and Technical Credits
6,Callum Greene,,Executive Producer,Production and Technical Credits
7,Tommy Gormley,,Executive Producer,Production and Technical Credits
8,Jason McGatlin,,Executive Producer,Production and Technical Credits
9,Dan Mindel,,Director of Photography,Production and Technical Credits
10,Rick Carter,,Production Designer,Production and Technical Credits
11,Kevin Jenkins,,Production Designer,Production and Technical Credits
12,Maryann Brandon,,Editor,Production and Technical Credits
13,Stefan Grube,,Editor,Production and Technical Credits
14,Michael Kaplan,,Costume Designer,Production and Technical Credits
15,Neal Scanlan,,Special Creature Effects by,Production and Technical Credits
16,Roger Guyett,,Visual Effects Supervisor,Production and Technical Credits
17,John Williams,,Composer,Production and Technical Credits
18,Nina Gold,,Casting Director,Production and Technical Credits
19,April Webster,,Casting Director,Production and Technical Credits
20,Alyssa Weisberg,,Casting Director,Production and Technical Credits
21,Matthew Wood,,Supervising Sound Editor,Production and Technical Credits
22,Patrick Tubach,,Visual Effects Supervisor,Production and Technical Credits
23,Dominic Tuohy,,Visual Effects Supervisor,Production and Technical Credits
