,0,1,2,type
0,Brie Larson,,Carol Danvers/Vers/Captain Marvel,Lead Ensemble Members
1,Samuel L. Jackson,,Nick Fury,Lead Ensemble Members
2,Ben Mendelsohn,,Talos/Keller,Lead Ensemble Members
3,Djimon Hounsou,,Korath the Pursuer,Lead Ensemble Members
4,Lee Pace,,Ronan the Accuser,Lead Ensemble Members
5,Lashana Lynch,,Maria Rambeau,Lead Ensemble Members
6,Gemma Chan,,Minn-Erva,Lead Ensemble Members
7,Annette Bening,,Supreme Intelligence,Lead Ensemble Members
8,Clark Gregg,,Agent Phil Coulson,Lead Ensemble Members
0,Jude Law,,Yon-Rogg,Supporting Cast
1,Rune Temte,,Bron-Char,Supporting Cast
2,Algenis Pérez Soto,,Att-Lass,Supporting Cast
3,Chuku Modu,,Soh-Larr,Supporting Cast
4,Matthew Maher,,Norex,Supporting Cast
5,Akira Akbar,,Monica Rambeau (11 Years Old),Supporting Cast
6,Azari Akbar,,Monica Rambeau (5 Years Old),Supporting Cast
7,Kenneth Mitchell,,Joseph Danvers,Supporting Cast
8,Stephen A. Chang,,Cadet Officer,Supporting Cast
9,Pete Ploszek,,Bret Johnson,Supporting Cast
10,Mark Daugherty,,Skrull Main Tech,Supporting Cast
11,Vik Sahay,,Hero Torfan,Supporting Cast
12,Sharon Blynn,,Soren,Supporting Cast
13,Mckenna Grace,,Young Carol (13 Years Old),Supporting Cast
14,London Fuller,,Young Carol (6 Years Old),Supporting Cast
15,Colin Ford,,Steve Danvers,Supporting Cast
16,Marilyn Brett,,Older Lady on Train,Supporting Cast
17,Diana Toshiko,,Skrull Tech #1,Supporting Cast
18,Robert Kazinsky,,Biker (The Don),Supporting Cast
19,Emily Ozrey,,Surfer Girl Talos #1,Supporting Cast
20,Abigaille Ozrey,,Surfer Girl Talos #2,Supporting Cast
21,Gil De St. Jeor,,Teenager,Supporting Cast
22,Matthew Bellows,,Accuser #1,Supporting Cast
23,Richard Zeringue,,Tom the Neighbor,Supporting Cast
24,Barry Curtis,,Mall Security Guard,Supporting Cast
25,Nelson Franklin,,Medical Examiner,Supporting Cast
26,Patrick Brennan,,Bartender,Supporting Cast
27,Patrick Gallagher,,Security Chief,Supporting Cast
28,Duane Henry,,Talos-Kree Soldier,Supporting Cast
29,Ana Ayora,,Agent Whitcher,Supporting Cast
30,Stanley Wong,,SHIELD Tech,Supporting Cast
31,Auden L. Ophuls,,Talos’ Daughter,Supporting Cast
32,Harriet L. Ophuls,,Talos’ Daughter,Supporting Cast
33,Matthew Kimmel,,Spider,Supporting Cast
34,Stephen Del Bagno,,Cajun,Supporting Cast
35,Lyonetta Flowers,,Monica’s Grandmother,Supporting Cast
36,Rufus Flowers,,Monica’s Grandfather,Supporting Cast
0,Stan Lee,,Himself,Cameos
0,Anna Boden,,Director,Production and Technical Credits
1,Ryan Fleck,,Director,Production and Technical Credits
2,Anna Boden,,Screenwriter,Production and Technical Credits
3,Ryan Fleck,,Screenwriter,Production and Technical Credits
4,Geneva Robertson-Dworet*,,Screenwriter,Production and Technical Credits
5,Jac Schaeffer,,Screenwriter,Production and Technical Credits
6,Nicole Perlman,,Story by,Production and Technical Credits
7,Meg LeFauve,,Story by,Production and Technical Credits
8,Anna Boden,,Story by,Production and Technical Credits
9,Ryan Fleck,,Story by,Production and Technical Credits
10,Geneva Robertson-Dworet*,,Story by,Production and Technical Credits
11,Kevin Feige,,Producer,Production and Technical Credits
12,Louis D’Esposito,,Executive Producer,Production and Technical Credits
13,Victoria Alonso,,Executive Producer,Production and Technical Credits
14,Jonathan Schwartz,,Executive Producer,Production and Technical Credits
15,Patricia Whitcher,,Executive Producer,Production and Technical Credits
16,Stan Lee,,Executive Producer,Production and Technical Credits
17,David J. Grant,,Co-Producer,Production and Technical Credits
18,Lars P. Winther,,Co-Producer,Production and Technical Credits
19,Ben Davis,,Director of Photography,Production and Technical Credits
20,Andy Nicholson,,Production Designer,Production and Technical Credits
21,Elliot Graham,,Editor,Production and Technical Credits
22,Debbie Berman,,Editor,Production and Technical Credits
23,Sanja Hays,,Costume Designer,Production and Technical Credits
24,Christopher Townsend,,Visual Effects Supervisor,Production and Technical Credits
25,Pinar Toprak,,Composer,Production and Technical Credits
26,Dave Jordan,,Music Supervisor,Production and Technical Credits
27,Sarah Halley Finn,,Casting Director,Production and Technical Credits
28,Igor Meglic,,Second Unit Director of Photography,Production and Technical Credits
29,Jeff Habberstad,,Second Unit Director,Production and Technical Credits
30,Susan McNamara,,Unit Production Manager,Production and Technical Credits
31,Lars P. Winther,,First Assistant Director,Production and Technical Credits
32,Katy Galow,,Second Assistant Director,Production and Technical Credits
33,Gwendolyn Yates Whittle,,Supervising Sound Editor,Production and Technical Credits
34,Christopher Boyes,,Supervising Sound Editor,Production and Technical Credits
35,Christopher Boyes,,Supervising Sound Designer,Production and Technical Credits
36,Christopher Boyes,,Re-recording Mixer,Production and Technical Credits
37,Lora Hirschberg,,Re-recording Mixer,Production and Technical Credits
38,Bonnie Wild,,Re-recording Mixer,Production and Technical Credits
39,Jim Churchman,,Stunt Coordinator,Production and Technical Credits
40,Andrew Max Cahn,,Supervising Art Director,Production and Technical Credits
41,Lauri Gaffin,,Set Decorator,Production and Technical Credits
42,Kasra Farahani,,Art Director,Production and Technical Credits
43,Lauren Polizzi,,Art Director,Production and Technical Credits
44,Jason T. Clark,,Art Director,Production and Technical Credits
45,Jordan Ferrer,,Art Director,Production and Technical Credits
46,Ernie Avila,,Set Designer,Production and Technical Credits
47,Timothy Croshaw,,Set Designer,Production and Technical Credits
48,Kevin Cross,,Set Designer,Production and Technical Credits
49,Scott Herbertson,,Set Designer,Production and Technical Credits
50,Richard Mays,,Set Designer,Production and Technical Credits
51,Tammy Lee,,Set Designer,Production and Technical Credits
52,David Moreau,,Set Designer,Production and Technical Credits
53,Julien Pougnier,,Set Designer,Production and Technical Credits
54,Shamim Seifzadeh,,Set Designer,Production and Technical Credits
55,Mike Stassi,,Set Designer,Production and Technical Credits
56,Jennifer Bergman,,Post-Production Supervisor,Production and Technical Credits
57,Kim Boritz-Brehm*,,First Assistant Editor,Production and Technical Credits
58,Jessica Baclesse,,First Assistant Editor,Production and Technical Credits
59,Steve Durkee,,Supervising Music Editor,Production and Technical Credits
60,Steve Durkee,,Score Supervisor,Production and Technical Credits
61,Joseph Bonn,,Music Editor,Production and Technical Credits
62,Tom Kramer,,Music Editor,Production and Technical Credits
63,Amanda Goodpaster,,Music Editor,Production and Technical Credits
64,Don J. Hug,,Production Supervisor,Production and Technical Credits
65,Kerry Lyn McKissick,,Script Supervisor,Production and Technical Credits
66,Pud Cusack,,Sound Mixer,Production and Technical Credits
67,Ilt Jones,,Supervising Location Manager,Production and Technical Credits
68,Linda Matthews,,Costume Supervisor,Production and Technical Credits
69,Camille Friend,,Hairstylist,Production and Technical Credits
70,Heba Thorisdottir,,Make up,Production and Technical Credits
71,Jason B. Stamey,,Casting Associate,Production and Technical Credits
72,Molly Doyle,,Casting Assistant,Production and Technical Credits
