,0,1,2,type
0,Tom Holland,,Peter Parker/Spider-Man,Leading Cast
1,Samuel L. Jackson,,Nick Fury,Leading Cast
2,Zendaya,,Michelle “MJ” Jones,Leading Cast
3,Jake Gyllenhaal,,Quentin Beck/Mysterio,Leading Cast
0,Cobie Smulders,,Maria Hill,Supporting Cast
1,Jon Favreau,,Harold “Happy” Hogan,Supporting Cast
2,Marisa Tomei,,May Parker,Supporting Cast
3,J.B. Smoove,,Mr. Dell,Supporting Cast
4,Jacob Batalon,,Ned Leeds,Supporting Cast
5,Martin Starr,,Mr. Harrington,Supporting Cast
6,Tony Revolori,,Flash Thompson,Supporting Cast
7,Angourie Rice,,Betty Brant,Supporting Cast
8,Remy Hii,,Brad Davis,Supporting Cast
9,Numan Acar,,Dimitri,Supporting Cast
10,Zach Barack,,Zach,Supporting Cast
11,Zoha Rahman,,Zoha,Supporting Cast
12,Yasmin Mwanza,,Yasmin,Supporting Cast
13,Joshua Sinclair Evans,,Josh,Supporting Cast
14,Tyler Luke Cunningham,,Tyler,Supporting Cast
15,Sebastian Viveros,,Sebastian,Supporting Cast
16,Toni Garrn,,The Seamstress,Supporting Cast
17,Peter Billingsley,,William Ginter Riva,Supporting Cast
18,Clare Dunne,,Victoria,Supporting Cast
19,Nicholas Gleaves,,Guterman,Supporting Cast
20,Claire Rushbrook,,Janice,Supporting Cast
21,J.K. Simmons,,J. Jonah Jameson,Supporting Cast
22,Dawn Michelle King,,E.D.I.T.H.,Supporting Cast
23,Jeroen Van Koningsbrugge,,Dutch Soccer Hooligan,Supporting Cast
24,Michael de Roos,,Dutch Soccer Hooligan,Supporting Cast
25,Jan-Paul Buijs,,Dutch Soccer Hooligan,Supporting Cast
26,Sergio Pieratini,,Venetian Glassblower,Supporting Cast
27,Anjana Vasan,,Queens Reporter,Supporting Cast
28,Brian Law,,Queens Reporter,Supporting Cast
29,Evelyn Mok,,Queens Reporter,Supporting Cast
30,Tatiana Lunardon,,Italian TV Newsreader,Supporting Cast
31,Giada Benedetti,,Italian Customs Officer,Supporting Cast
32,Lukas Bech,,Helpful Dutch Man,Supporting Cast
33,Alessandro Giuggioli,,Italian Street Vendor,Supporting Cast
34,Petr Opava,,Opera Singer,Supporting Cast
35,Giuseppe Andriolo,,Caricaturist,Supporting Cast
0,Pat Kiernan,,Himself,Cameos
0,Jon Watts,,Director,Production and Technical Credits
1,Chris McKenna,,Screenwriter,Production and Technical Credits
2,Erik Sommers,,Screenwriter,Production and Technical Credits
3,Stan Lee,,Story based on the MARVEL Comic book by,Production and Technical Credits
4,Steve Ditko,,Story based on the MARVEL Comic book by,Production and Technical Credits
5,Kevin Feige,,Producer,Production and Technical Credits
6,Amy Pascal,,Producer,Production and Technical Credits
7,Louis D’Esposito,,Executive Producer,Production and Technical Credits
8,Victoria Alonso,,Executive Producer,Production and Technical Credits
9,Thomas M. Hammel,,Executive Producer,Production and Technical Credits
10,Eric Hauserman Carroll,,Executive Producer,Production and Technical Credits
11,Rachel O’Connor,,Executive Producer,Production and Technical Credits
12,Stan Lee,,Executive Producer,Production and Technical Credits
13,Avi Arad,,Executive Producer,Production and Technical Credits
14,Matt Tolmach,,Executive Producer,Production and Technical Credits
15,Matthew J. Lloyd,,Director of Photography,Production and Technical Credits
16,Claude Pare,,Production Designer,Production and Technical Credits
17,Dan Lebental,,Editor,Production and Technical Credits
18,Leigh Folsom-Boyd,,Editor,Production and Technical Credits
19,Michael Giacchino,,Composer,Production and Technical Credits
20,Sarah Halley Finn,,Casting Director,Production and Technical Credits
21,Dave Jordan,,Music Supervisor,Production and Technical Credits
22,Janek Sirrs,,Visual Effects Supervisor,Production and Technical Credits
23,Cyndi Ochs,,Visual Effects Producer,Production and Technical Credits
24,Anna B. Sheppard,,Costume Designer,Production and Technical Credits
25,Steve Durkee,,Music Editor,Production and Technical Credits
26,George Cottle,,Second Unit Director,Production and Technical Credits
27,George Cottle,,Stunt Coordinator,Production and Technical Credits
28,Elena Zokas,,Unit Production Manager,Production and Technical Credits
29,Thomas M. Hammel,,Unit Production Manager,Production and Technical Credits
30,Josh Robertson,,First Assistant Director,Production and Technical Credits
31,Douglas Plasse,,First Assistant Director,Production and Technical Credits
32,Tom Brewster,,Second Assistant Director,Production and Technical Credits
33,Chris Buongiorno,,Associate Producer,Production and Technical Credits
34,Jennifer Teves,,Production Supervisor,Production and Technical Credits
35,Polly Hope,,Production Supervisor,Production and Technical Credits
36,Grant Armstrong,,Supervising Art Director,Production and Technical Credits
37,Joanne Ridler,,Art Director,Production and Technical Credits
38,Joe Howard,,Art Director,Production and Technical Credits
39,James Lewis,,Art Director,Production and Technical Credits
40,Gary Jopling,,Art Director,Production and Technical Credits
41,Nigel Evans,,Art Director,Production and Technical Credits
42,Tina Jones,,Set Decorator,Production and Technical Credits
43,Jo Beckett,,Script Supervisor,Production and Technical Credits
44,Danielle Daly,,Post-Production Supervisor,Production and Technical Credits
45,Dawn Michelle King,,First Assistant Editor,Production and Technical Credits
46,Craig Smith,,First Assistant Editor,Production and Technical Credits
47,Laurence Johnson,,First Assistant Editor,Production and Technical Credits
48,Kevin O'Connell,,Re-recording Mixer,Production and Technical Credits
49,Tony Lamberti,,Re-recording Mixer,Production and Technical Credits
50,Steven Ticknor,,Supervising Sound Editor,Production and Technical Credits
51,Tony Lamberti,,Supervising Sound Editor,Production and Technical Credits
52,Steven Ticknor,,Sound Designer,Production and Technical Credits
53,Tony Lamberti,,Sound Designer,Production and Technical Credits
54,Daryl Bristow,,Costume Supervisor,Production and Technical Credits
55,Graham Churchyard,,Costume Supervisor,Production and Technical Credits
56,Peter Swords King,,Make up,Production and Technical Credits
57,Paula Price,,Hairstylist,Production and Technical Credits
58,Andy Williams,,Special Effects Supervisor,Production and Technical Credits
59,David Pinnington,,Supervising Location Manager,Production and Technical Credits
60,Lee Robertson,,Location Manager,Production and Technical Credits
61,Richard Hill,,Location Manager,Production and Technical Credits
62,Andrew Ryland,,Location Manager,Production and Technical Credits
63,Jojo Warne,,Location Manager,Production and Technical Credits
64,David Seaton,,Location Manager,Production and Technical Credits
65,Eleri Coulten,,Location Manager,Production and Technical Credits
66,Matt Clarke,,Location Manager,Production and Technical Credits
67,Andy Sisul,,Sound Designer,Production and Technical Credits
68,Chris Diebold,,Sound Designer,Production and Technical Credits
69,Ken McGill,,Sound Effects Editor,Production and Technical Credits
70,Karen Triest,,Sound Effects Editor,Production and Technical Credits
71,Dan Kenyon,,Sound Effects Editor,Production and Technical Credits
72,Casey Genton,,Sound Effects Editor,Production and Technical Credits
73,Vanessa Lapato,,Supervising ADR and Dialogue Editor,Production and Technical Credits
74,James Morioka,,Dialogue Editor,Production and Technical Credits
75,Sang Kim,,Dialogue Editor,Production and Technical Credits
76,Martin Jacob Lopez,,Foley Editor,Production and Technical Credits
77,Kyle Rochlin,,Foley Mixer,Production and Technical Credits
78,Steve Durkee,,Score Supervisor,Production and Technical Credits
79,Stephen M. Davis,,Music Editor,Production and Technical Credits
80,Tanya Noel Hill,,Music Editor,Production and Technical Credits
81,Anele Onyekwere,,Music Editor,Production and Technical Credits
82,Peter Cobbin,,Score Recordist,Production and Technical Credits
83,Kirsty Whalley,,Score Recordist,Production and Technical Credits
84,Kirsty Whalley,,Score Mixer,Production and Technical Credits
85,Peter Cobbin,,Score Mixer,Production and Technical Credits
