,0,1,2,type
0,Dwayne Johnson,,Bravestone,Lead Ensemble Members
1,Karen Gillan,,Ruby,Lead Ensemble Members
2,Jack Black,,Oberon,Lead Ensemble Members
3,Kevin Hart,,Mouse,Lead Ensemble Members
4,Nick Jonas,,Seaplane,Lead Ensemble Members
5,Awkwafina,,Ming,Lead Ensemble Members
0,Alex Wolff,,Spencer,Supporting Cast
1,Morgan Turner,,Martha,Supporting Cast
2,Madison Iseman,,Bethany,Supporting Cast
3,Ser'Darius Blain,,Fridge,Supporting Cast
4,Danny DeVito,,Eddie,Supporting Cast
5,Danny Glover,,Milo,Supporting Cast
6,Rhys Darby,,Nigel,Supporting Cast
7,Colin Hanks,,Alex,Supporting Cast
8,Rory McCann,,Jurgen the Brutal,Supporting Cast
9,Marin Hinkle,,Janice,Supporting Cast
10,Vince Pisani,,Pharmacy Manager,Supporting Cast
11,Dorothy Steel,,Village Elder,Supporting Cast
12,Jennifer Patino,,Bravestone’s Mother,Supporting Cast
13,Madison Johnson,,Little Bethany Vreeke,Supporting Cast
14,Dania Ramirez,,Lady in Red,Supporting Cast
15,Derek Russo,,Key Master,Supporting Cast
16,Vanessa Cater,,Red Headed Marauder,Supporting Cast
17,Nick Gomez,,Oasis Drunk,Supporting Cast
18,Massimiliano Furlan*,,Switchblade,Supporting Cast
19,Javier Villamil,,Switchblade’s Sidekick,Supporting Cast
20,Anthony Neves,,Jurgen’s Patrolman,Supporting Cast
21,Morgan Brown,,Fortress Guard,Supporting Cast
22,Deobia Oparei,,Elevator Guard,Supporting Cast
23,Leslie Simms,,Cake Lady,Supporting Cast
24,John Ross Bowie,,Cavendish,Supporting Cast
25,Lucy DeVito,,Maiden,Supporting Cast
26,Bebe Neuwirth,,Nora,Supporting Cast
27,Lamorne Morris,,Heather Repair Man,Supporting Cast
0,Jake Kasdan,,Director,Production and Technical Credits
1,Scott Rosenberg,,Screenwriter,Production and Technical Credits
2,Jeff Pinkner,,Screenwriter,Production and Technical Credits
3,Jake Kasdan,,Screenwriter,Production and Technical Credits
4,Chris Van Allsburg,,Story Based on the Book ‘Jumanji’ by,Production and Technical Credits
5,Matt Tolmach,,Producer,Production and Technical Credits
6,Dwayne Johnson,,Producer,Production and Technical Credits
7,Dany Garcia,,Producer,Production and Technical Credits
8,Hiram Garcia,,Producer,Production and Technical Credits
9,Jake Kasdan,,Producer,Production and Technical Credits
10,David Householter,,Executive Producer,Production and Technical Credits
11,Melvin Mar,,Executive Producer,Production and Technical Credits
12,Scott Rosenberg,,Executive Producer,Production and Technical Credits
13,Jeff Pinkner,,Executive Producer,Production and Technical Credits
14,William Teitler,,Executive Producer,Production and Technical Credits
15,Ted Field,,Executive Producer,Production and Technical Credits
16,Mike Weber,,Executive Producer,Production and Technical Credits
17,Gyula Pados,,Director of Photography,Production and Technical Credits
18,Bill Brzeski,,Production Designer,Production and Technical Credits
19,Steve Edwards,,Editor,Production and Technical Credits
20,Tara Timpone,,Editor,Production and Technical Credits
21,Mark Helfrich,,Editor,Production and Technical Credits
22,Jeanne McCarthy,,Casting Director,Production and Technical Credits
23,Nicole Abellera Hallman*,,Casting Director,Production and Technical Credits
24,Louise Mingenbach,,Costume Designer,Production and Technical Credits
25,Henry Jackman,,Composer,Production and Technical Credits
26,Manish Raval,,Music Supervisor,Production and Technical Credits
27,Tom Wolfe,,Music Supervisor,Production and Technical Credits
28,Mark Breakspear,,Visual Effects Supervisor,Production and Technical Credits
29,Wade Eastwood,,Second Unit Director,Production and Technical Credits
30,Mika Saito,,Unit Production Manager,Production and Technical Credits
31,David Householter,,Unit Production Manager,Production and Technical Credits
32,Matt Rebenkoff,,First Assistant Director,Production and Technical Credits
33,Joann Connolly,,Second Assistant Director,Production and Technical Credits
34,Thomas Elder Groebe,,Visual Effects Producer,Production and Technical Credits
35,David Manpearl,,Co-Producer,Production and Technical Credits
36,Sky Salem Robinson,,Associate Producer,Production and Technical Credits
37,Andrew Max Cahn,,Art Director,Production and Technical Credits
38,Drew Monahan,,Art Director,Production and Technical Credits
39,Brian Stultz,,Art Director,Production and Technical Credits
40,Danielle Berman,,Set Decorator,Production and Technical Credits
41,Anna Rane,,Script Supervisor,Production and Technical Credits
42,Kevin O'Connell,,Re-recording Mixer,Production and Technical Credits
43,Julian Slater,,Re-recording Mixer,Production and Technical Credits
44,Joel Shryack,,Supervising Sound Editor,Production and Technical Credits
45,Julian Slater,,Supervising Sound Editor,Production and Technical Credits
46,Chris Jackson,,First Assistant Editor,Production and Technical Credits
47,Carolyn Calvert,,First Assistant Editor,Production and Technical Credits
48,Bethany Orlemann,,Assistant Editor,Production and Technical Credits
49,Sam Sher,,Assistant Editor,Production and Technical Credits
50,Michael Goldberg,,Assistant Editor,Production and Technical Credits
51,Mark A. Peterson,,Costume Supervisor,Production and Technical Credits
52,Robin Fredriksz,,Make up,Production and Technical Credits
53,Tricia Sawyer,,Make up,Production and Technical Credits
54,Yolanda Toussieng,,Hairstylist,Production and Technical Credits
55,Karen Bartek,,Hairstylist,Production and Technical Credits
56,J.D. Schwalm,,Special Effects Supervisor,Production and Technical Credits
57,Eric Cook,,Special Effects Coordinator,Production and Technical Credits
58,Maida Morgan,,Location Manager,Production and Technical Credits
59,Ken Lavet,,Location Manager,Production and Technical Credits
60,Tom Carson,,Production Supervisor,Production and Technical Credits
61,Vincent Bates,,Set Designer,Production and Technical Credits
62,Sarah Forrest,,Set Designer,Production and Technical Credits
63,George Lee McDonnell,,Set Designer,Production and Technical Credits
64,Justin Trudeau,,Set Designer,Production and Technical Credits
65,Julie Vash,,Set Designer,Production and Technical Credits
66,Chuck Michael,,Sound Designer,Production and Technical Credits
67,Ken McGill,,Sound Designer,Production and Technical Credits
68,Greg Brown,,Dialogue Editor,Production and Technical Credits
69,Brad Sokol,,Dialogue Editor,Production and Technical Credits
70,Kyle Rochlin,,Foley Mixer,Production and Technical Credits
71,Daniel Pinder,,Music Editor,Production and Technical Credits
72,David Metzner,,Music Editor,Production and Technical Credits
73,Charles Martin Inouye,,Music Editor,Production and Technical Credits
74,Alan Meyerson,,Score Mixer,Production and Technical Credits
75,Chris Fogel,,Score Recordist,Production and Technical Credits
76,Alan Meyerson,,Score Recordist,Production and Technical Credits
77,Michael Gowen,,Art Director,Production and Technical Credits
