,0,1,2,type
0,Will Smith,,Detective Mike Lowrey,Leading Cast
1,Martin Lawrence,,Detective Marcus Burnett,Leading Cast
0,Vanessa Hudgens,,Maya Dunsmore,Supporting Cast
1,Alexander Ludwig,,Dorn,Supporting Cast
2,Charles Melton,,Rafe,Supporting Cast
3,Paola Nuñez,,Rita,Supporting Cast
4,Kate del Castillo,,Isabel Aretas,Supporting Cast
5,Nicky Jam,,Zway-Lo,Supporting Cast
6,Joe Pantoliano,,Captain Howard,Supporting Cast
7,Jacob Scipio,,Armando Aretas,Supporting Cast
8,Theresa Randle,,Theresa,Supporting Cast
9,D.J. Khaled,,Manny,Supporting Cast
10,Happy Anderson,,Jenkins,Supporting Cast
11,Bianca Bethune,,Megan,Supporting Cast
12,Dennis McDonald,,Reggie,Supporting Cast
13,Michael Bay,,Wedding MC,Supporting Cast
14,Gissette E. Valentin,,Mexican Female Prison Guard,Supporting Cast
15,Rose Bianco,,Abuela,Supporting Cast
16,Edelia Merida,,Abuela,Supporting Cast
17,Jasmin Lawrence,,Gorgeous Door Women,Supporting Cast
18,Shacai O’Neal,,Gorgeous Door Woman,Supporting Cast
19,"Carlos Guerrero, Jr.",,Javier,Supporting Cast
20,Massi Furlan,,Terry Taglin,Supporting Cast
21,Chick Bernhard,,Judge Sorenson,Supporting Cast
22,Jennifer Badger,,Julie Weber,Supporting Cast
23,Jeff Authors,,Felix the Forensics Guy,Supporting Cast
24,Keith Wheeler,,Pastor at Wedding,Supporting Cast
25,Brandi Cohen,,Receptionist,Supporting Cast
26,Jay Amor,,Rodrigo Vargas,Supporting Cast
27,Yessenia Hernandez,,Pool Party Waitress,Supporting Cast
28,Anthony Molinari,,Salesman,Supporting Cast
29,Ivo Nandi,,Carver Remy,Supporting Cast
30,David Shae,,Disturbed Airline Passenger,Supporting Cast
31,Eduardo Rosario,,The Butcher,Supporting Cast
32,Rory Markham,,Booker Grassie,Supporting Cast
33,Brad Sanders,,Police Chaplin,Supporting Cast
34,Damien Butler,,Lt. Butler,Supporting Cast
35,Bilall Fallah,,Fael,Supporting Cast
36,Norma Alvarez,,Javier’s Wife,Supporting Cast
37,Adil El Arbi,,Rideshare Driver,Supporting Cast
38,Christina Christensen,,Female Basketball Referee,Supporting Cast
39,Nahima Bicelis,,Female Cop on Radio,Supporting Cast
40,Erroll Castrillo,,Police Boat Cop on Radio,Supporting Cast
41,Kial Butler,,Skipping Stunt Cop on Radio,Supporting Cast
42,Sharon Pfeiffer,,Tour Bus Guide,Supporting Cast
43,Porshia C. Joseph,,Wedding Singer,Supporting Cast
44,Ellison Kendrick,,Wedding Singer,Supporting Cast
0,Adil El Arbi,,Director,Production and Technical Credits
1,Bilall Fallah,,Director,Production and Technical Credits
2,Joe Carnahan,,Screenwriter,Production and Technical Credits
3,Chris Bremmer,,Screenwriter,Production and Technical Credits
4,Peter Craig,,Screenwriter,Production and Technical Credits
5,Peter Craig,,Story by,Production and Technical Credits
6,Joe Carnahan,,Story by,Production and Technical Credits
7,Jerry Bruckheimer,,Producer,Production and Technical Credits
8,Doug Belgrad,,Producer,Production and Technical Credits
9,Will Smith,,Producer,Production and Technical Credits
10,Barry Waldman,,Executive Producer,Production and Technical Credits
11,Mike Stenson,,Executive Producer,Production and Technical Credits
12,Chad Oman,,Executive Producer,Production and Technical Credits
13,James Lassiter,,Executive Producer,Production and Technical Credits
14,Robrecht Heyvaert,,Director of Photography,Production and Technical Credits
15,Jon Billington,,Production Designer,Production and Technical Credits
16,Peter McNulty,,Editor,Production and Technical Credits
17,Dan Lebental,,Editor,Production and Technical Credits
18,Lorne Balfe,,Composer,Production and Technical Credits
19,Allan Magled,,Visual Effects Supervisor,Production and Technical Credits
20,Dayna Pink,,Costume Designer,Production and Technical Credits
21,Mary Vernieu,,Casting Director,Production and Technical Credits
22,Lindsay Graham Ahanonu*,,Casting Director,Production and Technical Credits
23,Mike Gunther,,Stunt Coordinator,Production and Technical Credits
24,D.J. Khaled,,Executive Music Producer,Production and Technical Credits
25,Spiro Razatos,,Second Unit Director,Production and Technical Credits
26,Mike Gunther,,Second Unit Director,Production and Technical Credits
27,Henrik Hansen,,Second Unit Director,Production and Technical Credits
28,Kendrick Wallace,,Visual Effects Producer,Production and Technical Credits
29,Melissa Reid,,Associate Producer,Production and Technical Credits
30,Susan Ehrhart,,Production Supervisor,Production and Technical Credits
31,Alan Hook,,Art Director,Production and Technical Credits
32,Julian Ashby,,Art Director,Production and Technical Credits
33,Alex McCarroll,,Art Director,Production and Technical Credits
34,Jordan Crockett,,Art Director,Production and Technical Credits
35,Lori Mazuer,,Set Decorator,Production and Technical Credits
36,Dug Rotstein,,Script Supervisor,Production and Technical Credits
37,Kevin O'Connell,,Re-recording Mixer,Production and Technical Credits
38,Tony Lamberti,,Re-recording Mixer,Production and Technical Credits
39,Steven Ticknor,,Re-recording Mixer,Production and Technical Credits
40,Steven Ticknor,,Supervising Sound Editor,Production and Technical Credits
41,Andrew DeCristofaro,,Supervising Sound Editor,Production and Technical Credits
42,Steven Ticknor,,Sound Designer,Production and Technical Credits
43,Kimberly Jones,,Make up,Production and Technical Credits
44,Erica Kyker,,Make up,Production and Technical Credits
45,Shunika Terry,,Hairstylist,Production and Technical Credits
46,Tracey Moss,,Hairstylist,Production and Technical Credits
47,Whit Norris,,Sound Mixer,Production and Technical Credits
48,John Frazier,,Special Effects Supervisor,Production and Technical Credits
49,Eric Frazier,,Special Effects Coordinator,Production and Technical Credits
50,Kyle Hinshaw,,Location Manager,Production and Technical Credits
51,Fredi Buch,,Set Designer,Production and Technical Credits
52,Nick Cross,,Set Designer,Production and Technical Credits
53,Kristen Hunsicker,,Set Designer,Production and Technical Credits
54,Marco Rubeo,,Set Designer,Production and Technical Credits
55,Mayumi Konishi-Valentine,,Set Designer,Production and Technical Credits
56,Kevin Vickery,,Set Designer,Production and Technical Credits
57,Federico D’Alessandro,,Story Artist,Production and Technical Credits
58,Robert Consing,,Story Artist,Production and Technical Credits
59,Doug Lefler,,Story Artist,Production and Technical Credits
60,Blair Miller,,Additional Editor,Production and Technical Credits
61,Dawn Michelle King,,First Assistant Editor,Production and Technical Credits
62,Peter Pav,,First Assistant Editor,Production and Technical Credits
63,Andy Jurgen,,First Assistant Editor,Production and Technical Credits
64,Christopher Rucinski,,Assistant Editor,Production and Technical Credits
65,Joe Binford Jr,,Assistant Editor,Production and Technical Credits
66,Adam Kimmerlin,,Assistant Editor,Production and Technical Credits
67,Tony Lamberti,,Sound Designer,Production and Technical Credits
68,Laurent Kossayan,,Sound Designer,Production and Technical Credits
69,David Werntz,,Sound Effects Editor,Production and Technical Credits
70,Casey Genton,,Sound Effects Editor,Production and Technical Credits
71,R.J. Kizer,,Dialogue Editor,Production and Technical Credits
72,Curt Schulkey,,Dialogue Editor,Production and Technical Credits
73,John C. Stuver,,Dialogue Editor,Production and Technical Credits
74,Teri E. Dorman,,Dialogue Editor,Production and Technical Credits
75,Jussi Tegelman,,Foley Editor,Production and Technical Credits
76,Shawn Kennelly,,Foley Mixer,Production and Technical Credits
77,Nicholas Fitzgerald,,Music Editor,Production and Technical Credits
78,Steffen Thum,,Additional Music,Production and Technical Credits
79,Max Arui,,Additional Music,Production and Technical Credits
80,Steven Davis,,Additional Music,Production and Technical Credits
81,Sven Faulconer,,Additional Music,Production and Technical Credits
82,Jason LaRocca,,Score Mixer,Production and Technical Credits
83,Scott Michael Smith,,Score Recordist,Production and Technical Credits
84,Christopher T. Sadler,,Second Assistant Director,Production and Technical Credits
85,Andy Gill,,Stunt Coordinator Second Unit,Production and Technical Credits
