,0,1,2,type
0,Ben Schwartz,,Sonic the Hedgehog,Leading Cast
1,Jim Carrey,,Dr. Ivo Robotnik,Leading Cast
0,James Marsden,,Tom Wachowski,Supporting Cast
1,Tika Sumpter,,Dr. Annie Wachowski,Supporting Cast
2,Lee Majdoub,,Agent Stone,Supporting Cast
3,Adam Pally,,Billy Robb,Supporting Cast
4,Neal McDonough,,Major Bennington,Supporting Cast
5,Natasha Rothwell,,Rachel,Supporting Cast
6,Frank C. Turner,,Crazy Carl,Supporting Cast
7,Garry Chalk,,U.S. Military Officer,Supporting Cast
8,Melody Niemann,,JoJo Wachowski,Supporting Cast
9,Eleanor Whibley,,Mrs. Porter,Supporting Cast
10,Jeanie Cloutier,,Business Woman,Supporting Cast
11,Bailey Skodje,,Minivan Kid,Supporting Cast
12,Donna Jay Fulks,,Longclaw,Supporting Cast
0,Jeff Fowler,,Director,Production and Technical Credits
1,Patrick Casey,,Screenwriter,Production and Technical Credits
2,Josh Miller,,Screenwriter,Production and Technical Credits
3,Oren Uziel,,Screenwriter,Production and Technical Credits
4,Evan Susser,,Story by,Production and Technical Credits
5,Van Robichaux,,Story by,Production and Technical Credits
6,Neal H. Moritz,,Producer,Production and Technical Credits
7,Takeshi Ito,,Producer,Production and Technical Credits
8,Mie Onishi,,Producer,Production and Technical Credits
9,Toru Nakahara,,Producer,Production and Technical Credits
10,Tim Miller,,Executive Producer,Production and Technical Credits
11,Toby Ascher,,Executive Producer,Production and Technical Credits
12,Nan Morales,,Executive Producer,Production and Technical Credits
13,Masanao Maeda,,Executive Producer,Production and Technical Credits
14,Haruki Satomi,,Executive Producer,Production and Technical Credits
15,Hajime Satomi,,Executive Producer,Production and Technical Credits
16,Stacey Schroeder,,Editor,Production and Technical Credits
17,Junkie XL,,Composer,Production and Technical Credits
18,Stephen F. Windon,,Director of Photography,Production and Technical Credits
19,Dan Jevons,,Co-Producer,Production and Technical Credits
20,Dmitri Johnson,,Co-Producer,Production and Technical Credits
