,0,1,2,type
0,Margot Robbie,,Harley Quinn,Lead Ensemble Members
1,Mary Elizabeth Winstead,,Helena Bertinelli/Huntress,Lead Ensemble Members
2,Jurnee Smollett,,Dinah Lance/Black Canary,Lead Ensemble Members
3,Rosie Perez,,Renee Montoya,Lead Ensemble Members
4,Chris Messina,,Victor Zsasz,Lead Ensemble Members
5,Ella Jay Basco,,Cassandra Cain,Lead Ensemble Members
6,Ali Wong,,Ellen Yee,Lead Ensemble Members
7,Ewan McGregor,,Roman Sionis,Lead Ensemble Members
0,David Ury,,Sleazy Breeder,Supporting Cast
1,Sara Montez,,Shallow Friend #1/Kathrine,Supporting Cast
2,Isabel Pakzad,,Shallow Friend #2,Supporting Cast
3,Daniel Bernhardt,,Sionis’ Chauffeur,Supporting Cast
4,KC Strubbe,,Naive Teammate,Supporting Cast
5,Jacky Shu,,Skeptical Teammate,Supporting Cast
6,Paloma Rabinov,,Bitchy Teammate,Supporting Cast
7,Derek Wilson,,Detective Tim Munroe,Supporting Cast
8,Guiseppe Bucaro,,Carlo Rossi,Supporting Cast
9,James Henry Williams Jr,,Ace Chemical Police Officer,Supporting Cast
10,Francois Chau,,Mr. Keo,Supporting Cast
11,Miyuki Matsunaga,,Mrs. Keo,Supporting Cast
12,Anna Mikami,,Miss Keo (16 yrs),Supporting Cast
13,Bruno Oliver,,Bodega Cook (Sal),Supporting Cast
14,Keisha Tucker,,Roller Derby Girl,Supporting Cast
15,Matthew Willig,,Happy,Supporting Cast
16,Jeremy Denzlinger,,Desk Sergeant,Supporting Cast
17,Michael Masini,,Officer Drago,Supporting Cast
18,Charles Carpenter,,Processing Officer,Supporting Cast
19,Daniel Cole,,Patrol Cop,Supporting Cast
20,Jesse Bush,,Patrol Cop,Supporting Cast
21,Steven Williams,,Captain Patrick Erickson,Supporting Cast
22,Charlene Amoia,,Maria Bertinelli,Supporting Cast
23,Paul Lasa,,Helena’s Father,Supporting Cast
24,Ella Mika,,Young Helena,Supporting Cast
25,Robert Catrini,,Stefano Galante,Supporting Cast
26,Eddie Alfano,,Helena’s Bodyguard,Supporting Cast
27,Chris Carnel,,Desk Sergeant,Supporting Cast
28,Buddy Sosthand,,Coffee Cup Cop,Supporting Cast
29,Tim Sitarz,,Donut Cop,Supporting Cast
30,Shawn Balentine,,Key Card Cop,Supporting Cast
31,Shahaub Roudbari,,Smarmy Guy,Supporting Cast
32,Pramod Kumar,,Irate Shopkeeper,Supporting Cast
33,Christine Engh,,Elderly Woman,Supporting Cast
34,K.K. Barrett,,Dr. Aguilar,Supporting Cast
35,David Bianchi,,Sionis Henchman #1,Supporting Cast
36,Simon Rhee,,Cell Guard,Supporting Cast
37,Terrence Julien,,Cell Guard,Supporting Cast
38,George Crayton,,Prisoner,Supporting Cast
39,Caleb Spillyards,,Prisoner,Supporting Cast
40,Li Qiang,,Prisoner,Supporting Cast
41,Anthony Nanakornpanom,,Prisoner,Supporting Cast
42,Sala Baker,,Prisoner,Supporting Cast
43,Christian Womack,,Prisoner,Supporting Cast
44,Bryan Sloyer,,Prisoner,Supporting Cast
45,Kofi Yiadom,,Mercenary,Supporting Cast
46,Efka Kvaraciejus,,Mercenary,Supporting Cast
47,Sam Hargrave,,Mercenary,Supporting Cast
48,Dennis Kieffer,,Mercenary,Supporting Cast
49,Dana Lee,,Doc,Supporting Cast
50,Bojana Novakovic,,Erika,Supporting Cast
51,Andy Hoff,,Erika’s Date,Supporting Cast
52,Eric Michael Cole,,Disgruntled Man,Supporting Cast
53,Oakley Lehman,,Mercedes Gang Member,Supporting Cast
54,Richard King,,Mercedes Gang Member,Supporting Cast
55,Tim Rigby,,RR Passenger,Supporting Cast
0,Cathy Yan,,Director,Production and Technical Credits
1,Sue Kroll,,Producer,Production and Technical Credits
2,Bryan Unkeless,,Producer,Production and Technical Credits
3,Margot Robbie,,Producer,Production and Technical Credits
4,Christina Hodson,,Screenwriter,Production and Technical Credits
5,Walter Hamada,,Executive Producer,Production and Technical Credits
6,Galen Vaisman,,Executive Producer,Production and Technical Credits
7,Geoff Johns,,Executive Producer,Production and Technical Credits
8,Hans Ritter,,Executive Producer,Production and Technical Credits
9,David Ayer,,Executive Producer,Production and Technical Credits
10,Matthew Libatique,,Director of Photography,Production and Technical Credits
11,K.K. Barrett,,Production Designer,Production and Technical Credits
12,Jay Cassidy,,Editor,Production and Technical Credits
13,Evan Schiff,,Editor,Production and Technical Credits
14,Season Kent,,Music Supervisor,Production and Technical Credits
15,Gabe Hilfer,,Music Supervisor,Production and Technical Credits
16,Daniel Pemberton,,Composer,Production and Technical Credits
17,Christina Hodson,,Co-Producer,Production and Technical Credits
18,Donald L. Sparks,,Co-Producer,Production and Technical Credits
19,Greg Steele,,Visual Effects Supervisor,Production and Technical Credits
20,Erin Benach,,Costume Designer,Production and Technical Credits
21,Rich Delia,,Casting Director,Production and Technical Credits
22,Susan McNamara,,Unit Production Manager,Production and Technical Credits
23,Donald L. Sparks,,First Assistant Director,Production and Technical Credits
24,Christina Fong,,Second Assistant Director,Production and Technical Credits
25,Jonathan Eusebio,,Second Unit Director,Production and Technical Credits
26,Annemarie Griggs,,Visual Effects Producer,Production and Technical Credits
27,Matt Evans,,Additional Editor,Production and Technical Credits
28,Steven A. Morrow,,Sound Mixer,Production and Technical Credits
29,Joshua Levinson,,Post-Production Supervisor,Production and Technical Credits
30,Mike Azevedo,,First Assistant Editor,Production and Technical Credits
31,Brit Delillo,,First Assistant Editor,Production and Technical Credits
32,Katy Wood,,Supervising Sound Editor,Production and Technical Credits
33,Alan Robert Murray,,Supervising Sound Editor,Production and Technical Credits
34,Stephanie Brown,,Dialogue Editor,Production and Technical Credits
35,Cameron Steenhagen,,Dialogue Editor,Production and Technical Credits
36,Phil Barrie,,Sound Effects Editor,Production and Technical Credits
37,Luke Gibleon,,Sound Effects Editor,Production and Technical Credits
38,Michael W. Mitchell,,Sound Effects Editor,Production and Technical Credits
39,Adam Kopald,,Sound Effects Editor,Production and Technical Credits
40,Paula Fairfield,,Sound Effects Editor,Production and Technical Credits
41,Clayton Weber,,Supervising Foley Editor,Production and Technical Credits
42,Willard Overstreet,,Foley Editor,Production and Technical Credits
43,Onnalee Blank,,Re-recording Mixer,Production and Technical Credits
44,Brandon Proctor,,Re-recording Mixer,Production and Technical Credits
45,Richard Duarte,,Foley Mixer,Production and Technical Credits
46,Jack Cucci,,Foley Mixer,Production and Technical Credits
47,Tavish Grade,,Foley Mixer,Production and Technical Credits
48,Sara Bartkiewicz,,Production Supervisor,Production and Technical Credits
49,Ilt Jones,,Location Manager,Production and Technical Credits
50,Jody Blose,,Script Supervisor,Production and Technical Credits
51,Robert Q. Mathews,,Costume Supervisor,Production and Technical Credits
52,Deborah Lamia Denaver,,Make up,Production and Technical Credits
53,Miho Suzuki,,Make up,Production and Technical Credits
54,Adruitha Lee,,Hairstylist,Production and Technical Credits
55,Cassie Russek,,Hairstylist,Production and Technical Credits
56,Florencia Martin,,Set Decorator,Production and Technical Credits
57,Kasra Farahani,,Supervising Art Director,Production and Technical Credits
58,Julien Pougnier,,Art Director,Production and Technical Credits
59,Gustaf Aspegren,,Art Director,Production and Technical Credits
60,Luis G. Hoyos,,Set Designer,Production and Technical Credits
61,Rich Romig,,Set Designer,Production and Technical Credits
62,Mark Hawker,,Special Effects Supervisor,Production and Technical Credits
63,Andrew Weder,,Special Effects Coordinator,Production and Technical Credits
64,Thomas R. Homsher,,Special Effects Designer,Production and Technical Credits
65,Sam Okell,,Score Recordist,Production and Technical Credits
66,Sam Okell,,Score Mixer,Production and Technical Credits
67,Daniel Pemberton,,Score Producer,Production and Technical Credits
68,Katrina Schiller,,Supervising Music Editor,Production and Technical Credits
69,Stephen Perone,,Music Editor,Production and Technical Credits
70,Dan DiPrima,,Music Editor,Production and Technical Credits
