,0,1,2,type
0,"Robert Downey, Jr.",,Doctor John Dolittle,Lead Ensemble Members
1,Emma Thompson,,Polynesia,Lead Ensemble Members
2,Rami Malek,,Chee-Chee,Lead Ensemble Members
3,John Cena,,Yoshi,Lead Ensemble Members
4,Kumail Nanjiani,,Plimpton,Lead Ensemble Members
5,Octavia Spencer,,Dab-Dab,Lead Ensemble Members
6,Tom Holland,,Jip,Lead Ensemble Members
7,Craig Robinson,,Kevin,Lead Ensemble Members
8,Ralph Fiennes,,Barry,Lead Ensemble Members
9,Selena Gomez,,Betsy,Lead Ensemble Members
10,Marion Cotillard,,Tutu,Lead Ensemble Members
0,Antonio Banderas,,King Rassouli,Supporting Cast
1,Michael Sheen,,Dr. Blair Mudfly,Supporting Cast
2,Harry Collett,,Tommy Stubbins,Supporting Cast
3,Jim Broadbent,,Lord Thomas Badgley,Supporting Cast
4,Carmen Ejogo,,Regine,Supporting Cast
5,Frances de la Tour,,Ginko-Who-Soars,Supporting Cast
6,Jessie Buckley,,Queen Victoria,Supporting Cast
7,Ralph Ineson,,Arnall Stubbins,Supporting Cast
8,Kasia Smutniak,,Lily Dolittle,Supporting Cast
9,Carmel Laniado,,Lady Rose,Supporting Cast
10,Jason Mantzoukas,,James,Supporting Cast
11,Oliver Chris,,Sir Gareth,Supporting Cast
12,Clive Francis,,Archbishop,Supporting Cast
13,Paul Holowaty,,Navy Man,Supporting Cast
14,Elliot Barnes-Worrell,,Captain William Derrick,Supporting Cast
15,Mark Umbers,,Lieutenant,Supporting Cast
16,David Sheinkopf,,Don Carpenterino,Supporting Cast
17,Sid Sagar,,Jeff the Prisoner,Supporting Cast
18,Martin Pemberton,,Postman,Supporting Cast
19,Tim Treloar,,Humphrey the Whale,Supporting Cast
20,Nick A. Fisher,,Mini the Sugar Glider,Supporting Cast
21,Jim Carretta,,Beard Mouse and Leona,Supporting Cast
22,Matt King,,Clyde,Supporting Cast
23,Ranjani Brow,,Mouse,Supporting Cast
24,Kelly Stables,,Mouse,Supporting Cast
25,Scott Menville,,Mouse,Supporting Cast
26,Matthew Wolfe,,Army Ant,Supporting Cast
27,Gia Davis,,Baby Animal,Supporting Cast
28,Henry Holcomb,,Baby Animal,Supporting Cast
29,Kyrie McAlpin,,Baby Animal,Supporting Cast
30,Isley Zamora,,Baby Animal,Supporting Cast
31,Stewart Scudamore,,Pirate,Supporting Cast
32,Kayo Samson,,Pirate,Supporting Cast
33,John-Luke Roberts,,Pirate,Supporting Cast
34,Joseph Balderrama,,Prisoner,Supporting Cast
35,Daniel Hoffmann-Gill,,Prisoner,Supporting Cast
0,Stephen Gaghan,,Director,Production and Technical Credits
1,Stephen Gaghan,,Screenwriter,Production and Technical Credits
2,Tom Shepherd,,Screenwriter,Production and Technical Credits
3,Hugh Lofting,,Story by,Production and Technical Credits
4,Joe Roth,,Producer,Production and Technical Credits
5,Jeff Kirschenbaum,,Producer,Production and Technical Credits
6,Susan Downey,,Producer,Production and Technical Credits
7,"Robert Downey, Jr.",,Executive Producer,Production and Technical Credits
8,Sarah Bradshaw,,Executive Producer,Production and Technical Credits
9,Zachary Roth,,Executive Producer,Production and Technical Credits
10,Jonathan Liebesman,,Executive Producer,Production and Technical Credits
11,Guillermo Navarro,,Director of Photography,Production and Technical Credits
12,Dominic Watkins,,Production Designer,Production and Technical Credits
13,Chris Lebenzon,,Editor,Production and Technical Credits
14,Craig Alpert,,Editor,Production and Technical Credits
15,Jenny Beavan,,Costume Designer,Production and Technical Credits
16,Simon Crane,,Second Unit Director,Production and Technical Credits
17,Sarah Bradshaw,,Unit Production Manager,Production and Technical Credits
18,Simone Goodridge,,Unit Production Manager,Production and Technical Credits
19,William M. Connor,,First Assistant Director,Production and Technical Credits
20,Chris Castaldi,,First Assistant Director,Production and Technical Credits
21,Matthew Haggerty,,Second Assistant Director,Production and Technical Credits
22,Joey Coughlin,,Second Assistant Director,Production and Technical Credits
23,William M. Connor,,Co-Producer,Production and Technical Credits
24,John Dykstra,,Visual Effects Supervisor,Production and Technical Credits
25,Tim Keene,,Visual Effects Producer,Production and Technical Credits
26,Matt Gray,,Supervising Art Director,Production and Technical Credits
27,Gary Tomkins,,Senior Art Director,Production and Technical Credits
28,Paul Laugier,,Senior Art Director,Production and Technical Credits
29,Tom Whitehead,,Art Director,Production and Technical Credits
30,Tom Weaving,,Art Director,Production and Technical Credits
31,Will Coubrough,,Art Director,Production and Technical Credits
32,Peter Dorme,,Art Director,Production and Technical Credits
33,Alex Smith,,Art Director,Production and Technical Credits
34,Lee Sandales,,Set Decorator,Production and Technical Credits
35,Marco Scotti,,Costume Supervisor,Production and Technical Credits
36,Jo Beckett,,Script Supervisor,Production and Technical Credits
37,Dominic Tuohy,,Special Effects Supervisor,Production and Technical Credits
38,Rachel Korn,,Associate Producer,Production and Technical Credits
39,Mark Layton,,Production Supervisor,Production and Technical Credits
40,Bill Darby,,Location Manager,Production and Technical Credits
41,Tom Crooke,,Location Manager,Production and Technical Credits
42,Lisa Rodgers,,Post-Production Supervisor,Production and Technical Credits
43,Conrad Buff,,Editor,Production and Technical Credits
44,Nick Moore,,Editor,Production and Technical Credits
45,Billy Rich,,Editor,Production and Technical Credits
46,Jim Carretta,,Additional Editor,Production and Technical Credits
47,Jon Taylor,,Re-recording Mixer,Production and Technical Credits
48,Frank A. Montano,,Re-recording Mixer,Production and Technical Credits
49,Julian Andraus,,First Assistant Editor,Production and Technical Credits
50,Brandon Cano-Erecart,,Assistant Editor,Production and Technical Credits
51,Daniel Laurie,,Supervising Sound Editor,Production and Technical Credits
52,J.R. Grubbs,,Supervising Sound Editor,Production and Technical Credits
53,Al Nelson,,Supervising Sound Designer,Production and Technical Credits
54,Ben Burtt,,Sound Effects Editor,Production and Technical Credits
55,Qianbaihui Yang,,Sound Effects Editor,Production and Technical Credits
56,Jack Whittaker,,Sound Effects Editor,Production and Technical Credits
57,Jacob Riehle,,Dialogue Editor,Production and Technical Credits
58,Brad Semenoff,,Dialogue Editor,Production and Technical Credits
59,Andre Fenley,,Foley Editor,Production and Technical Credits
60,Simon Crane,,Stunt Coordinator,Production and Technical Credits
61,Glenn Foster,,Stunt Coordinator,Production and Technical Credits
62,Anita Burger,,Make-up and Hair Designer,Production and Technical Credits
