,0,1,2,type
0,Elisabeth Moss,,Cecilia Kass,Leading Cast
1,Oliver Jackson-Cohen,,Adrian Griffin,Leading Cast
0,Aldis Hodge,,James Lanier,Supporting Cast
1,Storm Reid,,Sydney,Supporting Cast
2,Harriet Dyer,,Emily Kass,Supporting Cast
3,Michael Dorman,,Tom Griffin,Supporting Cast
4,Benedict Hardie,,Marc (Architect),Supporting Cast
5,Renee Lim,,Doctor Lee,Supporting Cast
6,Brian Meegan,,Lyft Driver,Supporting Cast
7,Nick Kici,,Taylor (Waiter),Supporting Cast
8,Vivienne Greer,,Screaming Woman,Supporting Cast
9,Nicholas Hope,,Head Doctor,Supporting Cast
10,Cleave Williams,,Orderly,Supporting Cast
11,Cardwell Lynch,,Police Officer,Supporting Cast
12,Sam Smith,,Detective Reckley,Supporting Cast
13,Zara Michales,,Nurse,Supporting Cast
14,Serag Mohammed,,Strike-Stun Guard,Supporting Cast
15,Nash Edgerton,,Security Guard,Supporting Cast
16,Anthony Brandon Wong,,Accident Victim,Supporting Cast
17,Xavier Fernandez,,Detective,Supporting Cast
0,Leigh Whannell,,Director,Production and Technical Credits
1,Leigh Whannell,,Screenwriter,Production and Technical Credits
2,H.G. Wells,,Story Based on the Novel by,Production and Technical Credits
3,Jason Blum,,Producer,Production and Technical Credits
4,Kylie du Fresne,,Producer,Production and Technical Credits
5,Leigh Whannell,,Executive Producer,Production and Technical Credits
6,Couper Samuelson,,Executive Producer,Production and Technical Credits
7,Beatriz Sequeira,,Executive Producer,Production and Technical Credits
8,Jeanette Volturno-Brill,,Executive Producer,Production and Technical Credits
9,Rosemary Blight,,Executive Producer,Production and Technical Credits
10,Ben Grant,,Executive Producer,Production and Technical Credits
11,Alex Holmes,,Production Designer,Production and Technical Credits
12,Andy Canny,,Editor,Production and Technical Credits
13,Benjamin Wallfisch,,Composer,Production and Technical Credits
14,Stefan Duscio,,Director of Photography,Production and Technical Credits
15,Emily Seresin,,Costume Designer,Production and Technical Credits
16,Megan Wynn,,Line Producer,Production and Technical Credits
17,Jonathan Dearing,,Visual Effects Supervisor,Production and Technical Credits
18,Terri Taylor,,Casting Director,Production and Technical Credits
19,Sarah Domeier Lindo*,,Casting Director,Production and Technical Credits
20,Nikki Barrett,,Casting Director,Production and Technical Credits
21,Jennifer Scudder Trent,,Co-Producer,Production and Technical Credits
22,Deborah Antoniou,,First Assistant Director,Production and Technical Credits
23,Killian Maguire,,Second Assistant Director,Production and Technical Credits
24,Alice Lanagan,,Art Director,Production and Technical Credits
25,Katie Sharrock,,Set Decorator,Production and Technical Credits
26,Prue Parsons,,Set Designer,Production and Technical Credits
27,Matt Hatton,,Story Artist,Production and Technical Credits
28,Dan Oliver,,Special Effects Supervisor,Production and Technical Credits
29,Harry Dakanalis,,Stunt Coordinator,Production and Technical Credits
30,Elly Kamal,,Costume Supervisor,Production and Technical Credits
31,Aria Harrison,,Script Supervisor,Production and Technical Credits
32,Edward Donovan,,Location Manager,Production and Technical Credits
33,Brad Kennerley,,Location Manager,Production and Technical Credits
34,Jeremy Peek,,Location Manager,Production and Technical Credits
35,Samantha Keough,,Assistant Editor,Production and Technical Credits
36,Kali Kasashima,,Assistant Editor,Production and Technical Credits
37,Melissa Brockman,,Visual Effects Producer,Production and Technical Credits
38,Will Files,,Supervising Sound Editor,Production and Technical Credits
39,P.K. Hooker,,Supervising Sound Editor,Production and Technical Credits
40,P.K. Hooker,,Sound Designer,Production and Technical Credits
41,Ryan Cole,,Dialogue Editor,Production and Technical Credits
42,Chris Terhune,,Sound Designer,Production and Technical Credits
43,Christopher Bonis,,Sound Effects Editor,Production and Technical Credits
44,Matt Yocum,,Sound Effects Editor,Production and Technical Credits
45,Goeun Lee,,Sound Effects Editor,Production and Technical Credits
46,Andrew Twite,,Sound Effects Editor,Production and Technical Credits
47,Will Files,,Re-recording Mixer,Production and Technical Credits
48,Ryan Collison,,Foley Mixer,Production and Technical Credits
49,Connor Nagy,,Foley Mixer,Production and Technical Credits
50,Nick Seaman,,Foley Editor,Production and Technical Credits
51,Laura Heinzinger,,Foley Editor,Production and Technical Credits
52,Benjamin Wallfisch,,Music Producer,Production and Technical Credits
53,Brett Pierce,,Music Editor,Production and Technical Credits
