,0,1,2,type
0,Harrison Ford,,John Thornton,Leading Cast
0,Terry Notary,,Rail Worker,Supporting Cast
1,Dan Stevens,,Hal,Supporting Cast
2,Karen Gillan,,Mercedes,Supporting Cast
3,Omar Sy,,Perrault,Supporting Cast
4,Colin Woodell,,Charles,Supporting Cast
5,Bradley Whitford,,Judge Miller,Supporting Cast
6,Akpe Gift,,John Thornton Jr,Supporting Cast
7,Cara Gee,,Françoise,Supporting Cast
8,Jean Louisa Kelly,,Katie Miller,Supporting Cast
9,Michael Horse,,Edenshaw,Supporting Cast
10,Micah Fitzgerald,,Red Sweater,Supporting Cast
11,Heather McPhaul,,Head Cook,Supporting Cast
12,Adam Fergus,,James,Supporting Cast
13,Stephanie Czajkowski,,Postmaster,Supporting Cast
14,Abraham Benrubi,,Skookum Bench King,Supporting Cast
15,Thomas Adoue Polk,,Assistant Postmaster,Supporting Cast
16,Raven Scott,,Pastry Chef,Supporting Cast
17,Brad Greenquist,,Skagway Dog Seller,Supporting Cast
18,Benjamin Hoffman,,Deckhand,Supporting Cast
19,Alexander Schoenauer,,Miner,Supporting Cast
20,Aria Lyric Leabu,,Alice Miller,Supporting Cast
21,Salem Meade,,Molly Millwe,Supporting Cast
22,Greg Tarzan Davis,,Orchard Worker,Supporting Cast
23,Jamie Bock,,Abigail,Supporting Cast
24,Karl Makinen,,Proprietor,Supporting Cast
25,Adam William Zastrow,,Greasy Man,Supporting Cast
26,Bryan Scott Johnson,,Prospector,Supporting Cast
27,Kirk Geiger,,Weary Climber,Supporting Cast
28,Paul Mabon,,Second Rail Worker,Supporting Cast
29,Scott MacDonald,,Dawson Dog Seller,Supporting Cast
30,Tim deZarn,,Hermit Fisherman,Supporting Cast
31,P.J. King,,Chief Deckhand,Supporting Cast
32,Michael Lanahan,,Attorney,Supporting Cast
33,Joshua Nazaroff,,Gambling Orchard Worker,Supporting Cast
34,Alex Solowitz,,Miner #1,Supporting Cast
35,Martin J. Riddell,,Miner #2,Supporting Cast
36,Wes Brown,,Mountie,Supporting Cast
37,Ellen Buckley,,Preacher Lady,Supporting Cast
38,Dillon Daniel,,Buffalo Soldier,Supporting Cast
39,Alexander Lewis,,Dry Goods Shopkeeper,Supporting Cast
40,Michael Froton,,Man Selling Used Equipment,Supporting Cast
41,Anthony Fox,,Man Selling New Equipment,Supporting Cast
42,Patty Ann Nix,,Stew Vendor,Supporting Cast
43,Craig Reed,,Stew Seller,Supporting Cast
