,0,1,2,type
0,Chris Pratt,,Barley Lightfoot,Lead Ensemble Members
1,Tom Holland,,Ian Lightfoot,Lead Ensemble Members
2,Julia Louis-Dreyfus,,Laurel Lightfoot,Lead Ensemble Members
3,Octavia Spencer,,Corey,Lead Ensemble Members
4,Lena Waithe,,Specter,Lead Ensemble Members
5,Ali Wong,,Gore,Lead Ensemble Members
6,Mel Rodriguez,,Colt Bronco,Lead Ensemble Members
0,John Ratzenberger,,Construction Worker,Supporting Cast
1,Kyle Bornheimer,,Wilden Lightfoot,Supporting Cast
2,Grey Griffin,,Dewdrop,Supporting Cast
3,Tracey Ullman,,Grecklin,Supporting Cast
4,Wilmer Valderrama,,Gaxton,Supporting Cast
0,Dan Scanlan,,Director,Production and Technical Credits
1,Dan Scanlon,,Screenwriter,Production and Technical Credits
2,C.S. Anderson,,Screenwriter,Production and Technical Credits
3,Jason Headley,,Screenwriter,Production and Technical Credits
4,Keith Bunin,,Screenwriter,Production and Technical Credits
5,Kori Rae,,Producer,Production and Technical Credits
6,Pete Docter,,Executive Producer,Production and Technical Credits
7,Sharon Calahan,,Director of Photography,Production and Technical Credits
8,Noah Klocek,,Production Designer,Production and Technical Credits
9,Catherine Apple,,Editor,Production and Technical Credits
10,Michael Stocker,,Animation Supervisor,Production and Technical Credits
11,Rob Duquette Thompson,,Animation Supervisor,Production and Technical Credits
12,Mychael Danna,,Composer,Production and Technical Credits
13,Jeff Danna,,Composer,Production and Technical Credits
14,Adam Habib,,Director of Photography,Production and Technical Credits
15,Steve Orlando,,Foley Editor,Production and Technical Credits
16,Nia Hansen,,Sound Designer,Production and Technical Credits
17,Samson Neslund,,Sound Effects Editor,Production and Technical Credits
