,0,1,2,type
0,Nicolas Cage,,Grug,Lead Ensemble Members
1,Emma Stone,,Eep,Lead Ensemble Members
2,Ryan Reynolds,,Guy,Lead Ensemble Members
3,Catherine Keener,,Ugga,Lead Ensemble Members
4,Cloris Leachman,,Gran,Lead Ensemble Members
5,Clark Duke,,Thunk,Lead Ensemble Members
6,Leslie Mann,,Hope Betterman,Lead Ensemble Members
7,Peter Dinklage,,Phil Betterman,Lead Ensemble Members
8,Kelly Marie Tran,,Dawn Betterman,Lead Ensemble Members
0,Kailey Crawford,,Sandy,Supporting Cast
1,Chris Sanders,,Belt,Supporting Cast
2,James Ryan,,Sash,Supporting Cast
3,Gabriel Jack,,Young Guy,Supporting Cast
4,Melissa Disney,,Guy’s Mother,Supporting Cast
5,Joel Crawford,,Guy’s Father,Supporting Cast
6,Januel Mercado,,Shaman Monkey,Supporting Cast
7,Ryan Naylor,,Creepo Monkey,Supporting Cast
8,Artemis Pebdani,,Additional Voices,Supporting Cast
0,Joel Crawford,,Director,Production and Technical Credits
1,Mark Swift,,Producer,Production and Technical Credits
2,Kirk DeMicco,,Story by,Production and Technical Credits
3,Chris Sanders,,Story by,Production and Technical Credits
4,Kevin Hageman,,Screenwriter,Production and Technical Credits
5,Dan Hageman,,Screenwriter,Production and Technical Credits
6,Mark Mothersbaugh,,Composer,Production and Technical Credits
7,James Ryan,,Editor,Production and Technical Credits
8,Nate Wragg,,Production Designer,Production and Technical Credits
9,Jakob Hjort Jensen,,Head of Animation,Production and Technical Credits
10,Jon Gutman,,Head of Layout,Production and Technical Credits
11,Rachel Zusser,,Associate Producer,Production and Technical Credits
12,Peter Zaslav,,Art Director,Production and Technical Credits
13,Sean Cole,,Production Manager,Production and Technical Credits
14,Hans Dastrup,,Animation Supervisor,Production and Technical Credits
15,Antony Gray,,Animation Supervisor,Production and Technical Credits
16,Fabio Lignini,,Animation Supervisor,Production and Technical Credits
17,Rani Naamani,,Animation Supervisor,Production and Technical Credits
18,Liron Topaz,,Animation Supervisor,Production and Technical Credits
19,Christopher Michael,,Character Effects Supervisor,Production and Technical Credits
20,Todd Zullo,,Simulation & Crowds Supervisor,Production and Technical Credits
21,Christopher Scarabosio,,Re-recording Mixer,Production and Technical Credits
22,Leff Lefferts,,Re-recording Mixer,Production and Technical Credits
23,Brian Chumney,,Supervising Sound Editor,Production and Technical Credits
24,Leff Lefferts,,Supervising Sound Editor,Production and Technical Credits
25,Christi Soper Hilt*,,Casting Director,Production and Technical Credits
26,Brendan Guy Murphy,,Production Supervisor,Production and Technical Credits
27,Evon Freeman,,Story Artist,Production and Technical Credits
28,Michael Lester,,Story Artist,Production and Technical Credits
29,Simon Wells,,Story Artist,Production and Technical Credits
30,Heidi Jo Gilbert,,Story Artist,Production and Technical Credits
31,Taylor Meacham,,Story Artist,Production and Technical Credits
32,David Wolter,,Story Artist,Production and Technical Credits
33,Colin Jack,,Story Artist,Production and Technical Credits
34,Toniko Pantoja,,Story Artist,Production and Technical Credits
35,Anthony Zierhut,,Story Artist,Production and Technical Credits
36,Adam Rosette,,Story Artist,Production and Technical Credits
37,Jacquelyn Karambelas,,Associate Editor,Production and Technical Credits
38,Natalia Cronembold,,Associate Editor,Production and Technical Credits
39,Corey Bridwell,,First Assistant Editor,Production and Technical Credits
40,Katie Parody,,Assistant Editor,Production and Technical Credits
41,Kaki Bage,,Character Supervisor,Production and Technical Credits
42,Sebastien Piquet,,Character Designer,Production and Technical Credits
43,Joe Pitt,,Character Designer,Production and Technical Credits
44,Brynne Orloski,,Post-Production Supervisor,Production and Technical Credits
45,Pascal Garneau,,Sound Effects Editor,Production and Technical Credits
46,Mac Smith,,Sound Effects Editor,Production and Technical Credits
47,Jonathan Greber,,Dialogue Editor,Production and Technical Credits
48,Dug Winningham,,Foley Editor,Production and Technical Credits
49,Scott Curtis,,Foley Mixer,Production and Technical Credits
50,Richard Duarte,,Foley Mixer,Production and Technical Credits
51,Wataru Hokoyama,,Additional Music,Production and Technical Credits
52,Pete Siebert,,Additional Music,Production and Technical Credits
53,Dominick Certo,,Music Editor,Production and Technical Credits
54,Alan Meyerson,,Score Mixer,Production and Technical Credits
55,Munira Moiz Tayabji,,Visual Effects Supervisor,Production and Technical Credits
