,0,1,2,type
0,John David Washington,,“The Protagonist”,Lead Ensemble Members
1,Robert Pattinson,,Neil,Lead Ensemble Members
2,Elizabeth Debicki,,Kat,Lead Ensemble Members
3,Michael Caine,,Crosby,Lead Ensemble Members
4,Kenneth Branagh,,Sator,Lead Ensemble Members
0,Juhan Ulfsak,,Passenger,Supporting Cast
1,Jefferson Hall,,Well-Dressed Man,Supporting Cast
2,Ivo Uukkivi,,Uniformed Official,Supporting Cast
3,Andrew Howard,,Driver,Supporting Cast
4,Rich Ceraulo Ko,,SWAT/Target,Supporting Cast
5,Jonathan Camp,,SWAT 2,Supporting Cast
6,Wes Chatham,,SWAT 3,Supporting Cast
7,Sander Rebane,,Ukranian SWAT,Supporting Cast
8,Martin Donovan,,Fay,Supporting Cast
9,Clémence Poésy,,Barbara,Supporting Cast
10,Josh Stewart,,Male Voice,Supporting Cast
11,Dimple Kapadia,,Priya,Supporting Cast
12,Denzil Smith,,Sanjay,Supporting Cast
13,Jeremy Theobald,,Steward,Supporting Cast
14,Tom Nolan,,Shipley’s Representative,Supporting Cast
15,Laurie Shepherd,,Max,Supporting Cast
16,Yuri Kolokolnikov,,Volkov,Supporting Cast
17,Marcel Sabat,,Gaunt Russian,Supporting Cast
18,Julia-Maria Arnolds,,Nanny,Supporting Cast
19,Jack Cutmore-Scott,,Klaus,Supporting Cast
20,Himesh Patel,,Mahir,Supporting Cast
21,Anthony Molinari,,Rohan,Supporting Cast
22,Adam Cropper,,Young Sator,Supporting Cast
23,Tony Christian,,Gold Bar Thief,Supporting Cast
24,Jan Uuspõld,,Blue Co-Pilot,Supporting Cast
25,Kaspar Velberg,,Police Operator,Supporting Cast
26,Sergo Vares,,Police Supervisor,Supporting Cast
27,Rain Tolk,,Policeman Passenger,Supporting Cast
28,Aaron Taylor-Johnson,,Ives,Supporting Cast
29,Fiona Dourif,,Wheeler,Supporting Cast
30,Henrik Kalmet,,Medic,Supporting Cast
31,Sean Avery,,Red Soldier 1,Supporting Cast
32,John Orantes,,Red Soldier 2,Supporting Cast
33,Seb Carrington,,Junior Crew Member,Supporting Cast
34,Matthew Marsden,,Blue Team Soldier,Supporting Cast
35,Alex Wexo,,Military Veteran,Supporting Cast
0,Christopher Nolan,,Director,Production and Technical Credits
1,Christopher Nolan,,Screenwriter,Production and Technical Credits
2,Christopher Nolan,,Producer,Production and Technical Credits
3,Emma Thomas,,Producer,Production and Technical Credits
4,Thomas Hayslip,,Executive Producer,Production and Technical Credits
5,Hoyte Van Hoytema,,Director of Photography,Production and Technical Credits
6,Nathan Crowley,,Production Designer,Production and Technical Credits
7,Jennifer Lame,,Editor,Production and Technical Credits
8,Jeffrey Kurland,,Costume Designer,Production and Technical Credits
9,Ludwig Göransson,,Composer,Production and Technical Credits
10,Andrew Jackson,,Visual Effects Supervisor,Production and Technical Credits
11,Scott R. Fisher,,Special Effects Supervisor,Production and Technical Credits
12,John Papsidera,,Casting Director,Production and Technical Credits
13,George Cottle,,Stunt Coordinator,Production and Technical Credits
14,Thomas Hayslip,,Unit Production Manager,Production and Technical Credits
15,Susan Towner,,Unit Production Manager,Production and Technical Credits
16,Nilo Otero,,First Assistant Director,Production and Technical Credits
17,Eric Richard Lasko,,Second Assistant Director,Production and Technical Credits
18,Mike Chambers,,Visual Effects Producer,Production and Technical Credits
19,John Lee,,Associate Editor,Production and Technical Credits
20,Helen Medrano,,Associate Producer,Production and Technical Credits
21,Alex Gibson,,Supervising Music Editor,Production and Technical Credits
22,Tina Anderson,,Post-Production Supervisor,Production and Technical Credits
23,Richard King,,Sound Designer,Production and Technical Credits
24,Richard King,,Supervising Sound Editor,Production and Technical Credits
25,Gary A. Rizzo,,Re-recording Mixer,Production and Technical Credits
26,Kevin O'Connell,,Re-recording Mixer,Production and Technical Credits
27,Janice Polley,,Supervising Location Manager,Production and Technical Credits
28,Gretel Twombly,,Production Supervisor,Production and Technical Credits
29,Rory Bruen,,Supervising Art Director,Production and Technical Credits
30,Jenne Lee,,Supervising Art Director,Production and Technical Credits
31,Eggert Ketilsson,,Supervising Art Director,Production and Technical Credits
32,Toby Britton,,Supervising Art Director,Production and Technical Credits
33,Steve Gehrke,,Script Supervisor,Production and Technical Credits
34,Liam Georgensen,,Art Director,Production and Technical Credits
35,Tiiu-Ann Pello,,Art Director,Production and Technical Credits
36,Triin Valvas,,Art Director,Production and Technical Credits
37,David Packard,,Art Director,Production and Technical Credits
38,Ben Nowicki,,Art Director,Production and Technical Credits
39,Erik Osusky,,Art Director,Production and Technical Credits
40,Justin Miller,,Art Director,Production and Technical Credits
41,Stephen Christensen,,Art Director,Production and Technical Credits
42,Anthony D. Parrillo,,Art Director,Production and Technical Credits
43,Luis G. Hoyos,,Set Designer,Production and Technical Credits
44,Kil Won Yu,,Set Designer,Production and Technical Credits
45,Kathy Lucas,,Set Decorator,Production and Technical Credits
46,Willie D. Burton,,Sound Mixer,Production and Technical Credits
47,Luisa Abel,,Make up,Production and Technical Credits
48,Audrey Doyle,,Make up,Production and Technical Credits
49,Camille Friend,,Hairstylist,Production and Technical Credits
50,Derrick Spruill,,Hairstylist,Production and Technical Credits
51,John Casey,,Costume Supervisor,Production and Technical Credits
52,Klaus grosse Darrelmann,,Location Manager,Production and Technical Credits
53,Julie Hannum,,Location Manager,Production and Technical Credits
54,Andy Williams,,Special Effects Supervisor,Production and Technical Credits
55,Egle Sveikauskyte,,Special Effects Coordinator,Production and Technical Credits
56,Eric A. Lewy,,First Assistant Editor,Production and Technical Credits
57,Laura Rindner,,First Assistant Editor,Production and Technical Credits
58,Scott Wesley Ross,,Assistant Editor,Production and Technical Credits
59,William Fletcher,,Assistant Editor,Production and Technical Credits
60,Andrew Blustain,,Assistant Editor,Production and Technical Credits
61,Vaune Kirby,,Assistant Editor,Production and Technical Credits
62,Pearce Roemer,,Assistant Editor,Production and Technical Credits
63,Russell Farmarco,,Dialogue Editor,Production and Technical Credits
64,Michael Mitchell,,Sound Effects Editor,Production and Technical Credits
65,Randy Torres,,Sound Effects Editor,Production and Technical Credits
66,Mark Larry,,Sound Effects Editor,Production and Technical Credits
67,Joseph Fraioli,,Sound Effects Editor,Production and Technical Credits
68,Angela Ang,,Foley Editor,Production and Technical Credits
69,Scott Curtis,,Foley Mixer,Production and Technical Credits
70,Randy Singer,,Foley Mixer,Production and Technical Credits
71,Darrin Mann,,Foley Mixer,Production and Technical Credits
72,Nicholas Fitzgerald,,Music Editor,Production and Technical Credits
73,Chris Fogel,,Score Mixer,Production and Technical Credits
