,0,1,2,type
0,Tom Holland,,Peter Parker/Spider-Man,Leading Cast
0,Zendaya,,MJ,Supporting Cast
1,Benedict Cumberbatch,,Doctor Strange,Supporting Cast
2,Jon Favreau,,Happy Hogan,Supporting Cast
3,Jacob Batalon,,Ned Leeds,Supporting Cast
4,Marisa Tomei,,May Parker,Supporting Cast
5,Jamie Foxx,,Max Dillon/Electro,Supporting Cast
6,Willem Dafoe,,Norman Osborn/Green Goblin,Supporting Cast
7,Alfred Molina,,Otto Octavius/Doctor Octopus,Supporting Cast
8,Benedict Wong,,Wong,Supporting Cast
9,Tony Revolori,,Eugene “Flash” Thompson,Supporting Cast
10,Andrew Garfield,,Peter Parker/Spider-Man,Supporting Cast
11,Tobey Maguire,,Peter Parker/Spider-Man,Supporting Cast
12,Thomas Haden Church,,Flint Marko/Sandman,Supporting Cast
13,Rhys Ifans,,Curt Connors/Lizard,Supporting Cast
14,J.B. Smoove,,Julius Dell,Supporting Cast
15,Angourie Rice,,Betty Brant,Supporting Cast
16,Jorge Lendeborg Jr,,Jason Ionello,Supporting Cast
17,Hannibal Buress,,Coach Wilson,Supporting Cast
18,J.K. Simmons,,J. Jonah Jameson,Supporting Cast
19,Paula Newsome,,,Supporting Cast
20,Arian Moayed,,,Supporting Cast
0,Jon Watts,,Director,Production and Technical Credits
1,Chris McKenna,,Screenwriter,Production and Technical Credits
2,Erik Sommers,,Screenwriter,Production and Technical Credits
3,Stan Lee,,Story based on the comic book by,Production and Technical Credits
4,Steve Ditko,,Story based on the comic book by,Production and Technical Credits
5,Amy Pascal,,Producer,Production and Technical Credits
6,Kevin Feige,,Producer,Production and Technical Credits
7,Louis D’Esposito,,Executive Producer,Production and Technical Credits
8,Victoria Alonso,,Executive Producer,Production and Technical Credits
9,JoAnn Perritano,,Executive Producer,Production and Technical Credits
10,Rachel O’Connor,,Executive Producer,Production and Technical Credits
11,Avi Arad,,Executive Producer,Production and Technical Credits
12,Matt Tolmach,,Executive Producer,Production and Technical Credits
13,Jeffrey Ford,,Editor,Production and Technical Credits
14,Leigh Folsom-Boyd,,Editor,Production and Technical Credits
15,Michael Giacchino,,Composer,Production and Technical Credits
16,Mauro Fiore,,Director of Photography,Production and Technical Credits
17,Mitch Bell,,Co-Producer,Production and Technical Credits
18,Robin Buday,,First Assistant Editor,Production and Technical Credits
19,Brian Stultz,,Art Director,Production and Technical Credits
20,Kelly Port,,Visual Effects Supervisor,Production and Technical Credits
21,Scott Edelstein,,Visual Effects Supervisor,Production and Technical Credits
22,Christopher Waegner,,Visual Effects Supervisor,Production and Technical Credits
23,Tony Lamberti,,Re-recording Mixer,Production and Technical Credits
