,0,1,2,type
0,Simu Liu,,Shang-Chi,Leading Cast
0,Awkwafina,,Katy,Supporting Cast
1,Meng Zhang,,Xialing,Supporting Cast
2,Fala Chen,,Jiang Li,Supporting Cast
3,Florian Munteanu,,Razor Fist,Supporting Cast
4,Benedict Wong,,Wong,Supporting Cast
5,Yuen Wah,,Guang Bo,Supporting Cast
6,Ronny Chieng,,Jon Jon,Supporting Cast
7,Zach Cherry,,Klev,Supporting Cast
8,Dallas Liu,,Ruihua,Supporting Cast
9,Michelle Yeoh,,Jiang Nan,Supporting Cast
10,Tony Leung,,Mandarin,Supporting Cast
11,Tim Roth,,Abomination,Supporting Cast
12,Ben Kingsley,,Trevor Slattery,Supporting Cast
13,Jade Xu,,Black Widow,Supporting Cast
14,Stephanie Hsu,,Soo,Supporting Cast
15,Mark Ruffalo,,Bruce Banner,Supporting Cast
16,Brie Larson,,Carol Danvers,Supporting Cast
0,Destin Daniel Cretton,,Director,Production and Technical Credits
1,David Callaham,,Screenwriter,Production and Technical Credits
2,Destin Daniel Cretton,,Screenwriter,Production and Technical Credits
3,Andrew Lanham,,Screenwriter,Production and Technical Credits
4,David Callaham,,Story by,Production and Technical Credits
5,Destin Daniel Cretton,,Story by,Production and Technical Credits
6,Kevin Feige,,Producer,Production and Technical Credits
7,Jonathan Schwartz,,Producer,Production and Technical Credits
8,Louis D’Esposito,,Executive Producer,Production and Technical Credits
9,Victoria Alonso,,Executive Producer,Production and Technical Credits
10,Charles Newirth,,Executive Producer,Production and Technical Credits
11,Steve Englehart,,Character Creator,Production and Technical Credits
12,Jim Starlin,,Character Creator,Production and Technical Credits
13,Steve Orlando,,Sound Effects Editor,Production and Technical Credits
