,0,1,2,type
0,Scarlett Johansson,,Natasha Romanoff/Black Widow,Lead Ensemble Members
1,Florence Pugh,,Yelena Belova,Lead Ensemble Members
2,Rachel Weisz,,Melina,Lead Ensemble Members
3,David Harbour,,Alexei/Red Guardian,Lead Ensemble Members
4,Ray Winstone,,Dreykov,Lead Ensemble Members
5,O.T. Fagbenle,,Mason,Lead Ensemble Members
0,Ever Anderson,,Young Natasha,Supporting Cast
1,Violet McGraw,,Young Yelena,Supporting Cast
2,William Hurt,,Thaddeus Ross,Supporting Cast
3,"Robert Downey, Jr.",,Tony Stark/Iron Man,Supporting Cast
4,Olivier Richters,,Ursa,Supporting Cast
5,Michelle Lee,,Oksana,Supporting Cast
6,Olga Kurylenko,,Antonia Dreykov/Taskmaster,Supporting Cast
0,Cate Shortland,,Director,Production and Technical Credits
1,Eric Pearson,,Screenwriter,Production and Technical Credits
2,Jac Schaeffer,,Story Creator,Production and Technical Credits
3,Ned Benson,,Story Creator,Production and Technical Credits
4,Kevin Feige,,Producer,Production and Technical Credits
5,Louis D’Esposito,,Executive Producer,Production and Technical Credits
6,Victoria Alonso,,Executive Producer,Production and Technical Credits
7,Brad Winderbaum,,Executive Producer,Production and Technical Credits
8,Nigel Gostelow,,Executive Producer,Production and Technical Credits
9,Brian Chapek,,Co-Producer,Production and Technical Credits
10,Mitch Bell,,Co-Producer,Production and Technical Credits
11,Gabriel Beristain,,Director of Photography,Production and Technical Credits
12,Charles Wood,,Production Designer,Production and Technical Credits
13,Jany Temime,,Costume Designer,Production and Technical Credits
14,Geoffrey Baumann,,Visual Effects Supervisor,Production and Technical Credits
15,Lorne Balfe,,Composer,Production and Technical Credits
16,Stan Lee,,Character Creator,Production and Technical Credits
17,Don Rico,,Character Creator,Production and Technical Credits
18,Don Heck,,Character Creator,Production and Technical Credits
19,Leigh Folsom-Boyd,,Editor,Production and Technical Credits
20,Matthew Schmidt,,Editor,Production and Technical Credits
21,Nia Hansen,,Sound Designer,Production and Technical Credits
22,Steve Orlando,,Sound Effects Editor,Production and Technical Credits
23,Samson Neslund,,Sound Effects Editor,Production and Technical Credits
24,Jacob Riehle,,Dialogue Editor,Production and Technical Credits
