,0,1,2,type
0,Vin Diesel,,Dominic Toretto,Lead Ensemble Members
1,Michelle Rodriguez,,Letty Ortiz,Lead Ensemble Members
2,Tyrese Gibson,,Roman Pearce,Lead Ensemble Members
3,Chris ‘Ludacris’ Bridges,,Tej Parker,Lead Ensemble Members
4,John Cena,,Jakob Toretto,Lead Ensemble Members
5,Nathalie Emmanuel,,Ramsey,Lead Ensemble Members
6,Jordana Brewster,,Mia Toretto,Lead Ensemble Members
0,Sung Kang,,Han,Supporting Cast
1,Helen Mirren,,Queenie Shaw,Supporting Cast
2,Kurt Russell,,Mr. Nobody,Supporting Cast
3,Charlize Theron,,Cipher,Supporting Cast
4,Finn Cole,,Young Jacob,Supporting Cast
5,Anna Sawai,,Elle,Supporting Cast
6,Lucas Black,,Sean,Supporting Cast
7,Shad Moss,,Twinkie,Supporting Cast
8,Thue Ersted Rasmussen,,Otto,Supporting Cast
9,Don Omar,,Santos,Supporting Cast
10,Shea Whigham,,Stasiak,Supporting Cast
11,Vinnie Bennett,,Young Dom,Supporting Cast
12,J.D. Pardo,,Jack Toretto,Supporting Cast
13,Michael Rooker,,Buddy,Supporting Cast
14,Jim Parrack,,Kenny Linder,Supporting Cast
15,Siena Agudong,,Young Mia,Supporting Cast
16,Isaac Holtane,,Little Brian,Supporting Cast
17,Immanuel Holtane,,Little Brian,Supporting Cast
18,Azia Dinea Hale,,Young Letty,Supporting Cast
19,Juju Zhang,,Young Elle,Supporting Cast
20,Karson Kern,,Young Vince,Supporting Cast
21,Igby Rigney,,Young Jesse,Supporting Cast
22,Sophia Tatum,,Racer Chick,Supporting Cast
23,Francis Ngannou,,Ferocious Professional,Supporting Cast
24,Martyn Ford,,Lieutenant Sue,Supporting Cast
25,Bad Bunny*,,Lookout,Supporting Cast
26,Jimmy Lin,,Lookout,Supporting Cast
27,Jason Tobin,,Earl,Supporting Cast
28,Cardi B,,Leysa,Supporting Cast
29,Cered,,Young Leo,Supporting Cast
30,Ozuna,,Young Santos,Supporting Cast
31,Oqwe Lin,,“Hey” Kid,Supporting Cast
32,Bill Simmons,,Linder Pit Crew,Supporting Cast
33,Vincent Sinclair Diesel,,Young Dom,Supporting Cast
34,Luka Hays,,Deputy,Supporting Cast
0,Justin Lin,,Director,Production and Technical Credits
1,Justin Lin,,Screenwriter,Production and Technical Credits
2,Daniel Casey,,Screenwriter,Production and Technical Credits
3,Chris Morgan,,Screenwriter,Production and Technical Credits
4,Justin Lin,,Story by,Production and Technical Credits
5,Daniel Casey,,Story by,Production and Technical Credits
6,Alfredo Botello,,Story by,Production and Technical Credits
7,Gary Scott Thompson,,Character Creator,Production and Technical Credits
8,Justin Lin,,Producer,Production and Technical Credits
9,Neal H. Moritz,,Producer,Production and Technical Credits
10,Jeff Kirschenbaum,,Producer,Production and Technical Credits
11,Joe Roth,,Producer,Production and Technical Credits
12,Clayton Townsend,,Producer,Production and Technical Credits
13,Samantha Vincent,,Producer,Production and Technical Credits
14,Vin Diesel,,Producer,Production and Technical Credits
15,Stephen F. Windon,,Director of Photography,Production and Technical Credits
16,Jan Roelfs,,Production Designer,Production and Technical Credits
17,Dylan Highsmith,,Editor,Production and Technical Credits
18,Kelly Matsumoto,,Editor,Production and Technical Credits
19,Greg D'Auria,,Editor,Production and Technical Credits
20,Sanja Milkovic Hays,,Costume Designer,Production and Technical Credits
21,Brian Tyler,,Composer,Production and Technical Credits
22,Spiro Razatos,,Stunt Coordinator,Production and Technical Credits
23,Rachel Tenner,,Casting Director,Production and Technical Credits
24,Peter Chiang,,Visual Effects Supervisor,Production and Technical Credits
25,Spiro Razatos,,Second Unit Director,Production and Technical Credits
26,Clayton Townsend,,Unit Production Manager,Production and Technical Credits
27,David Cain,,Unit Production Manager,Production and Technical Credits
28,Vincent Lascoumes,,First Assistant Director,Production and Technical Credits
29,J.J. Perry,,Second Unit Director,Production and Technical Credits
30,J.J. Perry,,Supervising Stunt Coordinator,Production and Technical Credits
31,Joshua Henson,,Co-Producer,Production and Technical Credits
32,Kevin Elam,,Associate Producer,Production and Technical Credits
33,Scott Shapiro,,Associate Producer,Production and Technical Credits
34,F. Valentino Morales,,Associate Producer,Production and Technical Credits
35,Alexander Vegh,,Associate Producer,Production and Technical Credits
36,Katie Byles,,Production Supervisor,Production and Technical Credits
37,Charlie Reed,,Key Second Assistant Director,Production and Technical Credits
38,Ashley Lamont,,Supervising Art Director,Production and Technical Credits
39,Andrew Palmer,,Senior Art Director,Production and Technical Credits
40,Gavin Fitch,,Art Director,Production and Technical Credits
41,Elicia Scales,,Art Director,Production and Technical Credits
42,Daniel Nussbaumer,,Art Director,Production and Technical Credits
43,Anita Rajkumar,,Art Director,Production and Technical Credits
44,Anthony Liberatore,,Story Artist,Production and Technical Credits
45,James Doh,,Story Artist,Production and Technical Credits
46,Lucy Eyre,,Set Decorator,Production and Technical Credits
47,John Casali,,Sound Mixer,Production and Technical Credits
48,Chris Moore,,Supervising Location Manager,Production and Technical Credits
49,Jamie Jones,,Location Manager,Production and Technical Credits
50,Jo Beckett,,Location Manager,Production and Technical Credits
51,Deborah Taylor,,Make up,Production and Technical Credits
52,Francesca Crowder,,Hairstylist,Production and Technical Credits
53,Andrew Hunt,,Costume Supervisor,Production and Technical Credits
54,Zoe Morgan,,Script Supervisor,Production and Technical Credits
55,Alistair Williams,,Special Effects Supervisor,Production and Technical Credits
56,David Kern,,Additional Editor,Production and Technical Credits
57,Peter Brown,,Sound Designer,Production and Technical Credits
58,Peter Brown,,Sound Supervisor,Production and Technical Credits
59,Jon Taylor,,Re-recording Mixer,Production and Technical Credits
60,Frank A. Montano,,Re-recording Mixer,Production and Technical Credits
61,Laura Yanovich,,First Assistant Editor,Production and Technical Credits
62,L. Dillon Thomas,,First Assistant Editor,Production and Technical Credits
63,Jeffrey Steinkamp,,First Assistant Editor,Production and Technical Credits
64,Mike Azevedo,,First Assistant Editor,Production and Technical Credits
65,Paul Rabjohns,,Supervising Music Editor,Production and Technical Credits
66,Kyle Clausen,,Music Editor,Production and Technical Credits
67,Robb Boyd,,Music Editor,Production and Technical Credits
68,Stephen P. Robinson,,Sound Designer,Production and Technical Credits
69,Eliot Connors,,Sound Designer,Production and Technical Credits
70,Anne Scibelli,,Sound Designer,Production and Technical Credits
71,Jay Wilkinson,,Supervising Foley Editor,Production and Technical Credits
72,Michael Hertlein,,Dialogue Editor,Production and Technical Credits
73,Richard Duarte,,Foley Mixer,Production and Technical Credits
74,Jack Cucci,,Foley Mixer,Production and Technical Credits
75,Tavish Grade,,Foley Mixer,Production and Technical Credits
76,Hal Couzens,,Visual Effects Producer,Production and Technical Credits
77,Andy Gill,,Stunt Coordinator Second Unit,Production and Technical Credits
