,0,1,2,type
0,Kumail Nanjiani,,Kingo,Lead Ensemble Members
1,Angelina Jolie,,Thena,Lead Ensemble Members
2,Richard Madden,,Ikaris,Lead Ensemble Members
3,Salma Hayek,,Ajak,Lead Ensemble Members
4,Brian Tyree Henry,,Phastos,Lead Ensemble Members
5,Lauren Ridloff,,Makkari,Lead Ensemble Members
6,Barry Keoghan,,Druig,Lead Ensemble Members
7,Gemma Chan,,Sersi,Lead Ensemble Members
8,Lia McHugh,,Sprite,Lead Ensemble Members
9,Don Lee,,Gilgamesh,Lead Ensemble Members
0,Harish Patel,,Karun,Supporting Cast
1,Kit Harington,,Dane Whitman,Supporting Cast
2,Bill Skarsgård,,Deviant Kro,Supporting Cast
3,Patton Oswalt,,Pip,Supporting Cast
4,David Kaye,,Arishem the Judge,Supporting Cast
5,Zain Al Rafeea,,Young Boy,Supporting Cast
6,Haaz Sleiman,,Ben,Supporting Cast
7,Esai Daniel Cross,,Jack,Supporting Cast
0,Chloé Zhao,,Director,Production and Technical Credits
1,Chloé Zhao,,Screenwriter,Production and Technical Credits
2,Patrick Burleigh,,Screenwriter,Production and Technical Credits
3,Ryan Firpo,,Screenwriter,Production and Technical Credits
4,Matthew K. Firpo,,Screenwriter,Production and Technical Credits
5,Ryan Firpo,,Story by,Production and Technical Credits
6,Kaz Firpo,,Story by,Production and Technical Credits
7,Kevin Feige,,Producer,Production and Technical Credits
8,Nate Moore,,Producer,Production and Technical Credits
9,Victoria Alonso,,Executive Producer,Production and Technical Credits
10,Louis D’Esposito,,Executive Producer,Production and Technical Credits
11,Kevin De La Noy,,Executive Producer,Production and Technical Credits
12,Dylan Tichenor,,Editor,Production and Technical Credits
13,Craig Wood,,Editor,Production and Technical Credits
14,Ramin Djawadi,,Composer,Production and Technical Credits
15,Ben Davis,,Director of Photography,Production and Technical Credits
16,Mitch Bell,,Co-Producer,Production and Technical Credits
17,Samson Neslund,,Sound Effects Editor,Production and Technical Credits
18,Jacob Riehle,,Dialogue Editor,Production and Technical Credits
