,0,1,2,type
0,Daniel Craig,,James Bond,Lead Ensemble Members
1,Lea Seydoux,,Dr. Madeleine Swann,Lead Ensemble Members
2,Naomie Harris,,Eve Moneypenny,Lead Ensemble Members
3,Ana de Armas,,Paloma,Lead Ensemble Members
4,Ben Whishaw,,Q,Lead Ensemble Members
5,Rami Malek,,Safin,Lead Ensemble Members
0,Christoph Waltz,,Ernst Stavro Blofeld,Supporting Cast
1,Billy Magnussen,,Ash,Supporting Cast
2,Ralph Fiennes,,M,Supporting Cast
3,Rory Stewart Kinnear,,Bill Tanner,Supporting Cast
4,Jeffrey Wright,,Felix Leiter,Supporting Cast
5,Dali Benssalah,,Primo,Supporting Cast
6,David Dencik,,Waldo,Supporting Cast
7,Lashana Lynch,,Nomi,Supporting Cast
0,Cary Joji Fukunaga,,Director,Production and Technical Credits
1,Neal Purvis,,Screenwriter,Production and Technical Credits
2,Cary Joji Fukunaga,,Screenwriter,Production and Technical Credits
3,Robert Wade,,Screenwriter,Production and Technical Credits
4,Neal Purvis,,Story by,Production and Technical Credits
5,Robert Wade,,Story by,Production and Technical Credits
6,Cary Joji Fukunaga,,Story by,Production and Technical Credits
7,Michael G. Wilson,,Producer,Production and Technical Credits
8,Barbara Broccoli,,Producer,Production and Technical Credits
9,Tom Cross,,Editor,Production and Technical Credits
10,Elliot Graham,,Editor,Production and Technical Credits
11,Dan Romer,,Composer,Production and Technical Credits
12,Linus Sandgren,,Director of Photography,Production and Technical Credits
13,Chris Corbould,,Special Effects Supervisor,Production and Technical Credits
