,0,1,2,type
0,Carrie Coon,,Callie,Lead Ensemble Members
1,Finn Wolfhard,,Trevor,Lead Ensemble Members
2,Mckenna Grace,,Phoebe,Lead Ensemble Members
3,Paul Rudd,,Mr. Grooberson,Lead Ensemble Members
4,Celeste O’ Conner,,Trevor’s Classmate,Lead Ensemble Members
5,Logan Kim,,Phoebe’s Classmate,Lead Ensemble Members
0,Annie Potts,,Janine Melnitz,Supporting Cast
1,Bokeem Woodbine,,Sheriff Domingo,Supporting Cast
2,Oliver Cooper,,Elton,Supporting Cast
3,J.K. Simmons,,Ivo Shandor,Supporting Cast
4,Marlon Kazadi,,Thickneck,Supporting Cast
5,Sydney Mae Diaz,,Swayze,Supporting Cast
6,Josh Gad,,Muncher,Supporting Cast
7,Tracy Letts,,Jack,Supporting Cast
8,Olivia Wilde,,Gozer the Gozerian,Supporting Cast
0,Bill Murray,,Dr. Peter Venkman,Cameos
1,Dan Aykroyd,,Dr. Raymond “Ray” Stantz,Cameos
2,Ernie Hudson,,Dr. Winston Zeddmore,Cameos
3,Sigourney Weaver,,Dana Barrett,Cameos
0,Harold Ramis,,Dr. Egon Spengler,
0,Jason Reitman,,Director,Production and Technical Credits
1,Gil Kenan,,Screenwriter,Production and Technical Credits
2,Jason Reitman,,Screenwriter,Production and Technical Credits
3,Ivan Reitman,,Producer,Production and Technical Credits
4,Jason Blumenfeld,,Executive Producer,Production and Technical Credits
5,Michael Beugg,,Executive Producer,Production and Technical Credits
6,Dan Aykroyd,,Executive Producer,Production and Technical Credits
7,Gil Kenan,,Executive Producer,Production and Technical Credits
8,Aaron L. Gilbert,,Executive Producer,Production and Technical Credits
9,Jason Cloth,,Executive Producer,Production and Technical Credits
10,Dana E. Glauberman,,Editor,Production and Technical Credits
11,Nathan Orloff,,Editor,Production and Technical Credits
12,Rob Simonsen,,Composer,Production and Technical Credits
13,Eric Steelberg,,Director of Photography,Production and Technical Credits
14,Sheena Duggal,,Visual Effects Supervisor,Production and Technical Credits
