,0,1,2,type
0,Benedict Cumberbatch,,Dr. Stephen Strange,Lead Ensemble Members
1,Elizabeth Olsen,,Scarlett Witch,Lead Ensemble Members
2,Chiwetel Ejiofor,,Karl Mordo,Lead Ensemble Members
3,Benedict Wong,,Wong,Lead Ensemble Members
4,Xochitl Gomez,,America Chavez,Lead Ensemble Members
5,Michael Stuhlbarg,,Nicodemus West,Lead Ensemble Members
6,Rachel McAdams,,Dr. Christine Palmer,Lead Ensemble Members
0,Patrick Stewart,,Professor Charles Xavier,Cameos
0,Sam Raimi,,Director,Production and Technical Credits
1,Michael Waldron,,Screenwriter,Production and Technical Credits
2,Kevin Feige,,Producer,Production and Technical Credits
3,Louis D’Esposito,,Executive Producer,Production and Technical Credits
4,Victoria Alonso,,Executive Producer,Production and Technical Credits
5,Eric Hauserman Carroll,,Executive Producer,Production and Technical Credits
6,Scott Derrickson,,Executive Producer,Production and Technical Credits
7,Jamie Christopher,,Executive Producer,Production and Technical Credits
8,Mitch Bell,,Co-Producer,Production and Technical Credits
9,Richie Palmer,,Co-Producer,Production and Technical Credits
10,John Mathieson,,Director of Photography,Production and Technical Credits
11,Charles Wood,,Production Designer,Production and Technical Credits
12,Bob Murawski,,Editor,Production and Technical Credits
13,Tia Nolan,,Editor,Production and Technical Credits
14,Graham Churchyard,,Costume Designer,Production and Technical Credits
15,Janek Sirrs,,Visual Effects Supervisor,Production and Technical Credits
16,Danny Elfman,,Composer,Production and Technical Credits
17,Dave Jordan,,Music Supervisor,Production and Technical Credits
18,Sarah Halley Finn,,Casting Director,Production and Technical Credits
19,Stan Lee,,Story by,Production and Technical Credits
20,Steve Ditko,,Story by,Production and Technical Credits
21,Chris Corbould,,Special Effects Supervisor,Production and Technical Credits
