,0,1,2,type
0,Steve Carell,,Gru,Leading Cast
0,Taraji P. Henson,,Belle Bottom,Supporting Cast
1,Michelle Yeoh,,Master Chow,Supporting Cast
2,RZA,,Otto,Supporting Cast
3,Jean-Claude Van Damme,,Jean Clawed,Supporting Cast
4,Lucy Lawless,,Nunchuck,Supporting Cast
5,Dolph Lundgren,,Svengeance,Supporting Cast
6,Danny Trejo,,Stronghold,Supporting Cast
7,Russell Brand,,Dr. Nefario,Supporting Cast
8,Julie Andrews,,Marlena Gru,Supporting Cast
9,Alan Arkin,,Wild Knuckles,Supporting Cast
10,Pierre Coffin,,Kevin / Stuart / Bob / Etc.,Supporting Cast
11,Will Arnett,,Mr. Perkins,Supporting Cast
12,Steve Coogan,,Silas Ramsbottom,Supporting Cast
13,Michael Beattie,,VNC announcer/Guru Pick,Supporting Cast
14,Kevin Michael Richardson,,Wild Knuckles’ goon,Supporting Cast
15,Jimmy O. Yang,,Wild Knuckles’ goon,Supporting Cast
16,John DiMaggio,,Wild Knuckles’ goon,Supporting Cast
17,Raymond Persi,,Birthday kid,Supporting Cast
18,Ramone Hamilton,,School kid,Supporting Cast
0,Kyle Balda,,Director,Production and Technical Credits
1,Brad Ableson,,Co-Director,Production and Technical Credits
2,Jonathan Del Val,,Co-Director,Production and Technical Credits
3,Matthew Fogel,,Screenwriter,Production and Technical Credits
4,Brian Lynch,,Story by,Production and Technical Credits
5,Matthew Fogel,,Story by,Production and Technical Credits
6,Christopher Meledandri,,Producer,Production and Technical Credits
7,Janet Healy,,Producer,Production and Technical Credits
8,Chris Renaud,,Producer,Production and Technical Credits
9,Brett Hoffman,,Executive Producer,Production and Technical Credits
10,Jean Luc Florinda,,Co-Producer,Production and Technical Credits
11,Claire Dodgson,,Editor,Production and Technical Credits
12,Heitor Pereira,,Composer,Production and Technical Credits
13,Pharrell Williams,,Song Writer,Production and Technical Credits
14,Robert Taylor,,Associate Producer,Production and Technical Credits
