,0,1,2,type
0,Robert Pattinson,,Bruce Wayne / Batman,Leading Cast
1,Zoë Kravitz,,Selina Kyle / Catwoman,Leading Cast
2,Colin Farrell,,Oswald “Oz” Cobblepot / Penguin,Leading Cast
3,Paul Dano,,Edward Nashton / Riddler,Leading Cast
0,Jeffrey Wright,,James Gordon,Supporting Cast
1,John Turturro,,Carmine Falcone,Supporting Cast
2,Andy Serkis,,Alfred Pennyworth,Supporting Cast
3,Peter Sarsgaard,,District Attorney Gil Colson,Supporting Cast
4,Barry Keoghan,,Stanley Merkel,Supporting Cast
5,Jayme Lawson,,Bella Reál,Supporting Cast
6,Gil Perez-Abraham,,Officer Martinez,Supporting Cast
7,Peter McDonald,,Kenzie,Supporting Cast
8,Con O’Neill,,Chief Mackenzie Bock,Supporting Cast
9,Alex Ferns,,Commissioner Pete Savage,Supporting Cast
10,Rupert Penry-Jones,,"Mayor Don Mitchell, Jr.",Supporting Cast
11,Kosha Engler,,Mrs. Mitchell,Supporting Cast
12,Archie Barnes,,Mitchell’s Son,Supporting Cast
13,Janine Harouni,,Carla,Supporting Cast
14,Hana Harouni,,Annika,Supporting Cast
15,Joseph Walker,,Young Riddler,Supporting Cast
16,Luke Roberts,,Thomas Wayne,Supporting Cast
17,Oscar Novak,,Young Bruce Wayne,Supporting Cast
18,Stella Stocker,,Martha Wayne,Supporting Cast
19,Sandra Dickinson,,Dory,Supporting Cast
20,Jack Bennett,,Travis,Supporting Cast
21,Andre Nightingale,,Ritchie,Supporting Cast
22,Richard James Neale,,Glen,Supporting Cast
23,Lorraine Tai,,Cheri,Supporting Cast
24,Joseph Balderrama,,Lead Detective,Supporting Cast
25,James Eeles,,Another Officer,Supporting Cast
26,Angela Yeoh,,Forensic Photographer,Supporting Cast
27,Leemore Marrett Jr,,Muscle Cop,Supporting Cast
28,Ezra Elliott,,Tactical Medic,Supporting Cast
29,Itoya Osagiede,,Hushed G.C.P.D. Detective,Supporting Cast
30,Stewart Alexander,,FBI Leader,Supporting Cast
31,Adam Rojko Vega,,SWAT (City Hall),Supporting Cast
32,Heider Ali,,Officer (City Hall),Supporting Cast
33,Marcus Onilude,,Traffic Cop (City Hall),Supporting Cast
34,Elena Saurel,,Detective on Phone,Supporting Cast
35,Ed Kear,,Surly Cop,Supporting Cast
36,Sid Sagar,,Digital Forensic Cop,Supporting Cast
37,Amanda Blake,,Command Crisis Tech,Supporting Cast
38,Todd Boyce,,Fire Marshall,Supporting Cast
39,Brandon Bassir,,Young Officer,Supporting Cast
40,Will Austin,,Traffic Cop,Supporting Cast
41,Chabris Napier-Lawrence,,Cop (Mayor’s Memorial),Supporting Cast
42,Douglas Russell,,Bitter Nobody,Supporting Cast
43,Charlie Carver,,The Twins,Supporting Cast
44,Max Carver,,The Twins,Supporting Cast
45,Phil Aizlewood,,Falcone Bodyguard,Supporting Cast
46,Mark Killeen,,Vinnie,Supporting Cast
47,Philip Shaun McGuinness,,Elevator Guard,Supporting Cast
48,Lorna Brown,,Doctor,Supporting Cast
49,Elliot Warren,,Train Gang Leader,Supporting Cast
50,Jay Lycurgo,,Train Gang Young Member,Supporting Cast
51,Stefan Race,,Train Gang Member #1,Supporting Cast
52,Elijah Baker,,Train Gang Member #2,Supporting Cast
53,Craige Middleburg,,Train Gang Member #3,Supporting Cast
54,Akie Kotabe,,Lone Train Passenger,Supporting Cast
55,Spike Fearn,,Vandal,Supporting Cast
56,Urielle Klein-Mekongo,,Cashier,Supporting Cast
57,Bronson Webb,,Hooded Gunman,Supporting Cast
58,Madeleine Gray,,Injured Woman,Supporting Cast
59,Ste Johnston,,Paparazzi,Supporting Cast
60,Arthur Lee,,Paparazzo,Supporting Cast
61,Parry Glasspool,,Scared Drophead,Supporting Cast
62,Jordan Coulson,,Man in Suit,Supporting Cast
63,Hadas Gold,,Newscaster,Supporting Cast
64,Pat Battle,,Newscaster,Supporting Cast
65,Bobby Cuza,,Newscaster,Supporting Cast
66,Dean Meminger,,Newscaster,Supporting Cast
67,Roma Torre,,Newscaster,Supporting Cast
68,Mike Capozzola,,Mediator,Supporting Cast
69,Amanda Hurwitz,,Counterwoman,Supporting Cast
70,Joshua Eldridge-Smith,,Patrol Cop,Supporting Cast
71,Daniel Rainford,,Suspicious Man,Supporting Cast
72,Nathalie Armin,,ATF Leader,Supporting Cast
73,Jose Palma,,Command Post #1,Supporting Cast
74,Kazeem Tosin Amore,,Command Post #2,Supporting Cast
0,Matt Reeves,,Director,Production and Technical Credits
1,Matt Reeves,,Screenwriter,Production and Technical Credits
2,Peter Craig,,Screenwriter,Production and Technical Credits
3,Dylan Clark,,Producer,Production and Technical Credits
4,Matt Reeves,,Producer,Production and Technical Credits
5,Michael E. Uslan,,Executive Producer,Production and Technical Credits
6,Walter Hamada,,Executive Producer,Production and Technical Credits
7,Chantal Nong,,Executive Producer,Production and Technical Credits
8,Simon Emanuel,,Executive Producer,Production and Technical Credits
9,James Chinlund,,Production Designer,Production and Technical Credits
10,William Hoy,,Editor,Production and Technical Credits
11,Tyler Nelson,,Editor,Production and Technical Credits
12,Michael Giacchino,,Composer,Production and Technical Credits
13,Greig Fraser,,Cinematographer,Production and Technical Credits
14,Bob Kane,,Character Creator,Production and Technical Credits
15,Bill Finger,,Character Creator,Production and Technical Credits
16,George Drakoulias,,Music Supervisor,Production and Technical Credits
17,Dan Lemmon,,Visual Effects Supervisor,Production and Technical Credits
18,Jacqueline Durran,,Costume Designer,Production and Technical Credits
19,Cindy Tolan,,Casting Director,Production and Technical Credits
20,Lucy Bevan,,Casting Director,Production and Technical Credits
21,Samantha White,,Unit Production Manager,Production and Technical Credits
22,Simon Emanuel,,Unit Production Manager,Production and Technical Credits
23,Toby Hefferman,,First Assistant Director,Production and Technical Credits
24,Toby Hefferman,,Associate Producer,Production and Technical Credits
25,Alex Bicknell,,Visual Effects Producer,Production and Technical Credits
