,0,1,2,type
0,Chris Hemsworth,,Thor,Lead Ensemble Members
1,Christian Bale,,Gorr the God Butcher,Lead Ensemble Members
2,Tessa Thompson,,King Valkyrie,Lead Ensemble Members
3,Taika Waititi,,Korg,Lead Ensemble Members
4,Russell Crowe,,Zeus,Lead Ensemble Members
5,Natalie Portman,,Jane Foster/Mighty Thor,Lead Ensemble Members
0,Jaimie Alexander,,Sif,Supporting Cast
1,Chris Pratt,,Peter Quill / Star-Lord,Supporting Cast
2,Pom Klementieff,,Mantis,Supporting Cast
3,Dave Bautista,,Drax,Supporting Cast
4,Karen Gillan,,Nebula,Supporting Cast
5,Vin Diesel,,Groot,Supporting Cast
6,Bradley Cooper,,Rocket,Supporting Cast
0,Taika Waititi,,Director,Production and Technical Credits
1,Taika Waititi,,Screenwriter,Production and Technical Credits
2,Jennifer Kaytin Robinson,,Screenwriter,Production and Technical Credits
3,Larry Lieber,,Story by,Production and Technical Credits
4,Stan Lee,,Story by,Production and Technical Credits
5,Jack Kirby,,Story by,Production and Technical Credits
6,Kevin Feige,,Producer,Production and Technical Credits
7,Brad Winderbaum,,Producer,Production and Technical Credits
8,Louis D’Esposito,,Executive Producer,Production and Technical Credits
9,Victoria Alonso,,Executive Producer,Production and Technical Credits
10,Brian Chapek,,Executive Producer,Production and Technical Credits
11,Todd Hallowell,,Executive Producer,Production and Technical Credits
12,Barry Idoine,,Director of Photography,Production and Technical Credits
13,Tim Roche,,Editor,Production and Technical Credits
14,Peter S. Elliot,,Editor,Production and Technical Credits
15,Matthew Schmidt,,Editor,Production and Technical Credits
16,Jennifer Vecchiarello,,Editor,Production and Technical Credits
17,Michael Giacchino,,Composer,Production and Technical Credits
18,Nami Melumad,,Composer,Production and Technical Credits
19,Mayes C. Rubeo,,Costume Designer,Production and Technical Credits
20,Jake Morrison,,Visual Effects Supervisor,Production and Technical Credits
21,Jake Morrison,,Second Unit Director,Production and Technical Credits
22,Matteo Silvi,,Make up,Production and Technical Credits
23,Kyle Gardiner,,Stunt Coordinator,Production and Technical Credits
24,Samson Neslund,,Sound Designer,Production and Technical Credits
25,Jacob Riehle,,Dialogue Editor,Production and Technical Credits
