,0,1,2,type
0,Antonio Banderas,,Puss in Boots,Leading Cast
1,Salma Hayek,,Kitty Softpaws,Leading Cast
0,Olivia Colman,,,Supporting Cast
1,Harvey Guillen,,,Supporting Cast
2,Kayo Samson,,,Supporting Cast
3,Wagner Moura,,,Supporting Cast
4,Anthony Mendez,,,Supporting Cast
5,John Mulaney,,,Supporting Cast
6,Florence Pugh,,,Supporting Cast
7,Da’Vine Joy Randolph,,,Supporting Cast
8,Ray Winstone,,,Supporting Cast
9,Chris Miller,,,Supporting Cast
0,Joel Crawford,,Director,Production and Technical Credits
1,Paul Fisher,,Screenwriter,Production and Technical Credits
2,Tommy Swerdlow,,Screenwriter,Production and Technical Credits
3,Tommy Swerdlow,,Story by,Production and Technical Credits
4,Tom Wheeler,,Story by,Production and Technical Credits
5,Mark Swift,,Producer,Production and Technical Credits
6,Christopher Meledandri,,Executive Producer,Production and Technical Credits
7,Januel Mercado,,Co-Director,Production and Technical Credits
8,Nate Wragg,,Production Designer,Production and Technical Credits
9,James Ryan,,Editor,Production and Technical Credits
10,Heitor Pereira,,Composer,Production and Technical Credits
