"","name","character_name","type","filename","likelyGender","raceEthnicity"
"1","Leonardo DiCaprio","Cobb","Leading Cast","2010_5_Inception.csv","male","HL"
"2","Joseph Gordon-Levitt","Arthur","Leading Cast","2010_5_Inception.csv","male","W_NL"
"3","Elliot Page","Ariadne","Leading Cast","2010_5_Inception.csv","male","B_NL"
"4","Tom Hardy","Eames","Supporting Cast","2010_5_Inception.csv","male","B_NL"
"5","Ken Watanabe","Saito","Supporting Cast","2010_5_Inception.csv","male","A"
"6","Dileep Rao","Yusuf","Supporting Cast","2010_5_Inception.csv","male","A"
"7","Cillian Murphy","Robert Fischer, Jr","Supporting Cast","2010_5_Inception.csv","male","B_NL"
"8","Tom Berenger","Browning","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"9","Marion Cotillard","Mal","Supporting Cast","2010_5_Inception.csv","female","W_NL"
"10","Pete Postlethwaite","Maurice Fischer","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"11","Michael Caine","Miles","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"12","Lukas Haas","Nash","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"13","Tai-Li Lee","Tadashi","Supporting Cast","2010_5_Inception.csv","female","A"
"14","Claire Geare","Phillipa (3 years)","Supporting Cast","2010_5_Inception.csv","female","B_NL"
"15","Magnus Nolan","James (20 months)","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"16","Taylor Geare","Phillipa (5 years)","Supporting Cast","2010_5_Inception.csv","female","W_NL"
"17","Johnathan","James (3 years)","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"18","Tohoru Masamune","Japanese Security Guard","Supporting Cast","2010_5_Inception.csv","male","A"
"19","Yuji Okumoto","Satio's attendant","Supporting Cast","2010_5_Inception.csv","male","A"
"20","Earl Cameron","Elderly Bald Man","Supporting Cast","2010_5_Inception.csv","male","B_NL"
"21","Ryan Hayward","Lawyer","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"22","Miranda Nolan","Flight Attendant","Supporting Cast","2010_5_Inception.csv","female","W_NL"
"23","Russ Fega","Cab Driver","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"24","Tim Kelleher","Thin Man","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"25","Talulah Riley","Blond","Supporting Cast","2010_5_Inception.csv","female","B_NL"
"26","Nicolas Cleric","Bridge Sub Cons","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"27","Coralie Dedykere","Bridge Sub Cons","Supporting Cast","2010_5_Inception.csv","female","B_NL"
"28","Silvie Laguna","Bridge Sub Cons","Supporting Cast","2010_5_Inception.csv","female","HL"
"29","Virgile Bramly","Bridge Sub Cons","Supporting Cast","2010_5_Inception.csv","female","W_NL"
"30","Jean-Michel Dagory","Bridge Sub Cons","Supporting Cast","2010_5_Inception.csv","male","B_NL"
"31","Helena Cullinan","Penrose Sub Cons","Supporting Cast","2010_5_Inception.csv","female","W_NL"
"32","Mark Fleischmann","Penrose Sub Cons","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"33","Shelly Lang","Penrose Sub Cons","Supporting Cast","2010_5_Inception.csv","female","A"
"34","Adam Cole","Bar Sub Cons","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"35","Kraig Thornber","Bar Sub Cons","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"36","Jack Murry","Bar Sub Cons","Supporting Cast","2010_5_Inception.csv","male","B_NL"
"37","Angela Nathenson","Bar Sub Cons","Supporting Cast","2010_5_Inception.csv","female","B_NL"
"38","Natasha Beaumont","Bar Sub Cons","Supporting Cast","2010_5_Inception.csv","female","B_NL"
"39","Marc Raducci","Lobby Sub Cons","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"40","Carl Gilliard","Lobby Sub Cons","Supporting Cast","2010_5_Inception.csv","male","B_NL"
"41","Jill Maddrell","Lobby Sub Cons","Supporting Cast","2010_5_Inception.csv","female","W_NL"
"42","Alex Lombard","Lobby Sub Cons","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"43","Nichole Pulliam","Lobby Sub Cons","Supporting Cast","2010_5_Inception.csv","female","B_NL"
"44","Peter Basham","Fischer's Jet Captain","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"45","Michael Gaston","Immigration Officer","Supporting Cast","2010_5_Inception.csv","male","B_NL"
"46","Felix Scott","Businessman","Supporting Cast","2010_5_Inception.csv","male","B_NL"
"47","Andrew Pleavin","Businessman","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"48","Lisa Reynolds","Private Nurse","Supporting Cast","2010_5_Inception.csv","female","W_NL"
"49","Jason Tendell","Fischer's Driver","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"50","Jack Gilroy","Old Cobb","Supporting Cast","2010_5_Inception.csv","male","W_NL"
"51","Shannon Welles","Old Mal","Supporting Cast","2010_5_Inception.csv","female","W_NL"
"52","Tom Hiddleston","Loki","Leading Cast","2012_0_The Avengers.csv","male","W_NL"
"53","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2012_0_The Avengers.csv","male","W_NL"
"54","Chris Evans","Steve Rogers / Captain America","Lead Ensemble Members","2012_0_The Avengers.csv","male","B_NL"
"55","Mark Ruffalo","Bruce Banner / The Hulk","Lead Ensemble Members","2012_0_The Avengers.csv","male","W_NL"
"56","Chris Hemsworth","Thor","Lead Ensemble Members","2012_0_The Avengers.csv","male","W_NL"
"57","Scarlett Johansson","Natasha Romanoff / Black Widow","Lead Ensemble Members","2012_0_The Avengers.csv","female","W_NL"
"58","Jeremy Renner","Clint Barton / Hawkeye","Lead Ensemble Members","2012_0_The Avengers.csv","male","W_NL"
"59","Samuel L. Jackson","Nick Fury","Lead Ensemble Members","2012_0_The Avengers.csv","male","B_NL"
"60","Clark Gregg","Agent Phil Coulson","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"61","Cobie Smulders","Agent Maria Hill","Supporting Cast","2012_0_The Avengers.csv","female","W_NL"
"62","Jenny Agutter","World Security Council","Supporting Cast","2012_0_The Avengers.csv","female","HL"
"63","Jerzy Skolimowski","Nick Fury","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"64","Stellan Skarsgård","Selvig","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"65","Gwyneth Paltrow","Pepper Potts","Supporting Cast","2012_0_The Avengers.csv","female","W_NL"
"66","Paul Bettany","Jarvis","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"67","Alexis Denisof","The Other","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"68","Tina Benko","NASA Scientist","Supporting Cast","2012_0_The Avengers.csv","female","W_NL"
"69","Kirill Nikiforov","Weaselly Thug","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"70","Jeff Wolfe","Tall Thug","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"71","M'Laah Singh","Young Girl","Supporting Cast","2012_0_The Avengers.csv","female","A"
"72","Rashmi Rustagi","Calcutta Woman","Supporting Cast","2012_0_The Avengers.csv","female","A"
"73","Powers Boothe","World Security Council","Supporting Cast","2012_0_The Avengers.csv","male","B_NL"
"74","Donald Li","World Security Council","Supporting Cast","2012_0_The Avengers.csv","male","A"
"75","Warren Kole","Carrier Bridge Tech","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"76","Alicia Sixtos","Carrier Bridge Tech","Supporting Cast","2012_0_The Avengers.csv","female","HL"
"77","Jesse Garcia","Carrier Bridge Tech","Supporting Cast","2012_0_The Avengers.csv","male","HL"
"78","Maximiliano Hernández","Agent Jasper Sitwell","Supporting Cast","2012_0_The Avengers.csv","male","HL"
"79","Dieter Riesle","Gala Scientist","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"80","Kenneth Tigar","German Old Man","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"81","Walter Perez","Young Shield Pilot","Supporting Cast","2012_0_The Avengers.csv","male","HL"
"82","Harry Dean Stanton","Security Guard","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"83","Josh Cowdery","Maintenance Guy","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"84","Ashley Johnson","Waitress","Supporting Cast","2012_0_The Avengers.csv","female","B_NL"
"85","Katsumi Komatsu","Japanese Family","Supporting Cast","2012_0_The Avengers.csv","male","A"
"86","Yumiko Komatsu","Japanese Family","Supporting Cast","2012_0_The Avengers.csv","female","A"
"87","Momoko Komatsu","Japanese Family","Supporting Cast","2012_0_The Avengers.csv","female","A"
"88","Robert Clohessy","Police Sergeant","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"89","Enver Gjokaj","Young Cop","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"90","Fernanda Toker","Office Woman","Supporting Cast","2012_0_The Avengers.csv","female","W_NL"
"91","Andrea Vecchio","News Reporter","Supporting Cast","2012_0_The Avengers.csv","female","HL"
"92","Robin Swoboda","News Reporter","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"93","Brent McGee","Faceless Pilot","Supporting Cast","2012_0_The Avengers.csv","male","B_NL"
"94","Jamie McShane","Celebration Montage Interviewee","Supporting Cast","2012_0_The Avengers.csv","female","B_NL"
"95","Michael Zhang","Celebration Montage Interviewee","Supporting Cast","2012_0_The Avengers.csv","male","A"
"96","William Christopher Stevens","Celebration Montage Interviewee","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"97","Kelley Robins Hicks","Celebration Montage Interviewee","Supporting Cast","2012_0_The Avengers.csv","female","B_NL"
"98","Romy Rosemont","Shawna Lynde","Supporting Cast","2012_0_The Avengers.csv","female","W_NL"
"99","James Eckhouse","Senator Boynton","Supporting Cast","2012_0_The Avengers.csv","male","W_NL"
"100","Damion Poitier","Man","Supporting Cast","2012_0_The Avengers.csv","male","B_NL"
"101","Daniel Craig","James Bond","Leading Cast","2012_3_Skyfall.csv","male","W_NL"
"102","Javier Bardem","Silva","Leading Cast","2012_3_Skyfall.csv","male","HL"
"103","Judi Dench","M","Supporting Cast","2012_3_Skyfall.csv","female","W_NL"
"104","Naomie Harris","Eve Moneypenny","Supporting Cast","2012_3_Skyfall.csv","female","B_NL"
"105","Albert Finney","Kincade","Supporting Cast","2012_3_Skyfall.csv","male","B_NL"
"106","Ralph Fiennes","Gareth Mallory","Supporting Cast","2012_3_Skyfall.csv","male","W_NL"
"107","Berenice Marlohe","Severine","Supporting Cast","2012_3_Skyfall.csv","female","B_NL"
"108","Ben Whishaw","Q","Supporting Cast","2012_3_Skyfall.csv","male","B_NL"
"109","Rory Kinnear","Tanner","Supporting Cast","2012_3_Skyfall.csv","male","W_NL"
"110","Ola Rapace","Patrice","Supporting Cast","2012_3_Skyfall.csv","female","B_NL"
"111","Jennifer Lawrence","Katniss Everdeen","Leading Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","W_NL"
"112","Josh Hutcherson","Peeta Mellark","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"113","Liam Hemsworth","Gale Hawthorne","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"114","Woody Harrelson","Haymitch Abernathy","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"115","Elizabeth Banks","Effie Trinket","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","B_NL"
"116","Julianne Moore","President Coin","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","B_NL"
"117","Philip Seymour Hoffman","Plutarch Heavensbee","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"118","Jeffrey Wright","Beetee","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","B_NL"
"119","Stanley Tucci","Ceasar Flickerman","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"120","Donald Sutherland","President Snow","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"121","Willow Shields","Primrose Everdeen","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","B_NL"
"122","Sam Claflin","Finnick Odair","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"123","Mahershala Ali","Boggs","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","A"
"124","Jena Malone","Johanna Mason","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","B_NL"
"125","Paula Malcomson","Katniss' Mother","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","W_NL"
"126","Natalie Dormer","Cressida","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","W_NL"
"127","Evan Ross","Messalla","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"128","Elden Henson","Pollux","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"129","Wes Chatham","Castor","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"130","Sarita Choudhury","Egeria","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","A"
"131","Stef Dawson","Annie Cresta","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"132","Patina Miller","Commander Paylor","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","W_NL"
"133","Robert Knepper","Antonius","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"134","Caitlin Fowler","D8 Another Patient","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","W_NL"
"135","Jada Taylor","D8 Female Patient","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","B_NL"
"136","Nicholas Pryor","D8 Male Patient","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","B_NL"
"137","Donna Biscoe","D8 Old Woman","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","W_NL"
"138","Michael Garza","Eddy","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","HL"
"139","Erika Bierman","Snow's Granddaughter","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","W_NL"
"140","Jenique Bennett","Rescue Hovercraft Pilot","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","B_NL"
"141","Rus Blackwell","D13 Systems Operator","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","B_NL"
"142","Stevie Ray Dallimore","D13 Systems Operator #2","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","B_NL"
"143","Breann Couch","D13 Systems Operator #3","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","W_NL"
"144","Jordan Woods-Robinson","Snow's Stylist #1","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"145","Katie Sawhill","Orderly","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","W_NL"
"146","Jackson Mizell","Bunker Door Security","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","B_NL"
"147","Charles Kronmuller","Pilot #1","Supporting Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","male","W_NL"
"148","Chris Pratt","Peter Quill","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"149","Zoe Saldana","Gamora","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","female","HL"
"150","Dave Bautista","Drax","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","HL"
"151","Vin Diesel","Groot","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"152","Bradley Cooper","Rocket","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"153","Lee Pace","Ronan","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"154","Michael Rooker","Yondu Udonta","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"155","Karen Gillan","Nebula","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"156","Djimon Hounsou","Korath","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","B_NL"
"157","John C. Reilly","Corpsman Dey","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"158","Glenn Close","Nova Prime","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"159","Benicio del Toro","The Collector","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","HL"
"160","Laura Haddock","Meredith Quill","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"161","Sean Gunn","Kraglin/On Set Rocket","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"162","Peter Serafinowicz","Denarian Saal","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"163","Christopher Fairbank","The Broker","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"164","Krystian Godlewski","On Set Groot","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"165","Wyatt Oleff","Young Quill","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"166","Gregg Henry","Grandpa","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"167","Janis Ahern","Meredith's Mother","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"168","Solomon Mousley","Meredith's Brother","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","B_NL"
"169","Lindsay Morton","Meredith's Best Friend","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"170","Robert Firth","Dr. Fitzgibbon","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"171","Melia Kreiling","Bereet","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"172","Tom Proctor","Horuz","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
